short	family	mirgenedb	species	node
aae	Bantam	1	Aedes_aegypti	Protostomia
asu	Bantam	3	Ascaris_suum	Protostomia
bge	Bantam	1	Blattella_germanica	Protostomia
bpl	Bantam	1	Brachionus_plicatilis	Protostomia
cbr	Bantam	5	Caenorhabditis_briggsae	Protostomia
cel	Bantam	7	Caenorhabditis_elegans	Protostomia
cgi	Bantam	1	Crassostrea_gigas	Protostomia
csc	Bantam	2	Centruroides_sculpturatus	Protostomia
cte	Bantam	1	Capitella_teleta	Protostomia
dan	Bantam	1	Drosophila_ananassae	Protostomia
dma	Bantam	1	Daphnia_magna	Protostomia
dme	Bantam	1	Drosophila_melanogaster	Protostomia
dmo	Bantam	1	Drosophila_mojavensis	Protostomia
dpu	Bantam	1	Daphnia_pulex	Protostomia
dsi	Bantam	1	Drosophila_simulans	Protostomia
dya	Bantam	1	Drosophila_yakuba	Protostomia
efe	Bantam	3	Eisenia_fetida	Protostomia
esc	Bantam	1	Euprymna_scolopes	Protostomia
hme	Bantam	1	Heliconius_melpomene	Protostomia
isc	Bantam	2	Ixodes_scapularis	Protostomia
lan	Bantam	1	Lingula_anatina	Protostomia
lgi	Bantam	1	Lottia_gigantea	Protostomia
lpo	Bantam	6	Limulus_polyphemus	Protostomia
npo	Bantam	1	Nautilus_pompilius	Protostomia
ovu	Bantam	1	Octopus_vulgaris	Protostomia
sme	Bantam	3	Schmidtea_mediterranea	Protostomia
tca	Bantam	1	Tribolium_castaneum	Protostomia
aae	Iab-4	2	Aedes_aegypti	Arthropoda
bge	Iab-4	1	Blattella_germanica	Arthropoda
csc	Iab-4	2	Centruroides_sculpturatus	Arthropoda
dan	Iab-4	1	Drosophila_ananassae	Arthropoda
dma	Iab-4	1	Daphnia_magna	Arthropoda
dme	Iab-4	1	Drosophila_melanogaster	Arthropoda
dmo	Iab-4	1	Drosophila_mojavensis	Arthropoda
dpu	Iab-4	1	Daphnia_pulex	Arthropoda
dsi	Iab-4	1	Drosophila_simulans	Arthropoda
dya	Iab-4	1	Drosophila_yakuba	Arthropoda
hme	Iab-4	1	Heliconius_melpomene	Arthropoda
isc	Iab-4	1	Ixodes_scapularis	Arthropoda
lpo	Iab-4	3	Limulus_polyphemus	Arthropoda
tca	Iab-4	1	Tribolium_castaneum	Arthropoda
aae	Let-7	1	Aedes_aegypti	Bilateria
aca	Let-7	14	Anolis_carolinensis	Bilateria
ami	Let-7	14	Alligator_mississippiensis	Bilateria
asu	Let-7	2	Ascaris_suum	Bilateria
bfl	Let-7	2	Branchiostoma_floridae	Bilateria
bge	Let-7	1	Blattella_germanica	Bilateria
bla	Let-7	2	Branchiostoma_lanceolatum	Bilateria
bpl	Let-7	1	Brachionus_plicatilis	Bilateria
bta	Let-7	12	Bos_taurus	Bilateria
cbr	Let-7	4	Caenorhabditis_briggsae	Bilateria
cel	Let-7	5	Caenorhabditis_elegans	Bilateria
cfa	Let-7	12	Canis_familiaris	Bilateria
cgi	Let-7	1	Crassostrea_gigas	Bilateria
cin	Let-7	6	Ciona_intestinalis	Bilateria
cli	Let-7	11	Columba_livia	Bilateria
cmi	Let-7	10	Callorhinchus_milii	Bilateria
cpi	Let-7	14	Chrysemys_picta_bellii	Bilateria
cpo	Let-7	12	Cavia_porcellus	Bilateria
csc	Let-7	2	Centruroides_sculpturatus	Bilateria
cte	Let-7	1	Capitella_teleta	Bilateria
dan	Let-7	1	Drosophila_ananassae	Bilateria
dma	Let-7	1	Daphnia_magna	Bilateria
dme	Let-7	1	Drosophila_melanogaster	Bilateria
dmo	Let-7	1	Drosophila_mojavensis	Bilateria
dno	Let-7	11	Dasypus_novemcinctus	Bilateria
dpu	Let-7	1	Daphnia_pulex	Bilateria
dre	Let-7	21	Danio_rerio	Bilateria
dsi	Let-7	1	Drosophila_simulans	Bilateria
dya	Let-7	1	Drosophila_yakuba	Bilateria
ebu	Let-7	8	Eptatretus_burgeri	Bilateria
efe	Let-7	5	Eisenia_fetida	Bilateria
esc	Let-7	1	Euprymna_scolopes	Bilateria
ete	Let-7	12	Echinops_telfairi	Bilateria
gga	Let-7	11	Gallus_gallus	Bilateria
gja	Let-7	14	Gekko_japonicus	Bilateria
gmo	Let-7	20	Gadus_morhua	Bilateria
hme	Let-7	1	Heliconius_melpomene	Bilateria
isc	Let-7	1	Ixodes_scapularis	Bilateria
lan	Let-7	1	Lingula_anatina	Bilateria
lch	Let-7	14	Latimeria_chalumnae	Bilateria
lgi	Let-7	1	Lottia_gigantea	Bilateria
loc	Let-7	14	Lepisosteus_oculatus	Bilateria
lpo	Let-7	3	Limulus_polyphemus	Bilateria
mal	Let-7	20	Monopterus_albus	Bilateria
mdo	Let-7	10	Monodelphis_domestica	Bilateria
mml	Let-7	12	Macaca_mulatta	Bilateria
mmu	Let-7	12	Mus_musculus	Bilateria
mun	Let-7	15	Microcaecilia_unicolor	Bilateria
npo	Let-7	1	Nautilus_pompilius	Bilateria
oan	Let-7	14	Ornithorhynchus_anatinus	Bilateria
obi	Let-7	1	Octopus_bimaculoides	Bilateria
ocu	Let-7	11	Oryctolagus_cuniculus	Bilateria
ovu	Let-7	1	Octopus_vulgaris	Bilateria
pbv	Let-7	14	Python_bivittatus	Bilateria
pfl	Let-7	1	Ptychodera_flava	Bilateria
pma	Let-7	9	Petromyzon_marinus	Bilateria
pmi	Let-7	1	Patiria_miniata	Bilateria
rno	Let-7	12	Rattus_norvegicus	Bilateria
sha	Let-7	11	Sarcophilus_harrisii	Bilateria
sko	Let-7	1	Saccoglossus_kowalevskii	Bilateria
sme	Let-7	6	Schmidtea_mediterranea	Bilateria
spt	Let-7	14	Sphenodon_punctatus	Bilateria
spu	Let-7	1	Strongylocentrotus_purpuratus	Bilateria
sto	Let-7	11	Scyliorhinus_torazame	Bilateria
tca	Let-7	1	Tribolium_castaneum	Bilateria
tgu	Let-7	12	Taeniopygia_guttata	Bilateria
tni	Let-7	19	Tetraodon_nigroviridis	Bilateria
xbo	Let-7	1	Xenoturbella_bocki	Bilateria
xla	Let-7	16	Xenopus_laevis	Bilateria
xtr	Let-7	10	Xenopus_tropicalis	Bilateria
aca	Mir-101	2	Anolis_carolinensis	Vertebrata
ami	Mir-101	2	Alligator_mississippiensis	Vertebrata
bta	Mir-101	2	Bos_taurus	Vertebrata
cfa	Mir-101	2	Canis_familiaris	Vertebrata
cli	Mir-101	2	Columba_livia	Vertebrata
cmi	Mir-101	2	Callorhinchus_milii	Vertebrata
cpi	Mir-101	2	Chrysemys_picta_bellii	Vertebrata
cpo	Mir-101	2	Cavia_porcellus	Vertebrata
dno	Mir-101	2	Dasypus_novemcinctus	Vertebrata
dre	Mir-101	2	Danio_rerio	Vertebrata
ete	Mir-101	2	Echinops_telfairi	Vertebrata
gga	Mir-101	2	Gallus_gallus	Vertebrata
gja	Mir-101	2	Gekko_japonicus	Vertebrata
gmo	Mir-101	2	Gadus_morhua	Vertebrata
lch	Mir-101	2	Latimeria_chalumnae	Vertebrata
loc	Mir-101	2	Lepisosteus_oculatus	Vertebrata
mal	Mir-101	2	Monopterus_albus	Vertebrata
mdo	Mir-101	2	Monodelphis_domestica	Vertebrata
mml	Mir-101	2	Macaca_mulatta	Vertebrata
mmu	Mir-101	2	Mus_musculus	Vertebrata
mun	Mir-101	2	Microcaecilia_unicolor	Vertebrata
oan	Mir-101	2	Ornithorhynchus_anatinus	Vertebrata
ocu	Mir-101	2	Oryctolagus_cuniculus	Vertebrata
pbv	Mir-101	2	Python_bivittatus	Vertebrata
rno	Mir-101	2	Rattus_norvegicus	Vertebrata
sha	Mir-101	2	Sarcophilus_harrisii	Vertebrata
spt	Mir-101	3	Sphenodon_punctatus	Vertebrata
sto	Mir-101	2	Scyliorhinus_torazame	Vertebrata
tgu	Mir-101	2	Taeniopygia_guttata	Vertebrata
tni	Mir-101	2	Tetraodon_nigroviridis	Vertebrata
xla	Mir-101	4	Xenopus_laevis	Vertebrata
xtr	Mir-101	2	Xenopus_tropicalis	Vertebrata
aca	Mir-103	3	Anolis_carolinensis	Deuterostomia
ami	Mir-103	3	Alligator_mississippiensis	Deuterostomia
bfl	Mir-103	4	Branchiostoma_floridae	Deuterostomia
bla	Mir-103	4	Branchiostoma_lanceolatum	Deuterostomia
bta	Mir-103	3	Bos_taurus	Deuterostomia
cfa	Mir-103	3	Canis_familiaris	Deuterostomia
cli	Mir-103	3	Columba_livia	Deuterostomia
cmi	Mir-103	3	Callorhinchus_milii	Deuterostomia
cpi	Mir-103	3	Chrysemys_picta_bellii	Deuterostomia
cpo	Mir-103	3	Cavia_porcellus	Deuterostomia
dno	Mir-103	3	Dasypus_novemcinctus	Deuterostomia
dre	Mir-103	4	Danio_rerio	Deuterostomia
ete	Mir-103	3	Echinops_telfairi	Deuterostomia
gga	Mir-103	3	Gallus_gallus	Deuterostomia
gja	Mir-103	3	Gekko_japonicus	Deuterostomia
gmo	Mir-103	2	Gadus_morhua	Deuterostomia
lch	Mir-103	3	Latimeria_chalumnae	Deuterostomia
loc	Mir-103	3	Lepisosteus_oculatus	Deuterostomia
mal	Mir-103	3	Monopterus_albus	Deuterostomia
mdo	Mir-103	3	Monodelphis_domestica	Deuterostomia
mml	Mir-103	3	Macaca_mulatta	Deuterostomia
mmu	Mir-103	3	Mus_musculus	Deuterostomia
mun	Mir-103	3	Microcaecilia_unicolor	Deuterostomia
oan	Mir-103	3	Ornithorhynchus_anatinus	Deuterostomia
ocu	Mir-103	3	Oryctolagus_cuniculus	Deuterostomia
pbv	Mir-103	3	Python_bivittatus	Deuterostomia
pfl	Mir-103	1	Ptychodera_flava	Deuterostomia
pma	Mir-103	2	Petromyzon_marinus	Deuterostomia
pmi	Mir-103	1	Patiria_miniata	Deuterostomia
rno	Mir-103	3	Rattus_norvegicus	Deuterostomia
sha	Mir-103	3	Sarcophilus_harrisii	Deuterostomia
sko	Mir-103	1	Saccoglossus_kowalevskii	Deuterostomia
spt	Mir-103	3	Sphenodon_punctatus	Deuterostomia
spu	Mir-103	1	Strongylocentrotus_purpuratus	Deuterostomia
sto	Mir-103	3	Scyliorhinus_torazame	Deuterostomia
tgu	Mir-103	3	Taeniopygia_guttata	Deuterostomia
tni	Mir-103	3	Tetraodon_nigroviridis	Deuterostomia
xbo	Mir-103	1	Xenoturbella_bocki	Deuterostomia
xla	Mir-103	5	Xenopus_laevis	Deuterostomia
xtr	Mir-103	3	Xenopus_tropicalis	Deuterostomia
bta	Mir-105	2	Bos_taurus	Eutheria
cfa	Mir-105	2	Canis_familiaris	Eutheria
cpo	Mir-105	1	Cavia_porcellus	Eutheria
ete	Mir-105	1	Echinops_telfairi	Eutheria
mml	Mir-105	2	Macaca_mulatta	Eutheria
mmu	Mir-105	1	Mus_musculus	Eutheria
ocu	Mir-105	2	Oryctolagus_cuniculus	Eutheria
rno	Mir-105	1	Rattus_norvegicus	Eutheria
aae	Mir-10	4	Aedes_aegypti	Eumetazoa
aca	Mir-10	9	Anolis_carolinensis	Eumetazoa
ami	Mir-10	9	Alligator_mississippiensis	Eumetazoa
asu	Mir-10	9	Ascaris_suum	Eumetazoa
bfl	Mir-10	5	Branchiostoma_floridae	Eumetazoa
bge	Mir-10	4	Blattella_germanica	Eumetazoa
bla	Mir-10	5	Branchiostoma_lanceolatum	Eumetazoa
bpl	Mir-10	3	Brachionus_plicatilis	Eumetazoa
bta	Mir-10	8	Bos_taurus	Eumetazoa
cbr	Mir-10	4	Caenorhabditis_briggsae	Eumetazoa
cel	Mir-10	4	Caenorhabditis_elegans	Eumetazoa
cfa	Mir-10	8	Canis_familiaris	Eumetazoa
cgi	Mir-10	5	Crassostrea_gigas	Eumetazoa
cin	Mir-10	2	Ciona_intestinalis	Eumetazoa
cli	Mir-10	7	Columba_livia	Eumetazoa
cmi	Mir-10	6	Callorhinchus_milii	Eumetazoa
cpi	Mir-10	9	Chrysemys_picta_bellii	Eumetazoa
cpo	Mir-10	8	Cavia_porcellus	Eumetazoa
csc	Mir-10	10	Centruroides_sculpturatus	Eumetazoa
cte	Mir-10	7	Capitella_teleta	Eumetazoa
dan	Mir-10	4	Drosophila_ananassae	Eumetazoa
dma	Mir-10	4	Daphnia_magna	Eumetazoa
dme	Mir-10	4	Drosophila_melanogaster	Eumetazoa
dmo	Mir-10	4	Drosophila_mojavensis	Eumetazoa
dno	Mir-10	6	Dasypus_novemcinctus	Eumetazoa
dpu	Mir-10	4	Daphnia_pulex	Eumetazoa
