family	species	short	node	fpc	fnc	model	difference
Bantam	Aedes_aegypti	aae	Protostomia	0	0	mirmachine	NA
Iab-4	Aedes_aegypti	aae	Arthropoda	0	0	mirmachine	NA
Let-7	Aedes_aegypti	aae	Bilateria	0	0	mirmachine	NA
Mir-1	Aedes_aegypti	aae	Bilateria	0	0	mirmachine	NA
Mir-10	Aedes_aegypti	aae	Eumetazoa	0	0	mirmachine	NA
Mir-1175	Aedes_aegypti	aae	Protostomia	0	0	mirmachine	NA
Mir-12	Aedes_aegypti	aae	Protostomia	0	0	mirmachine	NA
Mir-124	Aedes_aegypti	aae	Bilateria	0	0	mirmachine	NA
Mir-133	Aedes_aegypti	aae	Bilateria	0	0	mirmachine	NA
Mir-137	Aedes_aegypti	aae	Bilateria	0	0	mirmachine	NA
Mir-184	Aedes_aegypti	aae	Bilateria	0	0	mirmachine	NA
Mir-190	Aedes_aegypti	aae	Bilateria	0	0	mirmachine	NA
Mir-193	Aedes_aegypti	aae	Bilateria	0	0	mirmachine	NA
Mir-1993	Aedes_aegypti	aae	Protostomia	0	0	mirmachine	NA
Mir-2	Aedes_aegypti	aae	Protostomia	0	3	mirmachine	-1
Mir-210	Aedes_aegypti	aae	Bilateria	0	0	mirmachine	NA
Mir-216	Aedes_aegypti	aae	Bilateria	0	1	mirmachine	-1
Mir-219	Aedes_aegypti	aae	Bilateria	0	0	mirmachine	NA
Mir-22	Aedes_aegypti	aae	Bilateria	0	0	mirmachine	NA
Mir-252	Aedes_aegypti	aae	Bilateria	0	0	mirmachine	NA
Mir-275	Aedes_aegypti	aae	Arthropoda	0	0	mirmachine	NA
Mir-276	Aedes_aegypti	aae	Arthropoda	0	0	mirmachine	NA
Mir-2765	Aedes_aegypti	aae	Pancrustacea	0	0	mirmachine	NA
Mir-277	Aedes_aegypti	aae	Protostomia	0	0	mirmachine	NA
Mir-278	Aedes_aegypti	aae	Bilateria	0	0	mirmachine	NA
Mir-279	Aedes_aegypti	aae	Protostomia	0	0	mirmachine	NA
Mir-281	Aedes_aegypti	aae	Bilateria	0	0	mirmachine	NA
Mir-282	Aedes_aegypti	aae	Pancrustacea	0	0	mirmachine	NA
Mir-29	Aedes_aegypti	aae	Bilateria	0	1	mirmachine	-1
Mir-3	Aedes_aegypti	aae	Pancrustacea	0	0	mirmachine	NA
Mir-305	Aedes_aegypti	aae	Ecdysozoa	0	0	mirmachine	NA
Mir-31	Aedes_aegypti	aae	Bilateria	0	0	mirmachine	NA
Mir-315	Aedes_aegypti	aae	Bilateria	0	0	mirmachine	NA
Mir-316	Aedes_aegypti	aae	Pancrustacea	0	0	mirmachine	NA
Mir-317	Aedes_aegypti	aae	Protostomia	0	0	mirmachine	NA
Mir-33	Aedes_aegypti	aae	Bilateria	0	0	mirmachine	NA
Mir-34	Aedes_aegypti	aae	Bilateria	0	0	mirmachine	NA
Mir-375	Aedes_aegypti	aae	Bilateria	0	0	mirmachine	NA
Mir-67	Aedes_aegypti	aae	Protostomia	0	0	mirmachine	NA
Mir-7	Aedes_aegypti	aae	Bilateria	0	0	mirmachine	NA
Mir-71	Aedes_aegypti	aae	Bilateria	0	0	mirmachine	NA
