species	family	gff	filtered	fpc	fnc	tpc	short	node
Aedes_aegypti	Bantam	2	1	0	0	1	aae	Protostomia
Aedes_aegypti	Iab-4	3	2	0	0	2	aae	Arthropoda
Aedes_aegypti	Let-7	1	1	0	0	1	aae	Bilateria
Aedes_aegypti	Mir-1	3	1	0	0	1	aae	Bilateria
Aedes_aegypti	Mir-10	4	4	0	0	4	aae	Eumetazoa
Aedes_aegypti	Mir-1175	1	1	0	0	1	aae	Protostomia
Aedes_aegypti	Mir-12	1	1	0	0	1	aae	Protostomia
Aedes_aegypti	Mir-124	1	1	0	0	1	aae	Bilateria
Aedes_aegypti	Mir-133	1	1	0	0	1	aae	Bilateria
Aedes_aegypti	Mir-137	2	2	0	0	2	aae	Bilateria
Aedes_aegypti	Mir-184	1	1	0	0	1	aae	Bilateria
Aedes_aegypti	Mir-190	1	1	0	0	1	aae	Bilateria
Aedes_aegypti	Mir-193	2	1	0	0	1	aae	Bilateria
Aedes_aegypti	Mir-1993	1	0	0	0	0	aae	Protostomia
Aedes_aegypti	Mir-2	5	5	0	3	5	aae	Protostomia
Aedes_aegypti	Mir-210	1	1	0	0	1	aae	Bilateria
Aedes_aegypti	Mir-216	2	1	0	1	1	aae	Bilateria
Aedes_aegypti	Mir-219	1	1	0	0	1	aae	Bilateria
Aedes_aegypti	Mir-22	1	1	0	0	1	aae	Bilateria
Aedes_aegypti	Mir-252	1	1	0	0	1	aae	Bilateria
Aedes_aegypti	Mir-275	1	1	0	0	1	aae	Arthropoda
Aedes_aegypti	Mir-276	2	2	0	0	2	aae	Arthropoda
Aedes_aegypti	Mir-2765	1	1	0	0	1	aae	Pancrustacea
Aedes_aegypti	Mir-277	1	1	0	0	1	aae	Protostomia
Aedes_aegypti	Mir-278	1	1	0	0	1	aae	Bilateria
Aedes_aegypti	Mir-279	6	6	0	0	6	aae	Protostomia
Aedes_aegypti	Mir-281	1	1	0	0	1	aae	Bilateria
Aedes_aegypti	Mir-282	5	2	0	0	2	aae	Pancrustacea
Aedes_aegypti	Mir-29	2	1	0	1	1	aae	Bilateria
Aedes_aegypti	Mir-3	3	3	0	0	3	aae	Pancrustacea
Aedes_aegypti	Mir-305	2	1	0	0	1	aae	Ecdysozoa
Aedes_aegypti	Mir-31	1	1	0	0	1	aae	Bilateria
Aedes_aegypti	Mir-315	1	1	0	0	1	aae	Bilateria
Aedes_aegypti	Mir-316	1	1	0	0	1	aae	Pancrustacea
Aedes_aegypti	Mir-317	2	2	0	0	2	aae	Protostomia
Aedes_aegypti	Mir-33	1	1	0	0	1	aae	Bilateria
Aedes_aegypti	Mir-34	1	1	0	0	1	aae	Bilateria
Aedes_aegypti	Mir-375	1	1	0	0	1	aae	Bilateria
Aedes_aegypti	Mir-67	7	1	0	0	1	aae	Protostomia
Aedes_aegypti	Mir-7	2	1	0	0	1	aae	Bilateria
Aedes_aegypti	Mir-71	1	1	0	0	1	aae	Bilateria
Aedes_aegypti	Mir-76	1	1	0	0	1	aae	Bilateria
Aedes_aegypti	Mir-8	2	1	0	0	1	aae	Bilateria
Aedes_aegypti	Mir-87	4	1	0	0	1	aae	Protostomia
Aedes_aegypti	Mir-9	5	5	0	0	5	aae	Bilateria
Aedes_aegypti	Mir-92	2	2	0	0	2	aae	Bilateria
Aedes_aegypti	Mir-96	3	3	1	0	2	aae	Bilateria
Aedes_aegypti	Mir-965	1	1	0	0	1	aae	Pancrustacea
Alligator_mississippiensis	Let-7	15	14	0	0	14	ami	Bilateria
Alligator_mississippiensis	Mir-1	6	4	0	0	4	ami	Bilateria
Alligator_mississippiensis	Mir-10	8	8	0	1	8	ami	Eumetazoa
Alligator_mississippiensis	Mir-101	5	2	0	0	2	ami	Vertebrata
Alligator_mississippiensis	Mir-103	4	3	0	0	3	ami	Deuterostomia
Alligator_mississippiensis	Mir-122	1	1	0	0	1	ami	Vertebrata
Alligator_mississippiensis	Mir-124	4	4	0	0	4	ami	Bilateria
Alligator_mississippiensis	Mir-126	1	1	0	0	1	ami	Olfactores
Alligator_mississippiensis	Mir-128	2	2	0	0	2	ami	Vertebrata
Alligator_mississippiensis	Mir-129	3	3	0	0	3	ami	Chordata
Alligator_mississippiensis	Mir-130	6	6	0	0	6	ami	Vertebrata
Alligator_mississippiensis	Mir-1306	1	1	0	0	1	ami	Gnathostomata
Alligator_mississippiensis	Mir-132	4	3	1	0	2	ami	Vertebrata
Alligator_mississippiensis	Mir-1329	1	1	0	0	1	ami	Vertebrata
Alligator_mississippiensis	Mir-133	4	4	0	0	4	ami	Bilateria
Alligator_mississippiensis	Mir-135	4	3	0	0	3	ami	Chordata
Alligator_mississippiensis	Mir-137	2	2	0	0	2	ami	Bilateria
Alligator_mississippiensis	Mir-138	3	2	0	0	2	ami	Vertebrata
Alligator_mississippiensis	Mir-1388	2	1	0	0	1	ami	Gnathostomata
Alligator_mississippiensis	Mir-139	1	1	0	0	1	ami	Gnathostomata
Alligator_mississippiensis	Mir-1397	1	1	0	0	1	ami	Amniota
Alligator_mississippiensis	Mir-140	1	1	0	0	1	ami	Vertebrata
Alligator_mississippiensis	Mir-1416	2	1	0	0	1	ami	Amniota
Alligator_mississippiensis	Mir-142	4	2	0	0	2	ami	Vertebrata
Alligator_mississippiensis	Mir-143	6	1	0	0	1	ami	Vertebrata
Alligator_mississippiensis	Mir-144	1	1	0	0	1	ami	Vertebrata
Alligator_mississippiensis	Mir-145	2	1	0	0	1	ami	Vertebrata
Alligator_mississippiensis	Mir-146	3	3	0	0	3	ami	Vertebrata
Alligator_mississippiensis	Mir-147	2	1	0	0	1	ami	Vertebrata
Alligator_mississippiensis	Mir-148	3	2	0	0	2	ami	Vertebrata
Alligator_mississippiensis	Mir-15	22	10	2	0	8	ami	Olfactores
Alligator_mississippiensis	Mir-150	2	1	0	0	1	ami	Gnathostomata
Alligator_mississippiensis	Mir-153	2	2	0	0	2	ami	Bilateria
Alligator_mississippiensis	Mir-155	2	1	0	0	1	ami	Vertebrata
Alligator_mississippiensis	Mir-1662	1	1	0	0	1	ami	Tetrapoda
Alligator_mississippiensis	Mir-1677	5066	55	53	1	2	ami	Diapsida
Alligator_mississippiensis	Mir-17	9	8	0	0	8	ami	Vertebrata
Alligator_mississippiensis	Mir-1720	1	1	0	0	1	ami	Diapsida
Alligator_mississippiensis	Mir-1788	2	1	0	0	1	ami	Vertebrata
Alligator_mississippiensis	Mir-1805	1	1	0	0	1	ami	Tetrapoda
Alligator_mississippiensis	Mir-181	6	6	0	0	6	ami	Vertebrata
Alligator_mississippiensis	Mir-184	1	1	0	0	1	ami	Bilateria
Alligator_mississippiensis	Mir-187	3	1	0	0	1	ami	Osteichthyes
Alligator_mississippiensis	Mir-19	3	3	0	0	3	ami	Vertebrata
Alligator_mississippiensis	Mir-190	2	2	0	0	2	ami	Bilateria
Alligator_mississippiensis	Mir-191	1	1	0	0	1	ami	Gnathostomata
Alligator_mississippiensis	Mir-192	2	2	0	0	2	ami	Vertebrata
Alligator_mississippiensis	Mir-193	5	5	1	0	4	ami	Bilateria
Alligator_mississippiensis	Mir-194	23	2	0	0	2	ami	Vertebrata
Alligator_mississippiensis	Mir-196	3	3	0	0	3	ami	Olfactores
Alligator_mississippiensis	Mir-199	3	3	0	0	3	ami	Vertebrata
Alligator_mississippiensis	Mir-202	1	1	0	0	1	ami	Vertebrata
Alligator_mississippiensis	Mir-203	2	1	0	0	1	ami	Vertebrata
Alligator_mississippiensis	Mir-204	4	3	0	0	3	ami	Vertebrata
Alligator_mississippiensis	Mir-205	3	2	0	0	2	ami	Vertebrata
Alligator_mississippiensis	Mir-208	1	1	0	0	1	ami	Vertebrata
Alligator_mississippiensis	Mir-21	1	1	0	0	1	ami	Vertebrata
Alligator_mississippiensis	Mir-210	1	1	0	0	1	ami	Bilateria
Alligator_mississippiensis	Mir-214	8	1	0	0	1	ami	Gnathostomata
Alligator_mississippiensis	Mir-216	2	2	0	0	2	ami	Bilateria
Alligator_mississippiensis	Mir-217	2	1	0	0	1	ami	Chordata
Alligator_mississippiensis	Mir-218	2	2	0	0	2	ami	Vertebrata
Alligator_mississippiensis	Mir-2184	2	2	1	0	1	ami	Gnathostomata
Alligator_mississippiensis	Mir-2188	1	1	0	0	1	ami	Gnathostomata
Alligator_mississippiensis	Mir-219	2	2	0	0	2	ami	Bilateria
Alligator_mississippiensis	Mir-22	3	1	0	0	1	ami	Bilateria
Alligator_mississippiensis	Mir-221	4	3	0	0	3	ami	Vertebrata
Alligator_mississippiensis	Mir-223	2	1	0	0	1	ami	Vertebrata
Alligator_mississippiensis	Mir-23	2	2	0	0	2	ami	Vertebrata
Alligator_mississippiensis	Mir-24	5	2	0	0	2	ami	Vertebrata
Alligator_mississippiensis	Mir-26	2	2	0	0	2	ami	Vertebrata
Alligator_mississippiensis	Mir-27	2	2	0	0	2	ami	Vertebrata
Alligator_mississippiensis	Mir-29	6	5	1	0	4	ami	Bilateria
Alligator_mississippiensis	Mir-2970	1	1	0	0	1	ami	Sarcopterygii
Alligator_mississippiensis	Mir-30	11	6	0	0	6	ami	Vertebrata
Alligator_mississippiensis	Mir-31	2	1	0	0	1	ami	Bilateria
Alligator_mississippiensis	Mir-32	2	1	0	0	1	ami	Gnathostomata
Alligator_mississippiensis	Mir-33	15	2	0	0	2	ami	Bilateria
Alligator_mississippiensis	Mir-338	2	2	0	0	2	ami	Vertebrata
Alligator_mississippiensis	Mir-34	7	7	0	0	7	ami	Bilateria
Alligator_mississippiensis	Mir-375	1	1	0	0	1	ami	Bilateria
Alligator_mississippiensis	Mir-383	1	1	0	0	1	ami	Tetrapoda
Alligator_mississippiensis	Mir-4057	1	0	0	0	0	ami	Chordata
Alligator_mississippiensis	Mir-425	1	1	0	0	1	ami	Gnathostomata
