species	family	node	filtered_hits	short
Echinops_telfairi	Let-7	Bilateria	12	E.telfari
Echinops_telfairi	Mir-1	Bilateria	3	E.telfari
Echinops_telfairi	Mir-10	Eumetazoa	8	E.telfari
Echinops_telfairi	Mir-101	Vertebrata	2	E.telfari
Echinops_telfairi	Mir-103	Deuterostomia	3	E.telfari
Echinops_telfairi	Mir-105	Eutheria	1	E.telfari
Echinops_telfairi	Mir-122	Vertebrata	1	E.telfari
Echinops_telfairi	Mir-124	Bilateria	2	E.telfari
Echinops_telfairi	Mir-1247	Eutheria	1	E.telfari
Echinops_telfairi	Mir-1249	Eutheria	1	E.telfari
Echinops_telfairi	Mir-1251	Theria	1	E.telfari
Echinops_telfairi	Mir-126	Olfactores	1	E.telfari
Echinops_telfairi	Mir-127	Eutheria	1	E.telfari
Echinops_telfairi	Mir-1271	Eutheria	1	E.telfari
Echinops_telfairi	Mir-128	Vertebrata	2	E.telfari
Echinops_telfairi	Mir-129	Chordata	2	E.telfari
Echinops_telfairi	Mir-1296	Eutheria	1	E.telfari
Echinops_telfairi	Mir-1298	Eutheria	1	E.telfari
Echinops_telfairi	Mir-130	Vertebrata	3	E.telfari
Echinops_telfairi	Mir-1301	Eutheria	1	E.telfari
Echinops_telfairi	Mir-1306	Gnathostomata	1	E.telfari
Echinops_telfairi	Mir-132	Vertebrata	1	E.telfari
Echinops_telfairi	Mir-133	Bilateria	3	E.telfari
Echinops_telfairi	Mir-135	Chordata	3	E.telfari
Echinops_telfairi	Mir-136	Eutheria	1	E.telfari
Echinops_telfairi	Mir-137	Bilateria	1	E.telfari
Echinops_telfairi	Mir-138	Vertebrata	2	E.telfari
Echinops_telfairi	Mir-1388	Gnathostomata	1	E.telfari
Echinops_telfairi	Mir-139	Gnathostomata	1	E.telfari
Echinops_telfairi	Mir-140	Vertebrata	1	E.telfari
Echinops_telfairi	Mir-142	Vertebrata	1	E.telfari
Echinops_telfairi	Mir-143	Vertebrata	1	E.telfari
Echinops_telfairi	Mir-144	Vertebrata	1	E.telfari
Echinops_telfairi	Mir-145	Vertebrata	1	E.telfari
Echinops_telfairi	Mir-146	Vertebrata	1	E.telfari
Echinops_telfairi	Mir-148	Vertebrata	2	E.telfari
Echinops_telfairi	Mir-149	Eutheria	1	E.telfari
Echinops_telfairi	Mir-15	Olfactores	10	E.telfari
Echinops_telfairi	Mir-150	Gnathostomata	1	E.telfari
Echinops_telfairi	Mir-153	Bilateria	1	E.telfari
Echinops_telfairi	Mir-154	Eutheria	28	E.telfari
Echinops_telfairi	Mir-155	Vertebrata	1	E.telfari
Echinops_telfairi	Mir-17	Vertebrata	8	E.telfari
Echinops_telfairi	Mir-181	Vertebrata	6	E.telfari
Echinops_telfairi	Mir-184	Bilateria	1	E.telfari
Echinops_telfairi	Mir-185	Eutheria	1	E.telfari
Echinops_telfairi	Mir-186	Mammalia	1	E.telfari
Echinops_telfairi	Mir-187	Osteichthyes	1	E.telfari
Echinops_telfairi	Mir-188	Eutheria	1	E.telfari
Echinops_telfairi	Mir-19	Vertebrata	3	E.telfari
Echinops_telfairi	Mir-190	Bilateria	2	E.telfari
Echinops_telfairi	Mir-191	Gnathostomata	1	E.telfari
Echinops_telfairi	Mir-1912	Eutheria	1	E.telfari
Echinops_telfairi	Mir-192	Vertebrata	2	E.telfari
Echinops_telfairi	Mir-193	Bilateria	4	E.telfari
Echinops_telfairi	Mir-194	Vertebrata	2	E.telfari
Echinops_telfairi	Mir-196	Olfactores	2	E.telfari
Echinops_telfairi	Mir-199	Vertebrata	3	E.telfari
Echinops_telfairi	Mir-202	Vertebrata	1	E.telfari
Echinops_telfairi	Mir-203	Vertebrata	1	E.telfari
Echinops_telfairi	Mir-204	Vertebrata	1	E.telfari
Echinops_telfairi	Mir-205	Vertebrata	1	E.telfari
Echinops_telfairi	Mir-208	Vertebrata	3	E.telfari
Echinops_telfairi	Mir-21	Vertebrata	1	E.telfari
Echinops_telfairi	Mir-210	Bilateria	1	E.telfari
Echinops_telfairi	Mir-214	Gnathostomata	1	E.telfari
Echinops_telfairi	Mir-216	Bilateria	2	E.telfari
Echinops_telfairi	Mir-217	Chordata	1	E.telfari
Echinops_telfairi	Mir-218	Vertebrata	2	E.telfari
Echinops_telfairi	Mir-219	Bilateria	2	E.telfari
Echinops_telfairi	Mir-22	Bilateria	1	E.telfari
Echinops_telfairi	Mir-221	Vertebrata	2	E.telfari
Echinops_telfairi	Mir-223	Vertebrata	1	E.telfari
Echinops_telfairi	Mir-224	Eutheria	1	E.telfari
Echinops_telfairi	Mir-23	Vertebrata	2	E.telfari
Echinops_telfairi	Mir-2355	Eutheria	1	E.telfari
Echinops_telfairi	Mir-24	Vertebrata	2	E.telfari
Echinops_telfairi	Mir-2483	Eutheria	1	E.telfari
Echinops_telfairi	Mir-26	Vertebrata	3	E.telfari
Echinops_telfairi	Mir-27	Vertebrata	2	E.telfari
Echinops_telfairi	Mir-28	Eutheria	3	E.telfari
Echinops_telfairi	Mir-29	Bilateria	4	E.telfari
Echinops_telfairi	Mir-30	Vertebrata	6	E.telfari
Echinops_telfairi	Mir-3059	Eutheria	2	E.telfari
Echinops_telfairi	Mir-3085	Eutheria	1	E.telfari
Echinops_telfairi	Mir-31	Bilateria	1	E.telfari
Echinops_telfairi	Mir-32	Gnathostomata	1	E.telfari
Echinops_telfairi	Mir-320	Eutheria	1	E.telfari
Echinops_telfairi	Mir-324	Eutheria	1	E.telfari
Echinops_telfairi	Mir-326	Eutheria	1	E.telfari
Echinops_telfairi	Mir-328	Eutheria	1	E.telfari
Echinops_telfairi	Mir-33	Bilateria	2	E.telfari
Echinops_telfairi	Mir-330	Eutheria	1	E.telfari
Echinops_telfairi	Mir-331	Eutheria	1	E.telfari
Echinops_telfairi	Mir-335	Eutheria	1	E.telfari
Echinops_telfairi	Mir-338	Vertebrata	1	E.telfari
Echinops_telfairi	Mir-339	Eutheria	1	E.telfari
Echinops_telfairi	Mir-34	Bilateria	6	E.telfari
Echinops_telfairi	Mir-340	Theria	1	E.telfari
Echinops_telfairi	Mir-342	Eutheria	1	E.telfari
Echinops_telfairi	Mir-345	Eutheria	1	E.telfari
Echinops_telfairi	Mir-346	Eutheria	1	E.telfari
Echinops_telfairi	Mir-350	Eutheria	1	E.telfari
Echinops_telfairi	Mir-361	Eutheria	1	E.telfari
Echinops_telfairi	Mir-3613	Theria	1	E.telfari
Echinops_telfairi	Mir-362	Eutheria	2	E.telfari
Echinops_telfairi	Mir-375	Bilateria	1	E.telfari
Echinops_telfairi	Mir-376	Eutheria	3	E.telfari
Echinops_telfairi	Mir-378	Eutheria	1	E.telfari
Echinops_telfairi	Mir-383	Tetrapoda	1	E.telfari
Echinops_telfairi	Mir-423	Eutheria	1	E.telfari
Echinops_telfairi	Mir-425	Gnathostomata	1	E.telfari
Echinops_telfairi	Mir-430	Vertebrata	10	E.telfari
Echinops_telfairi	Mir-431	Eutheria	1	E.telfari
Echinops_telfairi	Mir-432	Eutheria	1	E.telfari
Echinops_telfairi	Mir-433	Eutheria	1	E.telfari
Echinops_telfairi	Mir-448	Eutheria	1	E.telfari
Echinops_telfairi	Mir-451	Vertebrata	1	E.telfari
Echinops_telfairi	Mir-452	Eutheria	1	E.telfari
Echinops_telfairi	Mir-455	Vertebrata	1	E.telfari
Echinops_telfairi	Mir-459	Vertebrata	1	E.telfari
Echinops_telfairi	Mir-483	Theria	1	E.telfari
Echinops_telfairi	Mir-486	Eutheria	1	E.telfari
Echinops_telfairi	Mir-488	Eutheria	1	E.telfari
Echinops_telfairi	Mir-490	Amniota	1	E.telfari
Echinops_telfairi	Mir-493	Eutheria	1	E.telfari
Echinops_telfairi	Mir-499	Vertebrata	2	E.telfari
Echinops_telfairi	Mir-504	Eutheria	1	E.telfari
Echinops_telfairi	Mir-505	Eutheria	1	E.telfari
Echinops_telfairi	Mir-506	Eutheria	3	E.telfari
Echinops_telfairi	Mir-541	Eutheria	1	E.telfari
Echinops_telfairi	Mir-542	Eutheria	1	E.telfari
Echinops_telfairi	Mir-544	Eutheria	1	E.telfari
Echinops_telfairi	Mir-551	Vertebrata	1	E.telfari
Echinops_telfairi	Mir-574	Eutheria	1	E.telfari
Echinops_telfairi	Mir-592	Eutheria	1	E.telfari
Echinops_telfairi	Mir-598	Eutheria	1	E.telfari
Echinops_telfairi	Mir-599	Sarcopterygii	1	E.telfari
Echinops_telfairi	Mir-615	Eutheria	1	E.telfari
Echinops_telfairi	Mir-628	Eutheria	1	E.telfari
Echinops_telfairi	Mir-652	Eutheria	1	E.telfari
Echinops_telfairi	Mir-6529	Eutheria	1	E.telfari
Echinops_telfairi	Mir-671	Theria	1	E.telfari
Echinops_telfairi	Mir-6715	Eutheria	1	E.telfari
Echinops_telfairi	Mir-672	Eutheria	1	E.telfari
Echinops_telfairi	Mir-7	Bilateria	3	E.telfari
Echinops_telfairi	Mir-744	Eutheria	1	E.telfari
Echinops_telfairi	Mir-769	Eutheria	1	E.telfari
Echinops_telfairi	Mir-8	Bilateria	5	E.telfari
Echinops_telfairi	Mir-873	Mammalia	1	E.telfari
Echinops_telfairi	Mir-874	Eutheria	1	E.telfari
Echinops_telfairi	Mir-875	Vertebrata	1	E.telfari
Echinops_telfairi	Mir-876	Eutheria	1	E.telfari
Echinops_telfairi	Mir-877	Eutheria	1	E.telfari
Echinops_telfairi	Mir-9	Bilateria	3	E.telfari
Echinops_telfairi	Mir-92	Bilateria	6	E.telfari
Echinops_telfairi	Mir-95	Eutheria	1	E.telfari
Echinops_telfairi	Mir-96	Bilateria	3	E.telfari
Echinops_telfairi	Mir-9851	Eutheria	1	E.telfari
E.maximus_D	Let-7	Bilateria	12	E.maximus_D
E.maximus_D	Mir-1	Bilateria	3	E.maximus_D
E.maximus_D	Mir-10	Eumetazoa	8	E.maximus_D
E.maximus_D	Mir-101	Vertebrata	2	E.maximus_D
E.maximus_D	Mir-103	Deuterostomia	3	E.maximus_D
E.maximus_D	Mir-105	Eutheria	1	E.maximus_D
E.maximus_D	Mir-122	Vertebrata	1	E.maximus_D
E.maximus_D	Mir-124	Bilateria	2	E.maximus_D
E.maximus_D	Mir-1247	Eutheria	1	E.maximus_D
E.maximus_D	Mir-1249	Eutheria	1	E.maximus_D
E.maximus_D	Mir-1251	Theria	1	E.maximus_D
E.maximus_D	Mir-126	Olfactores	1	E.maximus_D
E.maximus_D	Mir-127	Eutheria	1	E.maximus_D
E.maximus_D	Mir-1277	Eutheria	1	E.maximus_D
E.maximus_D	Mir-128	Vertebrata	2	E.maximus_D
E.maximus_D	Mir-129	Chordata	2	E.maximus_D
E.maximus_D	Mir-1296	Eutheria	1	E.maximus_D
E.maximus_D	Mir-1298	Eutheria	1	E.maximus_D
E.maximus_D	Mir-130	Vertebrata	5	E.maximus_D
E.maximus_D	Mir-1306	Gnathostomata	1	E.maximus_D
E.maximus_D	Mir-1307	Eutheria	1	E.maximus_D
E.maximus_D	Mir-132	Vertebrata	2	E.maximus_D
E.maximus_D	Mir-1329	Vertebrata	1	E.maximus_D
E.maximus_D	Mir-133	Bilateria	3	E.maximus_D
E.maximus_D	Mir-1343	Eutheria	1	E.maximus_D
E.maximus_D	Mir-135	Chordata	3	E.maximus_D
E.maximus_D	Mir-136	Eutheria	1	E.maximus_D
E.maximus_D	Mir-137	Bilateria	1	E.maximus_D
E.maximus_D	Mir-138	Vertebrata	2	E.maximus_D
E.maximus_D	Mir-1388	Gnathostomata	1	E.maximus_D
E.maximus_D	Mir-139	Gnathostomata	1	E.maximus_D
E.maximus_D	Mir-140	Vertebrata	1	E.maximus_D
E.maximus_D	Mir-142	Vertebrata	1	E.maximus_D
E.maximus_D	Mir-143	Vertebrata	1	E.maximus_D
E.maximus_D	Mir-144	Vertebrata	1	E.maximus_D
E.maximus_D	Mir-145	Vertebrata	1	E.maximus_D
E.maximus_D	Mir-146	Vertebrata	2	E.maximus_D
E.maximus_D	Mir-147	Vertebrata	1	E.maximus_D
E.maximus_D	Mir-148	Vertebrata	3	E.maximus_D
E.maximus_D	Mir-149	Eutheria	1	E.maximus_D
E.maximus_D	Mir-15	Olfactores	7	E.maximus_D
E.maximus_D	Mir-150	Gnathostomata	1	E.maximus_D
E.maximus_D	Mir-153	Bilateria	2	E.maximus_D
E.maximus_D	Mir-154	Eutheria	29	E.maximus_D
E.maximus_D	Mir-155	Vertebrata	1	E.maximus_D
E.maximus_D	Mir-17	Vertebrata	7	E.maximus_D
E.maximus_D	Mir-181	Vertebrata	6	E.maximus_D
E.maximus_D	Mir-184	Bilateria	1	E.maximus_D
E.maximus_D	Mir-185	Eutheria	1	E.maximus_D
E.maximus_D	Mir-186	Mammalia	1	E.maximus_D
E.maximus_D	Mir-187	Osteichthyes	1	E.maximus_D
E.maximus_D	Mir-188	Eutheria	3	E.maximus_D
E.maximus_D	Mir-19	Vertebrata	3	E.maximus_D
E.maximus_D	Mir-190	Bilateria	2	E.maximus_D
E.maximus_D	Mir-191	Gnathostomata	1	E.maximus_D
E.maximus_D	Mir-1912	Eutheria	1	E.maximus_D
E.maximus_D	Mir-192	Vertebrata	2	E.maximus_D
E.maximus_D	Mir-193	Bilateria	4	E.maximus_D
E.maximus_D	Mir-194	Vertebrata	2	E.maximus_D
E.maximus_D	Mir-196	Olfactores	3	E.maximus_D
E.maximus_D	Mir-199	Vertebrata	3	E.maximus_D
E.maximus_D	Mir-202	Vertebrata	1	E.maximus_D
E.maximus_D	Mir-204	Vertebrata	2	E.maximus_D
E.maximus_D	Mir-205	Vertebrata	1	E.maximus_D
E.maximus_D	Mir-208	Vertebrata	2	E.maximus_D
E.maximus_D	Mir-21	Vertebrata	1	E.maximus_D
E.maximus_D	Mir-214	Gnathostomata	1	E.maximus_D
E.maximus_D	Mir-216	Bilateria	2	E.maximus_D
E.maximus_D	Mir-217	Chordata	1	E.maximus_D
E.maximus_D	Mir-218	Vertebrata	2	E.maximus_D
E.maximus_D	Mir-219	Bilateria	1	E.maximus_D
E.maximus_D	Mir-22	Bilateria	1	E.maximus_D
E.maximus_D	Mir-221	Vertebrata	2	E.maximus_D
E.maximus_D	Mir-223	Vertebrata	1	E.maximus_D
E.maximus_D	Mir-224	Eutheria	1	E.maximus_D
E.maximus_D	Mir-23	Vertebrata	2	E.maximus_D
E.maximus_D	Mir-24	Vertebrata	2	E.maximus_D
E.maximus_D	Mir-2483	Eutheria	1	E.maximus_D
E.maximus_D	Mir-26	Vertebrata	3	E.maximus_D
E.maximus_D	Mir-27	Vertebrata	2	E.maximus_D
E.maximus_D	Mir-28	Eutheria	3	E.maximus_D
E.maximus_D	Mir-29	Bilateria	4	E.maximus_D
E.maximus_D	Mir-296	Eutheria	1	E.maximus_D
E.maximus_D	Mir-30	Vertebrata	6	E.maximus_D
E.maximus_D	Mir-3059	Eutheria	1	E.maximus_D
E.maximus_D	Mir-3085	Eutheria	1	E.maximus_D
E.maximus_D	Mir-31	Bilateria	1	E.maximus_D
E.maximus_D	Mir-32	Gnathostomata	1	E.maximus_D
E.maximus_D	Mir-320	Eutheria	1	E.maximus_D
E.maximus_D	Mir-324	Eutheria	1	E.maximus_D
E.maximus_D	Mir-325	Theria	1	E.maximus_D
E.maximus_D	Mir-326	Eutheria	1	E.maximus_D
E.maximus_D	Mir-328	Eutheria	1	E.maximus_D
E.maximus_D	Mir-33	Bilateria	2	E.maximus_D
E.maximus_D	Mir-331	Eutheria	1	E.maximus_D
E.maximus_D	Mir-337	Eutheria	1	E.maximus_D
E.maximus_D	Mir-338	Vertebrata	1	E.maximus_D
E.maximus_D	Mir-339	Eutheria	1	E.maximus_D
E.maximus_D	Mir-34	Bilateria	5	E.maximus_D
E.maximus_D	Mir-340	Theria	1	E.maximus_D
E.maximus_D	Mir-342	Eutheria	1	E.maximus_D
E.maximus_D	Mir-345	Eutheria	1	E.maximus_D
E.maximus_D	Mir-350	Eutheria	1	E.maximus_D
E.maximus_D	Mir-361	Eutheria	1	E.maximus_D
E.maximus_D	Mir-3613	Theria	1	E.maximus_D
E.maximus_D	Mir-362	Eutheria	4	E.maximus_D
E.maximus_D	Mir-374	Eutheria	1	E.maximus_D
E.maximus_D	Mir-375	Bilateria	1	E.maximus_D
E.maximus_D	Mir-376	Eutheria	5	E.maximus_D
E.maximus_D	Mir-383	Tetrapoda	1	E.maximus_D
E.maximus_D	Mir-384	Eutheria	1	E.maximus_D
E.maximus_D	Mir-423	Eutheria	1	E.maximus_D
E.maximus_D	Mir-425	Gnathostomata	1	E.maximus_D
E.maximus_D	Mir-430	Vertebrata	10	E.maximus_D
E.maximus_D	Mir-431	Eutheria	1	E.maximus_D
E.maximus_D	Mir-433	Eutheria	1	E.maximus_D
E.maximus_D	Mir-448	Eutheria	1	E.maximus_D
E.maximus_D	Mir-450	Eutheria	3	E.maximus_D
E.maximus_D	Mir-451	Vertebrata	1	E.maximus_D
E.maximus_D	Mir-452	Eutheria	1	E.maximus_D
E.maximus_D	Mir-455	Vertebrata	1	E.maximus_D
E.maximus_D	Mir-459	Vertebrata	1	E.maximus_D
E.maximus_D	Mir-486	Eutheria	1	E.maximus_D
E.maximus_D	Mir-488	Eutheria	1	E.maximus_D
E.maximus_D	Mir-489	Osteichthyes	1	E.maximus_D
E.maximus_D	Mir-490	Amniota	1	E.maximus_D
E.maximus_D	Mir-499	Vertebrata	1	E.maximus_D
E.maximus_D	Mir-505	Eutheria	1	E.maximus_D
E.maximus_D	Mir-506	Eutheria	11	E.maximus_D
E.maximus_D	Mir-541	Eutheria	1	E.maximus_D
E.maximus_D	Mir-542	Eutheria	1	E.maximus_D
E.maximus_D	Mir-544	Eutheria	1	E.maximus_D
E.maximus_D	Mir-551	Vertebrata	2	E.maximus_D
E.maximus_D	Mir-582	Eutheria	1	E.maximus_D
E.maximus_D	Mir-592	Eutheria	1	E.maximus_D
E.maximus_D	Mir-599	Sarcopterygii	1	E.maximus_D
E.maximus_D	Mir-615	Eutheria	1	E.maximus_D
E.maximus_D	Mir-652	Eutheria	1	E.maximus_D
E.maximus_D	Mir-6529	Eutheria	1	E.maximus_D
E.maximus_D	Mir-670	Eutheria	1	E.maximus_D
E.maximus_D	Mir-671	Theria	1	E.maximus_D
E.maximus_D	Mir-675	Theria	1	E.maximus_D
E.maximus_D	Mir-676	Eutheria	1	E.maximus_D
E.maximus_D	Mir-7	Bilateria	3	E.maximus_D
E.maximus_D	Mir-744	Eutheria	1	E.maximus_D
E.maximus_D	Mir-760	Eutheria	1	E.maximus_D
E.maximus_D	Mir-769	Eutheria	3	E.maximus_D
E.maximus_D	Mir-8	Bilateria	5	E.maximus_D
E.maximus_D	Mir-873	Mammalia	1	E.maximus_D
E.maximus_D	Mir-874	Eutheria	1	E.maximus_D
E.maximus_D	Mir-875	Vertebrata	1	E.maximus_D
E.maximus_D	Mir-877	Eutheria	1	E.maximus_D
E.maximus_D	Mir-885	Eutheria	1	E.maximus_D
E.maximus_D	Mir-9	Bilateria	3	E.maximus_D
E.maximus_D	Mir-92	Bilateria	6	E.maximus_D
E.maximus_D	Mir-95	Eutheria	3	E.maximus_D
E.maximus_D	Mir-96	Bilateria	2	E.maximus_D
E.maximus_D	Mir-9851	Eutheria	1	E.maximus_D
E.maximus_E	Let-7	Bilateria	12	E.maximus_E
