species	family	node	filtered_hits	short
Callorhinchus_milii	Let-7	Bilateria	10	C.milii
Callorhinchus_milii	Mir-1	Bilateria	3	C.milii
Callorhinchus_milii	Mir-10	Eumetazoa	6	C.milii
Callorhinchus_milii	Mir-101	Vertebrata	2	C.milii
Callorhinchus_milii	Mir-103	Deuterostomia	3	C.milii
Callorhinchus_milii	Mir-122	Vertebrata	1	C.milii
Callorhinchus_milii	Mir-124	Bilateria	4	C.milii
Callorhinchus_milii	Mir-126	Olfactores	2	C.milii
Callorhinchus_milii	Mir-128	Vertebrata	3	C.milii
Callorhinchus_milii	Mir-129	Chordata	2	C.milii
Callorhinchus_milii	Mir-130	Vertebrata	7	C.milii
Callorhinchus_milii	Mir-1306	Gnathostomata	1	C.milii
Callorhinchus_milii	Mir-132	Vertebrata	2	C.milii
Callorhinchus_milii	Mir-1329	Vertebrata	1	C.milii
Callorhinchus_milii	Mir-133	Bilateria	3	C.milii
Callorhinchus_milii	Mir-135	Chordata	3	C.milii
Callorhinchus_milii	Mir-137	Bilateria	1	C.milii
Callorhinchus_milii	Mir-138	Vertebrata	2	C.milii
Callorhinchus_milii	Mir-1388	Gnathostomata	1	C.milii
Callorhinchus_milii	Mir-139	Gnathostomata	1	C.milii
Callorhinchus_milii	Mir-140	Vertebrata	1	C.milii
Callorhinchus_milii	Mir-142	Vertebrata	1	C.milii
Callorhinchus_milii	Mir-143	Vertebrata	1	C.milii
Callorhinchus_milii	Mir-144	Vertebrata	1	C.milii
Callorhinchus_milii	Mir-145	Vertebrata	1	C.milii
Callorhinchus_milii	Mir-146	Vertebrata	3	C.milii
Callorhinchus_milii	Mir-147	Vertebrata	1	C.milii
Callorhinchus_milii	Mir-148	Vertebrata	4	C.milii
Callorhinchus_milii	Mir-15	Olfactores	6	C.milii
Callorhinchus_milii	Mir-150	Gnathostomata	1	C.milii
Callorhinchus_milii	Mir-153	Bilateria	3	C.milii
Callorhinchus_milii	Mir-155	Vertebrata	1	C.milii
Callorhinchus_milii	Mir-17	Vertebrata	11	C.milii
Callorhinchus_milii	Mir-1788	Vertebrata	1	C.milii
Callorhinchus_milii	Mir-181	Vertebrata	6	C.milii
Callorhinchus_milii	Mir-184	Bilateria	1	C.milii
Callorhinchus_milii	Mir-19	Vertebrata	6	C.milii
Callorhinchus_milii	Mir-190	Bilateria	3	C.milii
Callorhinchus_milii	Mir-191	Gnathostomata	1	C.milii
Callorhinchus_milii	Mir-192	Vertebrata	1	C.milii
Callorhinchus_milii	Mir-193	Bilateria	4	C.milii
Callorhinchus_milii	Mir-194	Vertebrata	1	C.milii
Callorhinchus_milii	Mir-196	Olfactores	3	C.milii
Callorhinchus_milii	Mir-199	Vertebrata	2	C.milii
Callorhinchus_milii	Mir-202	Vertebrata	1	C.milii
Callorhinchus_milii	Mir-203	Vertebrata	2	C.milii
Callorhinchus_milii	Mir-204	Vertebrata	3	C.milii
Callorhinchus_milii	Mir-205	Vertebrata	3	C.milii
Callorhinchus_milii	Mir-208	Vertebrata	1	C.milii
Callorhinchus_milii	Mir-21	Vertebrata	1	C.milii
Callorhinchus_milii	Mir-210	Bilateria	1	C.milii
Callorhinchus_milii	Mir-214	Gnathostomata	1	C.milii
Callorhinchus_milii	Mir-216	Bilateria	2	C.milii
Callorhinchus_milii	Mir-217	Chordata	1	C.milii
Callorhinchus_milii	Mir-218	Vertebrata	2	C.milii
Callorhinchus_milii	Mir-2184	Gnathostomata	1	C.milii
Callorhinchus_milii	Mir-2188	Gnathostomata	1	C.milii
Callorhinchus_milii	Mir-219	Bilateria	1	C.milii
Callorhinchus_milii	Mir-22	Bilateria	2	C.milii
Callorhinchus_milii	Mir-221	Vertebrata	3	C.milii
Callorhinchus_milii	Mir-223	Vertebrata	1	C.milii
Callorhinchus_milii	Mir-23	Vertebrata	4	C.milii
Callorhinchus_milii	Mir-24	Vertebrata	2	C.milii
Callorhinchus_milii	Mir-26	Vertebrata	1	C.milii
Callorhinchus_milii	Mir-27	Vertebrata	3	C.milii
Callorhinchus_milii	Mir-281	Bilateria	1	C.milii
Callorhinchus_milii	Mir-29	Bilateria	6	C.milii
Callorhinchus_milii	Mir-30	Vertebrata	7	C.milii
Callorhinchus_milii	Mir-31	Bilateria	1	C.milii
Callorhinchus_milii	Mir-32	Gnathostomata	1	C.milii
Callorhinchus_milii	Mir-33	Bilateria	2	C.milii
Callorhinchus_milii	Mir-338	Vertebrata	2	C.milii
Callorhinchus_milii	Mir-34	Bilateria	7	C.milii
Callorhinchus_milii	Mir-425	Gnathostomata	1	C.milii
Callorhinchus_milii	Mir-451	Vertebrata	2	C.milii
Callorhinchus_milii	Mir-4541	Vertebrata	1	C.milii
Callorhinchus_milii	Mir-455	Vertebrata	1	C.milii
Callorhinchus_milii	Mir-456	Vertebrata	1	C.milii
Callorhinchus_milii	Mir-551	Vertebrata	2	C.milii
Callorhinchus_milii	Mir-7	Bilateria	3	C.milii
Callorhinchus_milii	Mir-725	Gnathostomata	1	C.milii
Callorhinchus_milii	Mir-8	Bilateria	3	C.milii
Callorhinchus_milii	Mir-9	Bilateria	3	C.milii
Callorhinchus_milii	Mir-92	Bilateria	9	C.milii
Callorhinchus_milii	Mir-96	Bilateria	3	C.milii
Ciona_intestinalis	Let-7	Bilateria	6	C.intestinalis
Ciona_intestinalis	Mir-1	Bilateria	1	C.intestinalis
Ciona_intestinalis	Mir-124	Bilateria	2	C.intestinalis
Ciona_intestinalis	Mir-126	Olfactores	1	C.intestinalis
Ciona_intestinalis	Mir-133	Bilateria	1	C.intestinalis
Ciona_intestinalis	Mir-135	Chordata	1	C.intestinalis
Ciona_intestinalis	Mir-153	Bilateria	1	C.intestinalis
