species	node	family	total_hits	filtered_hits
Microcaecilia_unicolor	Bilateria	Let-7	15	15
Microcaecilia_unicolor	Bilateria	Mir-1	4	4
Microcaecilia_unicolor	Eumetazoa	Mir-10	12	12
Microcaecilia_unicolor	Vertebrata	Mir-101	5	4
Microcaecilia_unicolor	Deuterostomia	Mir-103	3	3
Microcaecilia_unicolor	Vertebrata	Mir-122	1	1
Microcaecilia_unicolor	Bilateria	Mir-124	8	8
Microcaecilia_unicolor	Olfactores	Mir-126	1	1
Microcaecilia_unicolor	Vertebrata	Mir-128	2	2
Microcaecilia_unicolor	Chordata	Mir-129	4	3
Microcaecilia_unicolor	Vertebrata	Mir-130	7	7
Microcaecilia_unicolor	Gnathostomata	Mir-1306	1	1
Microcaecilia_unicolor	Vertebrata	Mir-132	2	2
Microcaecilia_unicolor	Vertebrata	Mir-1329	1	1
Microcaecilia_unicolor	Bilateria	Mir-133	5	5
Microcaecilia_unicolor	Chordata	Mir-135	3	3
Microcaecilia_unicolor	Bilateria	Mir-137	3	2
Microcaecilia_unicolor	Vertebrata	Mir-138	1	1
Microcaecilia_unicolor	Gnathostomata	Mir-1388	1	1
Microcaecilia_unicolor	Gnathostomata	Mir-139	1	1
Microcaecilia_unicolor	Vertebrata	Mir-140	1	1
Microcaecilia_unicolor	Vertebrata	Mir-142	1	1
Microcaecilia_unicolor	Vertebrata	Mir-143	1	1
Microcaecilia_unicolor	Vertebrata	Mir-144	1	1
Microcaecilia_unicolor	Vertebrata	Mir-145	2	1
Microcaecilia_unicolor	Vertebrata	Mir-146	3	3
Microcaecilia_unicolor	Vertebrata	Mir-148	2	2
Microcaecilia_unicolor	Olfactores	Mir-15	7	6
Microcaecilia_unicolor	Gnathostomata	Mir-150	1	1
Microcaecilia_unicolor	Bilateria	Mir-153	2	2
Microcaecilia_unicolor	Vertebrata	Mir-155	2	1
Microcaecilia_unicolor	Tetrapoda	Mir-1662	1	1
Microcaecilia_unicolor	Vertebrata	Mir-17	11	7
Microcaecilia_unicolor	Vertebrata	Mir-1788	1	1
Microcaecilia_unicolor	Vertebrata	Mir-181	6	6
Microcaecilia_unicolor	Osteichthyes	Mir-187	1	1
Microcaecilia_unicolor	Vertebrata	Mir-19	5	4
Microcaecilia_unicolor	Bilateria	Mir-190	1	1
Microcaecilia_unicolor	Gnathostomata	Mir-191	1	1
Microcaecilia_unicolor	Vertebrata	Mir-192	3	2
Microcaecilia_unicolor	Bilateria	Mir-193	5	4
Microcaecilia_unicolor	Vertebrata	Mir-194	2	2
Microcaecilia_unicolor	Olfactores	Mir-196	2	2
Microcaecilia_unicolor	Vertebrata	Mir-199	6	2
Microcaecilia_unicolor	Vertebrata	Mir-202	1	1
Microcaecilia_unicolor	Vertebrata	Mir-203	1	1
Microcaecilia_unicolor	Vertebrata	Mir-204	3	3
Microcaecilia_unicolor	Vertebrata	Mir-205	2	2
Microcaecilia_unicolor	Vertebrata	Mir-208	1	1
Microcaecilia_unicolor	Vertebrata	Mir-21	1	1
Microcaecilia_unicolor	Bilateria	Mir-210	1	1
Microcaecilia_unicolor	Gnathostomata	Mir-214	3	1
Microcaecilia_unicolor	Bilateria	Mir-216	1	1
Microcaecilia_unicolor	Chordata	Mir-217	2	2
Microcaecilia_unicolor	Vertebrata	Mir-218	1	1
Microcaecilia_unicolor	Gnathostomata	Mir-2184	1	1
Microcaecilia_unicolor	Gnathostomata	Mir-2188	1	1
Microcaecilia_unicolor	Bilateria	Mir-219	3	3
Microcaecilia_unicolor	Bilateria	Mir-22	1	1
Microcaecilia_unicolor	Vertebrata	Mir-221	5	4
Microcaecilia_unicolor	Vertebrata	Mir-223	2	1
Microcaecilia_unicolor	Vertebrata	Mir-23	3	3
Microcaecilia_unicolor	Vertebrata	Mir-24	2	2
Microcaecilia_unicolor	Bilateria	Mir-242	1	0
Microcaecilia_unicolor	Vertebrata	Mir-26	3	3
Microcaecilia_unicolor	Vertebrata	Mir-27	1	1
Microcaecilia_unicolor	Bilateria	Mir-29	5	5
Microcaecilia_unicolor	Sarcopterygii	Mir-2970	1	1
Microcaecilia_unicolor	Vertebrata	Mir-30	6	6
Microcaecilia_unicolor	Bilateria	Mir-31	1	1
Microcaecilia_unicolor	Gnathostomata	Mir-32	1	1
Microcaecilia_unicolor	Bilateria	Mir-33	2	2
Microcaecilia_unicolor	Vertebrata	Mir-338	3	2
Microcaecilia_unicolor	Bilateria	Mir-34	5	5
Microcaecilia_unicolor	Bilateria	Mir-375	2	2
Microcaecilia_unicolor	Tetrapoda	Mir-383	1	1
Microcaecilia_unicolor	Gnathostomata	Mir-425	1	1
Microcaecilia_unicolor	Vertebrata	Mir-430	3	3
Microcaecilia_unicolor	Vertebrata	Mir-451	2	1
Microcaecilia_unicolor	Vertebrata	Mir-455	1	1
Microcaecilia_unicolor	Vertebrata	Mir-456	1	1
Microcaecilia_unicolor	Osteichthyes	Mir-458	1	1
Microcaecilia_unicolor	Vertebrata	Mir-459	1	1
Microcaecilia_unicolor	Osteichthyes	Mir-460	2	2
Microcaecilia_unicolor	Osteichthyes	Mir-489	1	1
Microcaecilia_unicolor	Vertebrata	Mir-499	1	1
Microcaecilia_unicolor	Vertebrata	Mir-551	1	1
Microcaecilia_unicolor	Sarcopterygii	Mir-599	2	1
Microcaecilia_unicolor	Bilateria	Mir-7	7	7
Microcaecilia_unicolor	Osteichthyes	Mir-737	1	1
Microcaecilia_unicolor	Bilateria	Mir-8	3	3
Microcaecilia_unicolor	Vertebrata	Mir-875	2	1
Microcaecilia_unicolor	Bilateria	Mir-9	5	4
Microcaecilia_unicolor	Bilateria	Mir-92	6	5
Microcaecilia_unicolor	Bilateria	Mir-96	4	4
