species	node	family	total_hits	filtered_hits
Patiria_miniata	Bilateria	Let-7	2	2
Patiria_miniata	Bilateria	Mir-1	3	2
Patiria_miniata	Eumetazoa	Mir-10	5	5
Patiria_miniata	Deuterostomia	Mir-103	2	2
Patiria_miniata	Bilateria	Mir-124	1	1
Patiria_miniata	Bilateria	Mir-133	2	2
Patiria_miniata	Bilateria	Mir-137	2	1
Patiria_miniata	Bilateria	Mir-153	5	2
Patiria_miniata	Bilateria	Mir-184	1	1
Patiria_miniata	Bilateria	Mir-190	2	0
Patiria_miniata	Bilateria	Mir-193	4	2
Patiria_miniata	Bilateria	Mir-2001	2	2
Patiria_miniata	Ambulacraria	Mir-2006	2	1
Patiria_miniata	Ambulacraria	Mir-2007	16	2
Patiria_miniata	Ambulacraria	Mir-2008	1	1
Patiria_miniata	Ambulacraria	Mir-2009	3	1
Patiria_miniata	Ambulacraria	Mir-2011	2	2
Patiria_miniata	Ambulacraria	Mir-2012	11	1
Patiria_miniata	Bilateria	Mir-210	1	1
Patiria_miniata	Bilateria	Mir-219	4	2
Patiria_miniata	Bilateria	Mir-22	3	0
Patiria_miniata	Bilateria	Mir-242	2	2
Patiria_miniata	Bilateria	Mir-252	6	6
Patiria_miniata	Bilateria	Mir-278	2	2
Patiria_miniata	Bilateria	Mir-29	3	2
Patiria_miniata	Bilateria	Mir-31	4	4
Patiria_miniata	Bilateria	Mir-33	7	2
Patiria_miniata	Bilateria	Mir-34	2	2
Patiria_miniata	Bilateria	Mir-375	2	2
Patiria_miniata	Bilateria	Mir-7	3	2
Patiria_miniata	Bilateria	Mir-71	2	2
Patiria_miniata	Bilateria	Mir-76	10	1
Patiria_miniata	Bilateria	Mir-8	2	2
Patiria_miniata	Bilateria	Mir-9	2	2
Patiria_miniata	Bilateria	Mir-92	7	7
Patiria_miniata	Bilateria	Mir-96	3	3
