species	node	family	total_hits	filtered_hits
Saccoglossus_kowalevskii	Bilateria	Let-7	1	1
Saccoglossus_kowalevskii	Bilateria	Mir-1	4	1
Saccoglossus_kowalevskii	Eumetazoa	Mir-10	3	3
Saccoglossus_kowalevskii	Deuterostomia	Mir-103	2	1
Saccoglossus_kowalevskii	Bilateria	Mir-124	1	1
Saccoglossus_kowalevskii	Bilateria	Mir-133	1	1
Saccoglossus_kowalevskii	Bilateria	Mir-137	1	1
Saccoglossus_kowalevskii	Bilateria	Mir-153	1	1
Saccoglossus_kowalevskii	Bilateria	Mir-184	1	1
Saccoglossus_kowalevskii	Bilateria	Mir-190	1	1
Saccoglossus_kowalevskii	Bilateria	Mir-193	3	3
Saccoglossus_kowalevskii	Bilateria	Mir-2001	1	1
Saccoglossus_kowalevskii	Ambulacraria	Mir-2006	1	1
Saccoglossus_kowalevskii	Ambulacraria	Mir-2007	1	1
Saccoglossus_kowalevskii	Ambulacraria	Mir-2008	1	1
Saccoglossus_kowalevskii	Ambulacraria	Mir-2011	1	1
Saccoglossus_kowalevskii	Ambulacraria	Mir-2012	1	1
Saccoglossus_kowalevskii	Bilateria	Mir-210	1	1
Saccoglossus_kowalevskii	Bilateria	Mir-219	72	20
Saccoglossus_kowalevskii	Bilateria	Mir-22	1	0
Saccoglossus_kowalevskii	Bilateria	Mir-242	1	1
Saccoglossus_kowalevskii	Bilateria	Mir-252	2	2
Saccoglossus_kowalevskii	Bilateria	Mir-278	1	1
Saccoglossus_kowalevskii	Bilateria	Mir-281	1	1
Saccoglossus_kowalevskii	Bilateria	Mir-29	2	2
Saccoglossus_kowalevskii	Bilateria	Mir-31	1	1
Saccoglossus_kowalevskii	Bilateria	Mir-315	1	1
Saccoglossus_kowalevskii	Bilateria	Mir-33	6	1
Saccoglossus_kowalevskii	Bilateria	Mir-34	1	1
Saccoglossus_kowalevskii	Bilateria	Mir-375	1	1
Saccoglossus_kowalevskii	Bilateria	Mir-7	1	1
Saccoglossus_kowalevskii	Bilateria	Mir-71	1	1
Saccoglossus_kowalevskii	Bilateria	Mir-8	1	1
Saccoglossus_kowalevskii	Bilateria	Mir-9	2	1
Saccoglossus_kowalevskii	Bilateria	Mir-92	4	4
Saccoglossus_kowalevskii	Bilateria	Mir-96	3	3
