species	node	family	total_hits	filtered_hits
Capitella_teleta	Protostomia	Bantam	3	1
Capitella_teleta	Bilateria	Let-7	1	1
Capitella_teleta	Bilateria	Mir-1	1	1
Capitella_teleta	Eumetazoa	Mir-10	6	6
Capitella_teleta	Protostomia	Mir-1175	1	1
Capitella_teleta	Protostomia	Mir-12	1	1
Capitella_teleta	Bilateria	Mir-124	1	1
Capitella_teleta	Bilateria	Mir-133	1	1
Capitella_teleta	Bilateria	Mir-137	2	1
Capitella_teleta	Bilateria	Mir-153	1	1
Capitella_teleta	Bilateria	Mir-184	2	2
Capitella_teleta	Bilateria	Mir-190	1	1
Capitella_teleta	Bilateria	Mir-193	2	1
Capitella_teleta	Lophotrochozoa	Mir-1986	1	1
Capitella_teleta	Platytrochozoa	Mir-1989	3	1
Capitella_teleta	Lophotrochozoa	Mir-1990	3	1
Capitella_teleta	Platytrochozoa	Mir-1992	1	1
Capitella_teleta	Protostomia	Mir-1993	2	1
Capitella_teleta	Lophotrochozoa	Mir-1994	1	1
Capitella_teleta	Protostomia	Mir-2	10	10
Capitella_teleta	Bilateria	Mir-2001	1	1
Capitella_teleta	Bilateria	Mir-210	3	2
Capitella_teleta	Bilateria	Mir-216	3	3
Capitella_teleta	Bilateria	Mir-219	1	1
Capitella_teleta	Bilateria	Mir-22	2	1
Capitella_teleta	Bilateria	Mir-242	1	1
Capitella_teleta	Bilateria	Mir-252	2	2
Capitella_teleta	Protostomia	Mir-277	2	2
Capitella_teleta	Bilateria	Mir-278	1	1
Capitella_teleta	Protostomia	Mir-279	3	3
Capitella_teleta	Bilateria	Mir-281	1	1
Capitella_teleta	Bilateria	Mir-29	2	2
Capitella_teleta	Bilateria	Mir-31	1	1
Capitella_teleta	Bilateria	Mir-315	1	1
Capitella_teleta	Protostomia	Mir-317	1	1
Capitella_teleta	Bilateria	Mir-33	4	1
Capitella_teleta	Bilateria	Mir-34	1	1
Capitella_teleta	Protostomia	Mir-36	1	1
Capitella_teleta	Bilateria	Mir-375	2	2
Capitella_teleta	Protostomia	Mir-67	1	1
Capitella_teleta	Bilateria	Mir-7	1	1
Capitella_teleta	Bilateria	Mir-71	1	1
Capitella_teleta	Protostomia	Mir-750	1	1
Capitella_teleta	Bilateria	Mir-76	1	1
Capitella_teleta	Bilateria	Mir-8	1	1
Capitella_teleta	Protostomia	Mir-87	2	2
Capitella_teleta	Bilateria	Mir-9	3	1
Capitella_teleta	Bilateria	Mir-92	4	4
Capitella_teleta	Bilateria	Mir-96	4	3
