species	node	family	total_hits	filtered_hits
Crassostrea_gigas	Protostomia	Bantam	10	1
Crassostrea_gigas	Bilateria	Let-7	1	1
Crassostrea_gigas	Bilateria	Mir-1	1	1
Crassostrea_gigas	Eumetazoa	Mir-10	4	4
Crassostrea_gigas	Protostomia	Mir-1175	1	1
Crassostrea_gigas	Protostomia	Mir-12	1	1
Crassostrea_gigas	Bilateria	Mir-124	2	2
Crassostrea_gigas	Bilateria	Mir-133	1	1
Crassostrea_gigas	Bilateria	Mir-137	1	1
Crassostrea_gigas	Bilateria	Mir-153	2	1
Crassostrea_gigas	Bilateria	Mir-184	61	56
Crassostrea_gigas	Bilateria	Mir-190	2	1
Crassostrea_gigas	Bilateria	Mir-193	2	2
Crassostrea_gigas	Lophotrochozoa	Mir-1986	2	1
Crassostrea_gigas	Platytrochozoa	Mir-1989	4	1
Crassostrea_gigas	Lophotrochozoa	Mir-1990	2	1
Crassostrea_gigas	Platytrochozoa	Mir-1992	1	1
Crassostrea_gigas	Protostomia	Mir-1993	2	1
Crassostrea_gigas	Lophotrochozoa	Mir-1994	2	2
Crassostrea_gigas	Protostomia	Mir-2	9	9
Crassostrea_gigas	Bilateria	Mir-2001	2	1
Crassostrea_gigas	Bilateria	Mir-210	1	1
Crassostrea_gigas	Bilateria	Mir-216	2	2
Crassostrea_gigas	Bilateria	Mir-219	1	1
Crassostrea_gigas	Bilateria	Mir-22	2	2
Crassostrea_gigas	Bilateria	Mir-242	1	1
Crassostrea_gigas	Bilateria	Mir-252	2	2
Crassostrea_gigas	Protostomia	Mir-277	1	1
Crassostrea_gigas	Bilateria	Mir-278	1	1
Crassostrea_gigas	Protostomia	Mir-279	1	1
Crassostrea_gigas	Bilateria	Mir-281	1	1
Crassostrea_gigas	Bilateria	Mir-29	2	2
Crassostrea_gigas	Bilateria	Mir-31	1	1
Crassostrea_gigas	Bilateria	Mir-315	1	1
Crassostrea_gigas	Protostomia	Mir-317	2	2
Crassostrea_gigas	Bilateria	Mir-33	5	1
Crassostrea_gigas	Bilateria	Mir-34	1	1
Crassostrea_gigas	Protostomia	Mir-36	1	1
Crassostrea_gigas	Bilateria	Mir-375	2	2
Crassostrea_gigas	Protostomia	Mir-67	3	3
Crassostrea_gigas	Bilateria	Mir-7	1	1
Crassostrea_gigas	Bilateria	Mir-71	1	1
Crassostrea_gigas	Protostomia	Mir-750	1	1
Crassostrea_gigas	Bilateria	Mir-76	2	1
Crassostrea_gigas	Bilateria	Mir-8	1	1
Crassostrea_gigas	Protostomia	Mir-87	2	2
Crassostrea_gigas	Bilateria	Mir-9	5	3
Crassostrea_gigas	Bilateria	Mir-92	13	7
Crassostrea_gigas	Bilateria	Mir-96	4	3
