species	node	family	total_hits	filtered_hits
Ixodes_scapularis	Protostomia	Bantam	2	2
Ixodes_scapularis	Arthropoda	Iab-4	1	1
Ixodes_scapularis	Bilateria	Let-7	1	1
Ixodes_scapularis	Bilateria	Mir-1	2	1
Ixodes_scapularis	Eumetazoa	Mir-10	4	4
Ixodes_scapularis	Protostomia	Mir-1175	1	1
Ixodes_scapularis	Protostomia	Mir-12	1	1
Ixodes_scapularis	Bilateria	Mir-124	2	1
Ixodes_scapularis	Bilateria	Mir-133	1	1
Ixodes_scapularis	Bilateria	Mir-137	1	1
Ixodes_scapularis	Bilateria	Mir-153	1	1
Ixodes_scapularis	Bilateria	Mir-184	1	1
Ixodes_scapularis	Bilateria	Mir-190	1	1
Ixodes_scapularis	Protostomia	Mir-1993	2	2
Ixodes_scapularis	Protostomia	Mir-2	4	4
Ixodes_scapularis	Bilateria	Mir-2001	1	1
Ixodes_scapularis	Bilateria	Mir-210	2	1
Ixodes_scapularis	Bilateria	Mir-216	1	1
Ixodes_scapularis	Bilateria	Mir-219	1	1
Ixodes_scapularis	Bilateria	Mir-22	5	1
Ixodes_scapularis	Bilateria	Mir-252	2	2
Ixodes_scapularis	Arthropoda	Mir-275	1	1
Ixodes_scapularis	Arthropoda	Mir-276	1	1
Ixodes_scapularis	Protostomia	Mir-277	1	1
Ixodes_scapularis	Bilateria	Mir-278	1	1
Ixodes_scapularis	Protostomia	Mir-279	2	2
Ixodes_scapularis	Bilateria	Mir-281	1	1
Ixodes_scapularis	Bilateria	Mir-29	1	1
Ixodes_scapularis	Ecdysozoa	Mir-305	1	1
Ixodes_scapularis	Bilateria	Mir-31	1	1
Ixodes_scapularis	Bilateria	Mir-315	1	1
Ixodes_scapularis	Protostomia	Mir-317	1	1
Ixodes_scapularis	Bilateria	Mir-33	3	1
Ixodes_scapularis	Protostomia	Mir-36	1	1
Ixodes_scapularis	Bilateria	Mir-375	1	1
Ixodes_scapularis	Protostomia	Mir-67	1	1
Ixodes_scapularis	Bilateria	Mir-7	2	1
Ixodes_scapularis	Bilateria	Mir-71	3	1
Ixodes_scapularis	Protostomia	Mir-750	1	1
Ixodes_scapularis	Bilateria	Mir-76	2	1
Ixodes_scapularis	Bilateria	Mir-8	1	1
Ixodes_scapularis	Protostomia	Mir-87	2	2
Ixodes_scapularis	Bilateria	Mir-9	2	1
Ixodes_scapularis	Bilateria	Mir-92	1	1
Ixodes_scapularis	Bilateria	Mir-96	6	3
