species	node	family	total_hits	filtered_hits
Chrysemys_picta_bellii	Bilateria	Let-7	20	15
Chrysemys_picta_bellii	Bilateria	Mir-1	5	4
Chrysemys_picta_bellii	Eumetazoa	Mir-10	9	9
Chrysemys_picta_bellii	Vertebrata	Mir-101	2	2
Chrysemys_picta_bellii	Deuterostomia	Mir-103	4	3
Chrysemys_picta_bellii	Vertebrata	Mir-122	1	1
Chrysemys_picta_bellii	Bilateria	Mir-124	4	4
Chrysemys_picta_bellii	Olfactores	Mir-126	1	1
Chrysemys_picta_bellii	Vertebrata	Mir-128	2	2
Chrysemys_picta_bellii	Chordata	Mir-129	3	2
Chrysemys_picta_bellii	Vertebrata	Mir-130	7	7
Chrysemys_picta_bellii	Gnathostomata	Mir-1306	1	1
Chrysemys_picta_bellii	Vertebrata	Mir-132	2	2
Chrysemys_picta_bellii	Vertebrata	Mir-1329	1	1
Chrysemys_picta_bellii	Bilateria	Mir-133	4	4
Chrysemys_picta_bellii	Chordata	Mir-135	3	3
Chrysemys_picta_bellii	Bilateria	Mir-137	2	2
Chrysemys_picta_bellii	Vertebrata	Mir-138	1	1
Chrysemys_picta_bellii	Gnathostomata	Mir-1388	1	1
Chrysemys_picta_bellii	Gnathostomata	Mir-139	1	1
Chrysemys_picta_bellii	Amniota	Mir-1397	1	1
Chrysemys_picta_bellii	Vertebrata	Mir-140	1	1
Chrysemys_picta_bellii	Amniota	Mir-1416	3	1
Chrysemys_picta_bellii	Vertebrata	Mir-142	4	2
Chrysemys_picta_bellii	Vertebrata	Mir-143	2	1
Chrysemys_picta_bellii	Vertebrata	Mir-144	1	1
Chrysemys_picta_bellii	Vertebrata	Mir-145	4	1
Chrysemys_picta_bellii	Vertebrata	Mir-146	3	3
Chrysemys_picta_bellii	Vertebrata	Mir-147	1	1
Chrysemys_picta_bellii	Vertebrata	Mir-148	10	3
Chrysemys_picta_bellii	Olfactores	Mir-15	8	7
Chrysemys_picta_bellii	Bilateria	Mir-153	2	2
Chrysemys_picta_bellii	Vertebrata	Mir-155	3	1
Chrysemys_picta_bellii	Tetrapoda	Mir-1662	1	1
Chrysemys_picta_bellii	Diapsida	Mir-1677	32218	1940
Chrysemys_picta_bellii	Vertebrata	Mir-17	8	8
Chrysemys_picta_bellii	Diapsida	Mir-1720	1	1
Chrysemys_picta_bellii	Vertebrata	Mir-1788	1	1
Chrysemys_picta_bellii	Tetrapoda	Mir-1805	1	1
Chrysemys_picta_bellii	Vertebrata	Mir-181	6	6
Chrysemys_picta_bellii	Bilateria	Mir-184	1	1
Chrysemys_picta_bellii	Osteichthyes	Mir-187	3	1
Chrysemys_picta_bellii	Vertebrata	Mir-19	3	3
Chrysemys_picta_bellii	Bilateria	Mir-190	2	2
Chrysemys_picta_bellii	Gnathostomata	Mir-191	1	1
Chrysemys_picta_bellii	Vertebrata	Mir-192	2	2
Chrysemys_picta_bellii	Bilateria	Mir-193	6	4
Chrysemys_picta_bellii	Vertebrata	Mir-194	2	2
Chrysemys_picta_bellii	Olfactores	Mir-196	3	3
Chrysemys_picta_bellii	Vertebrata	Mir-199	3	3
Chrysemys_picta_bellii	Vertebrata	Mir-202	1	1
Chrysemys_picta_bellii	Vertebrata	Mir-203	6	1
Chrysemys_picta_bellii	Vertebrata	Mir-204	3	3
Chrysemys_picta_bellii	Vertebrata	Mir-205	2	2
Chrysemys_picta_bellii	Vertebrata	Mir-208	1	1
Chrysemys_picta_bellii	Vertebrata	Mir-21	1	1
Chrysemys_picta_bellii	Bilateria	Mir-210	1	1
Chrysemys_picta_bellii	Gnathostomata	Mir-214	4	1
Chrysemys_picta_bellii	Bilateria	Mir-216	2	2
Chrysemys_picta_bellii	Chordata	Mir-217	1	1
Chrysemys_picta_bellii	Vertebrata	Mir-218	3	2
Chrysemys_picta_bellii	Gnathostomata	Mir-2184	1	1
Chrysemys_picta_bellii	Gnathostomata	Mir-2188	1	1
Chrysemys_picta_bellii	Bilateria	Mir-219	2	2
Chrysemys_picta_bellii	Bilateria	Mir-22	1	1
Chrysemys_picta_bellii	Vertebrata	Mir-221	3	3
Chrysemys_picta_bellii	Vertebrata	Mir-223	1	1
Chrysemys_picta_bellii	Vertebrata	Mir-23	2	2
Chrysemys_picta_bellii	Vertebrata	Mir-24	6	2
Chrysemys_picta_bellii	Vertebrata	Mir-26	4	3
Chrysemys_picta_bellii	Vertebrata	Mir-27	2	2
Chrysemys_picta_bellii	Bilateria	Mir-29	4	4
Chrysemys_picta_bellii	Sarcopterygii	Mir-2970	2	1
Chrysemys_picta_bellii	Vertebrata	Mir-30	6	6
Chrysemys_picta_bellii	Bilateria	Mir-31	1	1
Chrysemys_picta_bellii	Gnathostomata	Mir-32	1	1
Chrysemys_picta_bellii	Bilateria	Mir-33	3	2
Chrysemys_picta_bellii	Vertebrata	Mir-338	2	2
Chrysemys_picta_bellii	Bilateria	Mir-34	7	7
Chrysemys_picta_bellii	Bilateria	Mir-375	1	1
Chrysemys_picta_bellii	Tetrapoda	Mir-383	1	1
Chrysemys_picta_bellii	Gnathostomata	Mir-425	1	1
Chrysemys_picta_bellii	Vertebrata	Mir-430	40	40
Chrysemys_picta_bellii	Vertebrata	Mir-451	1	1
Chrysemys_picta_bellii	Vertebrata	Mir-455	1	1
Chrysemys_picta_bellii	Vertebrata	Mir-456	1	1
Chrysemys_picta_bellii	Osteichthyes	Mir-458	1	1
Chrysemys_picta_bellii	Vertebrata	Mir-459	1	1
Chrysemys_picta_bellii	Osteichthyes	Mir-460	2	2
Chrysemys_picta_bellii	Osteichthyes	Mir-489	1	1
Chrysemys_picta_bellii	Amniota	Mir-490	1	1
Chrysemys_picta_bellii	Vertebrata	Mir-499	1	1
Chrysemys_picta_bellii	Vertebrata	Mir-551	2	2
Chrysemys_picta_bellii	Sarcopterygii	Mir-599	1	1
