species	node	family	total_hits	filtered_hits
Drosophila_melanogaster	Protostomia	Bantam	1	1
Drosophila_melanogaster	Arthropoda	Iab-4	1	1
Drosophila_melanogaster	Bilateria	Let-7	1	1
Drosophila_melanogaster	Bilateria	Mir-1	1	1
Drosophila_melanogaster	Eumetazoa	Mir-10	4	4
Drosophila_melanogaster	Protostomia	Mir-1175	1	1
Drosophila_melanogaster	Protostomia	Mir-12	1	1
Drosophila_melanogaster	Bilateria	Mir-124	1	1
Drosophila_melanogaster	Bilateria	Mir-133	1	1
Drosophila_melanogaster	Bilateria	Mir-137	1	1
Drosophila_melanogaster	Bilateria	Mir-184	1	1
Drosophila_melanogaster	Bilateria	Mir-190	1	1
Drosophila_melanogaster	Bilateria	Mir-193	1	0
Drosophila_melanogaster	Protostomia	Mir-2	14	14
Drosophila_melanogaster	Bilateria	Mir-2001	1	1
Drosophila_melanogaster	Bilateria	Mir-210	1	1
Drosophila_melanogaster	Bilateria	Mir-216	2	2
Drosophila_melanogaster	Bilateria	Mir-219	1	1
Drosophila_melanogaster	Bilateria	Mir-22	1	1
Drosophila_melanogaster	Bilateria	Mir-252	2	2
Drosophila_melanogaster	Arthropoda	Mir-275	1	1
Drosophila_melanogaster	Arthropoda	Mir-276	2	2
Drosophila_melanogaster	Protostomia	Mir-277	1	1
Drosophila_melanogaster	Bilateria	Mir-278	1	1
Drosophila_melanogaster	Protostomia	Mir-279	3	3
Drosophila_melanogaster	Bilateria	Mir-281	2	2
Drosophila_melanogaster	Pancrustacea	Mir-282	1	1
Drosophila_melanogaster	Bilateria	Mir-29	2	1
Drosophila_melanogaster	Pancrustacea	Mir-3	3	3
Drosophila_melanogaster	Ecdysozoa	Mir-305	1	1
Drosophila_melanogaster	Bilateria	Mir-31	2	2
Drosophila_melanogaster	Bilateria	Mir-315	1	1
Drosophila_melanogaster	Pancrustacea	Mir-316	1	1
Drosophila_melanogaster	Protostomia	Mir-317	1	1
Drosophila_melanogaster	Bilateria	Mir-33	1	1
Drosophila_melanogaster	Bilateria	Mir-34	1	1
Drosophila_melanogaster	Bilateria	Mir-375	1	1
Drosophila_melanogaster	Protostomia	Mir-67	2	1
Drosophila_melanogaster	Bilateria	Mir-7	2	1
Drosophila_melanogaster	Bilateria	Mir-76	2	1
Drosophila_melanogaster	Bilateria	Mir-8	1	1
Drosophila_melanogaster	Protostomia	Mir-87	1	1
Drosophila_melanogaster	Bilateria	Mir-9	5	4
Drosophila_melanogaster	Bilateria	Mir-92	6	5
Drosophila_melanogaster	Bilateria	Mir-96	2	2
Drosophila_melanogaster	Pancrustacea	Mir-965	1	1
