species	node	family	total_hits	filtered_hits
Limulus_polyphemus	Protostomia	Bantam	8	6
Limulus_polyphemus	Arthropoda	Iab-4	10	3
Limulus_polyphemus	Bilateria	Let-7	17	4
Limulus_polyphemus	Bilateria	Mir-1	16	6
Limulus_polyphemus	Eumetazoa	Mir-10	17	17
Limulus_polyphemus	Protostomia	Mir-1175	5	3
Limulus_polyphemus	Protostomia	Mir-12	5	5
Limulus_polyphemus	Bilateria	Mir-124	6	6
Limulus_polyphemus	Bilateria	Mir-133	6	5
Limulus_polyphemus	Bilateria	Mir-137	10	5
Limulus_polyphemus	Bilateria	Mir-153	6	6
Limulus_polyphemus	Bilateria	Mir-184	7	6
Limulus_polyphemus	Bilateria	Mir-190	12	4
Limulus_polyphemus	Bilateria	Mir-193	10	7
Limulus_polyphemus	Protostomia	Mir-1993	6	3
Limulus_polyphemus	Protostomia	Mir-2	39	39
Limulus_polyphemus	Bilateria	Mir-2001	4	2
Limulus_polyphemus	Bilateria	Mir-210	8	5
Limulus_polyphemus	Bilateria	Mir-216	5	3
Limulus_polyphemus	Bilateria	Mir-219	9	5
Limulus_polyphemus	Bilateria	Mir-22	7	4
Limulus_polyphemus	Bilateria	Mir-242	2	0
Limulus_polyphemus	Bilateria	Mir-252	7	7
Limulus_polyphemus	Arthropoda	Mir-275	5	5
Limulus_polyphemus	Arthropoda	Mir-276	10	7
Limulus_polyphemus	Protostomia	Mir-277	9	6
Limulus_polyphemus	Bilateria	Mir-278	4	3
Limulus_polyphemus	Protostomia	Mir-279	6	5
Limulus_polyphemus	Bilateria	Mir-281	6	5
Limulus_polyphemus	Bilateria	Mir-29	4	2
Limulus_polyphemus	Ecdysozoa	Mir-305	8	5
Limulus_polyphemus	Bilateria	Mir-31	4	4
Limulus_polyphemus	Bilateria	Mir-315	4	4
Limulus_polyphemus	Protostomia	Mir-317	2	2
Limulus_polyphemus	Bilateria	Mir-33	5	3
Limulus_polyphemus	Bilateria	Mir-34	7	6
Limulus_polyphemus	Protostomia	Mir-36	5	3
Limulus_polyphemus	Bilateria	Mir-375	3	3
Limulus_polyphemus	Protostomia	Mir-67	12	5
Limulus_polyphemus	Bilateria	Mir-7	6	1
Limulus_polyphemus	Bilateria	Mir-71	15	7
Limulus_polyphemus	Protostomia	Mir-750	3	3
Limulus_polyphemus	Bilateria	Mir-76	9	6
Limulus_polyphemus	Bilateria	Mir-8	22	7
Limulus_polyphemus	Protostomia	Mir-87	16	16
Limulus_polyphemus	Bilateria	Mir-9	28	6
Limulus_polyphemus	Bilateria	Mir-92	4	3
Limulus_polyphemus	Bilateria	Mir-96	16	15
