species	node	family	total_hits	filtered_hits
Ornithorhynchus_anatinus	Bilateria	Let-7	17	14
Ornithorhynchus_anatinus	Bilateria	Mir-1	4	4
Ornithorhynchus_anatinus	Eumetazoa	Mir-10	8	8
Ornithorhynchus_anatinus	Vertebrata	Mir-101	2	2
Ornithorhynchus_anatinus	Deuterostomia	Mir-103	12	3
Ornithorhynchus_anatinus	Vertebrata	Mir-122	1	1
Ornithorhynchus_anatinus	Bilateria	Mir-124	3	3
Ornithorhynchus_anatinus	Olfactores	Mir-126	1	1
Ornithorhynchus_anatinus	Vertebrata	Mir-128	2	2
Ornithorhynchus_anatinus	Chordata	Mir-129	2	2
Ornithorhynchus_anatinus	Vertebrata	Mir-130	6	6
Ornithorhynchus_anatinus	Gnathostomata	Mir-1306	1	1
Ornithorhynchus_anatinus	Vertebrata	Mir-132	3	2
Ornithorhynchus_anatinus	Vertebrata	Mir-1329	1	1
Ornithorhynchus_anatinus	Bilateria	Mir-133	4	4
Ornithorhynchus_anatinus	Chordata	Mir-135	3	3
Ornithorhynchus_anatinus	Bilateria	Mir-137	2	2
Ornithorhynchus_anatinus	Vertebrata	Mir-138	2	2
Ornithorhynchus_anatinus	Gnathostomata	Mir-1388	1	1
Ornithorhynchus_anatinus	Gnathostomata	Mir-139	1	1
Ornithorhynchus_anatinus	Amniota	Mir-1397	1	1
Ornithorhynchus_anatinus	Vertebrata	Mir-140	1	1
Ornithorhynchus_anatinus	Amniota	Mir-1416	1	1
Ornithorhynchus_anatinus	Vertebrata	Mir-142	2	1
Ornithorhynchus_anatinus	Vertebrata	Mir-143	1	1
Ornithorhynchus_anatinus	Vertebrata	Mir-144	1	1
Ornithorhynchus_anatinus	Vertebrata	Mir-145	1	1
Ornithorhynchus_anatinus	Vertebrata	Mir-146	3	2
Ornithorhynchus_anatinus	Vertebrata	Mir-147	1	1
Ornithorhynchus_anatinus	Vertebrata	Mir-148	2	2
Ornithorhynchus_anatinus	Olfactores	Mir-15	8	8
Ornithorhynchus_anatinus	Gnathostomata	Mir-150	1	1
Ornithorhynchus_anatinus	Bilateria	Mir-153	2	2
Ornithorhynchus_anatinus	Vertebrata	Mir-155	1	1
Ornithorhynchus_anatinus	Vertebrata	Mir-17	8	8
Ornithorhynchus_anatinus	Vertebrata	Mir-181	6	6
Ornithorhynchus_anatinus	Bilateria	Mir-184	1	1
Ornithorhynchus_anatinus	Mammalia	Mir-186	1	1
