species	node	family	total_hits	filtered_hits
Octopus_vulgaris	Protostomia	Bantam	1	1
Octopus_vulgaris	Bilateria	Let-7	3	1
Octopus_vulgaris	Bilateria	Mir-1	3	1
Octopus_vulgaris	Eumetazoa	Mir-10	1	1
Octopus_vulgaris	Protostomia	Mir-1175	2	1
Octopus_vulgaris	Protostomia	Mir-12	1	1
Octopus_vulgaris	Bilateria	Mir-124	1	1
Octopus_vulgaris	Bilateria	Mir-133	1	1
Octopus_vulgaris	Bilateria	Mir-137	2	1
Octopus_vulgaris	Bilateria	Mir-153	1	1
Octopus_vulgaris	Bilateria	Mir-184	2	2
Octopus_vulgaris	Bilateria	Mir-190	1	1
Octopus_vulgaris	Lophotrochozoa	Mir-1986	1	1
Octopus_vulgaris	Platytrochozoa	Mir-1992	1	1
Octopus_vulgaris	Protostomia	Mir-1993	1	1
Octopus_vulgaris	Lophotrochozoa	Mir-1994	2	2
Octopus_vulgaris	Protostomia	Mir-2	10	10
Octopus_vulgaris	Bilateria	Mir-2001	1	0
Octopus_vulgaris	Bilateria	Mir-210	2	2
Octopus_vulgaris	Bilateria	Mir-216	2	2
Octopus_vulgaris	Bilateria	Mir-219	1	1
Octopus_vulgaris	Bilateria	Mir-22	3	2
Octopus_vulgaris	Bilateria	Mir-252	1	1
Octopus_vulgaris	Protostomia	Mir-277	2	1
Octopus_vulgaris	Bilateria	Mir-278	1	1
Octopus_vulgaris	Protostomia	Mir-279	2	1
Octopus_vulgaris	Bilateria	Mir-281	1	1
Octopus_vulgaris	Bilateria	Mir-29	2	2
Octopus_vulgaris	Bilateria	Mir-31	1	1
Octopus_vulgaris	Bilateria	Mir-315	1	1
Octopus_vulgaris	Protostomia	Mir-317	1	1
Octopus_vulgaris	Bilateria	Mir-33	1	1
Octopus_vulgaris	Bilateria	Mir-34	1	1
Octopus_vulgaris	Protostomia	Mir-36	2	2
Octopus_vulgaris	Bilateria	Mir-375	1	1
Octopus_vulgaris	Protostomia	Mir-67	1	1
Octopus_vulgaris	Bilateria	Mir-7	2	1
Octopus_vulgaris	Bilateria	Mir-71	1	1
Octopus_vulgaris	Protostomia	Mir-750	1	1
Octopus_vulgaris	Bilateria	Mir-76	1	1
Octopus_vulgaris	Bilateria	Mir-8	2	1
Octopus_vulgaris	Protostomia	Mir-87	1	1
Octopus_vulgaris	Bilateria	Mir-9	6	2
Octopus_vulgaris	Bilateria	Mir-96	2	1
