species	node	family	total_hits	filtered_hits
Caenorhabditis_briggsae	Protostomia	Bantam	7	3
Caenorhabditis_briggsae	Bilateria	Let-7	1	1
Caenorhabditis_briggsae	Bilateria	Mir-1	1	1
Caenorhabditis_briggsae	Bilateria	Mir-124	3	1
Caenorhabditis_briggsae	Bilateria	Mir-133	2	1
Caenorhabditis_briggsae	Bilateria	Mir-137	1	1
Caenorhabditis_briggsae	Bilateria	Mir-190	1	0
Caenorhabditis_briggsae	Bilateria	Mir-193	6	0
Caenorhabditis_briggsae	Protostomia	Mir-1993	1	0
Caenorhabditis_briggsae	Protostomia	Mir-2	2	2
Caenorhabditis_briggsae	Bilateria	Mir-2001	1	1
Caenorhabditis_briggsae	Bilateria	Mir-216	2	0
Caenorhabditis_briggsae	Bilateria	Mir-242	1	0
Caenorhabditis_briggsae	Bilateria	Mir-252	2	2
Caenorhabditis_briggsae	Protostomia	Mir-279	3	3
Caenorhabditis_briggsae	Bilateria	Mir-281	2	2
Caenorhabditis_briggsae	Bilateria	Mir-29	1	1
Caenorhabditis_briggsae	Ecdysozoa	Mir-305	3	3
Caenorhabditis_briggsae	Bilateria	Mir-31	1	1
Caenorhabditis_briggsae	Bilateria	Mir-34	1	1
Caenorhabditis_briggsae	Protostomia	Mir-36	31	30
Caenorhabditis_briggsae	Bilateria	Mir-375	1	1
Caenorhabditis_briggsae	Protostomia	Mir-67	1	1
Caenorhabditis_briggsae	Bilateria	Mir-7	2	0
Caenorhabditis_briggsae	Bilateria	Mir-71	1	1
Caenorhabditis_briggsae	Bilateria	Mir-76	1	1
Caenorhabditis_briggsae	Bilateria	Mir-8	2	1
Caenorhabditis_briggsae	Protostomia	Mir-87	2	1
Caenorhabditis_briggsae	Bilateria	Mir-9	3	2
Caenorhabditis_briggsae	Bilateria	Mir-92	3	2
Caenorhabditis_briggsae	Bilateria	Mir-96	3	0
