species	node	family	total_hits	filtered_hits
Drosophila_yakuba	Protostomia	Bantam	1	1
Drosophila_yakuba	Arthropoda	Iab-4	1	1
Drosophila_yakuba	Bilateria	Let-7	1	1
Drosophila_yakuba	Bilateria	Mir-1	1	1
Drosophila_yakuba	Eumetazoa	Mir-10	4	4
Drosophila_yakuba	Protostomia	Mir-1175	2	2
Drosophila_yakuba	Bilateria	Mir-124	1	1
Drosophila_yakuba	Bilateria	Mir-133	1	1
Drosophila_yakuba	Bilateria	Mir-137	1	1
Drosophila_yakuba	Bilateria	Mir-184	1	1
Drosophila_yakuba	Bilateria	Mir-190	1	1
Drosophila_yakuba	Bilateria	Mir-193	2	0
Drosophila_yakuba	Protostomia	Mir-2	14	14
Drosophila_yakuba	Bilateria	Mir-2001	1	1
Drosophila_yakuba	Bilateria	Mir-210	1	1
Drosophila_yakuba	Bilateria	Mir-216	2	2
Drosophila_yakuba	Bilateria	Mir-219	1	1
Drosophila_yakuba	Bilateria	Mir-22	1	1
Drosophila_yakuba	Bilateria	Mir-252	2	2
Drosophila_yakuba	Arthropoda	Mir-275	1	1
Drosophila_yakuba	Arthropoda	Mir-276	2	2
Drosophila_yakuba	Protostomia	Mir-277	1	1
Drosophila_yakuba	Bilateria	Mir-278	1	1
Drosophila_yakuba	Protostomia	Mir-279	3	3
Drosophila_yakuba	Bilateria	Mir-281	2	2
Drosophila_yakuba	Pancrustacea	Mir-282	1	1
Drosophila_yakuba	Bilateria	Mir-29	2	1
Drosophila_yakuba	Pancrustacea	Mir-3	3	3
Drosophila_yakuba	Ecdysozoa	Mir-305	1	1
Drosophila_yakuba	Bilateria	Mir-31	2	2
Drosophila_yakuba	Bilateria	Mir-315	2	2
Drosophila_yakuba	Pancrustacea	Mir-316	2	2
Drosophila_yakuba	Protostomia	Mir-317	1	1
Drosophila_yakuba	Bilateria	Mir-33	1	1
Drosophila_yakuba	Bilateria	Mir-34	1	1
Drosophila_yakuba	Bilateria	Mir-375	1	1
Drosophila_yakuba	Protostomia	Mir-67	2	1
Drosophila_yakuba	Bilateria	Mir-7	2	1
Drosophila_yakuba	Bilateria	Mir-76	1	1
Drosophila_yakuba	Bilateria	Mir-8	1	1
Drosophila_yakuba	Protostomia	Mir-87	1	1
Drosophila_yakuba	Bilateria	Mir-9	6	5
Drosophila_yakuba	Bilateria	Mir-92	6	5
Drosophila_yakuba	Bilateria	Mir-96	3	3
Drosophila_yakuba	Pancrustacea	Mir-965	1	1
