species	node	family	total_hits	filtered_hits
Eisenia_fetida	Protostomia	Bantam	3	2
Eisenia_fetida	Bilateria	Let-7	10	6
Eisenia_fetida	Bilateria	Mir-1	4	4
Eisenia_fetida	Eumetazoa	Mir-10	13	13
Eisenia_fetida	Protostomia	Mir-1175	3	2
Eisenia_fetida	Protostomia	Mir-12	5	3
Eisenia_fetida	Bilateria	Mir-124	9	9
Eisenia_fetida	Bilateria	Mir-133	3	3
Eisenia_fetida	Bilateria	Mir-137	15	12
Eisenia_fetida	Bilateria	Mir-153	6	3
Eisenia_fetida	Bilateria	Mir-184	8	8
Eisenia_fetida	Bilateria	Mir-190	10	8
Eisenia_fetida	Bilateria	Mir-193	9	5
Eisenia_fetida	Lophotrochozoa	Mir-1986	3	3
Eisenia_fetida	Platytrochozoa	Mir-1989	1	0
Eisenia_fetida	Lophotrochozoa	Mir-1990	8	2
Eisenia_fetida	Platytrochozoa	Mir-1992	4	2
Eisenia_fetida	Protostomia	Mir-1993	3	3
Eisenia_fetida	Lophotrochozoa	Mir-1994	1	0
Eisenia_fetida	Protostomia	Mir-2	19	19
Eisenia_fetida	Bilateria	Mir-210	1	1
Eisenia_fetida	Bilateria	Mir-216	6	5
Eisenia_fetida	Bilateria	Mir-219	5	1
Eisenia_fetida	Bilateria	Mir-22	3	1
Eisenia_fetida	Protostomia	Mir-277	4	1
Eisenia_fetida	Bilateria	Mir-278	3	3
Eisenia_fetida	Protostomia	Mir-279	10	10
Eisenia_fetida	Bilateria	Mir-281	4	4
Eisenia_fetida	Bilateria	Mir-29	5	5
Eisenia_fetida	Bilateria	Mir-31	2	2
Eisenia_fetida	Bilateria	Mir-315	3	3
Eisenia_fetida	Protostomia	Mir-317	4	4
Eisenia_fetida	Bilateria	Mir-33	5	1
Eisenia_fetida	Bilateria	Mir-34	2	2
Eisenia_fetida	Protostomia	Mir-36	5	3
Eisenia_fetida	Bilateria	Mir-375	1	1
Eisenia_fetida	Protostomia	Mir-67	3	3
Eisenia_fetida	Bilateria	Mir-7	5	4
Eisenia_fetida	Bilateria	Mir-71	3	3
Eisenia_fetida	Protostomia	Mir-750	4	4
Eisenia_fetida	Bilateria	Mir-76	1	1
Eisenia_fetida	Bilateria	Mir-8	5	4
Eisenia_fetida	Protostomia	Mir-87	17	15
Eisenia_fetida	Bilateria	Mir-9	4	2
Eisenia_fetida	Bilateria	Mir-92	4	4
Eisenia_fetida	Bilateria	Mir-96	4	3
