species	node	family	total_hits	filtered_hits
Ptychodera_flava	Bilateria	Let-7	1	1
Ptychodera_flava	Bilateria	Mir-1	2	1
Ptychodera_flava	Eumetazoa	Mir-10	6	6
Ptychodera_flava	Deuterostomia	Mir-103	1	1
Ptychodera_flava	Bilateria	Mir-124	1	1
Ptychodera_flava	Bilateria	Mir-133	1	1
Ptychodera_flava	Bilateria	Mir-137	1	1
Ptychodera_flava	Bilateria	Mir-153	2	1
Ptychodera_flava	Bilateria	Mir-184	1	1
Ptychodera_flava	Bilateria	Mir-190	2	1
Ptychodera_flava	Bilateria	Mir-193	3	3
Ptychodera_flava	Bilateria	Mir-2001	1	1
Ptychodera_flava	Ambulacraria	Mir-2006	1	1
Ptychodera_flava	Ambulacraria	Mir-2007	3	1
Ptychodera_flava	Ambulacraria	Mir-2008	3	1
Ptychodera_flava	Ambulacraria	Mir-2009	2	1
Ptychodera_flava	Ambulacraria	Mir-2011	2	1
Ptychodera_flava	Ambulacraria	Mir-2012	3	1
Ptychodera_flava	Bilateria	Mir-210	2	2
Ptychodera_flava	Bilateria	Mir-216	1	0
Ptychodera_flava	Bilateria	Mir-219	3	1
Ptychodera_flava	Bilateria	Mir-22	2	1
Ptychodera_flava	Bilateria	Mir-242	2	1
Ptychodera_flava	Bilateria	Mir-252	2	2
Ptychodera_flava	Bilateria	Mir-278	1	1
Ptychodera_flava	Bilateria	Mir-281	1	1
Ptychodera_flava	Bilateria	Mir-29	2	2
Ptychodera_flava	Bilateria	Mir-31	1	1
Ptychodera_flava	Bilateria	Mir-315	1	1
Ptychodera_flava	Bilateria	Mir-33	25	1
Ptychodera_flava	Bilateria	Mir-34	1	1
Ptychodera_flava	Bilateria	Mir-375	1	1
Ptychodera_flava	Bilateria	Mir-7	2	1
Ptychodera_flava	Bilateria	Mir-71	2	1
Ptychodera_flava	Bilateria	Mir-8	3	1
Ptychodera_flava	Bilateria	Mir-9	3	1
Ptychodera_flava	Bilateria	Mir-92	5	5
Ptychodera_flava	Bilateria	Mir-96	3	3
