species	node	family	total_hits	filtered_hits
Tetraodon_nigroviridis	Bilateria	Let-7	19	19
Tetraodon_nigroviridis	Bilateria	Mir-1	3	3
Tetraodon_nigroviridis	Eumetazoa	Mir-10	10	10
Tetraodon_nigroviridis	Vertebrata	Mir-101	2	2
Tetraodon_nigroviridis	Deuterostomia	Mir-103	3	3
Tetraodon_nigroviridis	Vertebrata	Mir-122	2	1
Tetraodon_nigroviridis	Bilateria	Mir-124	4	4
Tetraodon_nigroviridis	Olfactores	Mir-126	1	1
Tetraodon_nigroviridis	Vertebrata	Mir-128	2	2
Tetraodon_nigroviridis	Chordata	Mir-129	4	4
Tetraodon_nigroviridis	Vertebrata	Mir-130	2	2
Tetraodon_nigroviridis	Gnathostomata	Mir-1306	1	1
Tetraodon_nigroviridis	Vertebrata	Mir-132	4	4
Tetraodon_nigroviridis	Bilateria	Mir-133	3	3
Tetraodon_nigroviridis	Chordata	Mir-135	5	5
Tetraodon_nigroviridis	Bilateria	Mir-137	3	1
Tetraodon_nigroviridis	Vertebrata	Mir-138	3	3
Tetraodon_nigroviridis	Gnathostomata	Mir-1388	1	1
Tetraodon_nigroviridis	Gnathostomata	Mir-139	1	1
Tetraodon_nigroviridis	Vertebrata	Mir-140	1	1
Tetraodon_nigroviridis	Vertebrata	Mir-142	2	2
Tetraodon_nigroviridis	Vertebrata	Mir-144	1	1
Tetraodon_nigroviridis	Vertebrata	Mir-146	1	1
Tetraodon_nigroviridis	Vertebrata	Mir-147	1	0
Tetraodon_nigroviridis	Vertebrata	Mir-148	2	2
Tetraodon_nigroviridis	Olfactores	Mir-15	4	4
Tetraodon_nigroviridis	Gnathostomata	Mir-150	1	1
Tetraodon_nigroviridis	Bilateria	Mir-153	3	3
Tetraodon_nigroviridis	Vertebrata	Mir-155	1	1
Tetraodon_nigroviridis	Vertebrata	Mir-17	8	8
Tetraodon_nigroviridis	Vertebrata	Mir-1788	2	1
Tetraodon_nigroviridis	Vertebrata	Mir-181	8	8
Tetraodon_nigroviridis	Bilateria	Mir-184	2	2
Tetraodon_nigroviridis	Osteichthyes	Mir-187	1	1
Tetraodon_nigroviridis	Vertebrata	Mir-19	5	5
Tetraodon_nigroviridis	Bilateria	Mir-190	3	3
Tetraodon_nigroviridis	Gnathostomata	Mir-191	1	1
Tetraodon_nigroviridis	Vertebrata	Mir-192	1	1
Tetraodon_nigroviridis	Bilateria	Mir-193	2	2
Tetraodon_nigroviridis	Vertebrata	Mir-194	2	2
Tetraodon_nigroviridis	Olfactores	Mir-196	6	6
Tetraodon_nigroviridis	Vertebrata	Mir-199	3	3
Tetraodon_nigroviridis	Vertebrata	Mir-202	1	1
Tetraodon_nigroviridis	Vertebrata	Mir-203	1	1
Tetraodon_nigroviridis	Vertebrata	Mir-204	2	2
Tetraodon_nigroviridis	Vertebrata	Mir-205	1	1
Tetraodon_nigroviridis	Vertebrata	Mir-21	2	2
Tetraodon_nigroviridis	Bilateria	Mir-210	1	1
Tetraodon_nigroviridis	Gnathostomata	Mir-214	2	2
Tetraodon_nigroviridis	Bilateria	Mir-216	2	2
Tetraodon_nigroviridis	Chordata	Mir-217	1	1
Tetraodon_nigroviridis	Vertebrata	Mir-218	3	3
Tetraodon_nigroviridis	Gnathostomata	Mir-2184	2	1
Tetraodon_nigroviridis	Gnathostomata	Mir-2188	1	1
Tetraodon_nigroviridis	Bilateria	Mir-219	5	4
Tetraodon_nigroviridis	Bilateria	Mir-22	3	3
Tetraodon_nigroviridis	Vertebrata	Mir-221	2	2
Tetraodon_nigroviridis	Vertebrata	Mir-223	1	1
Tetraodon_nigroviridis	Vertebrata	Mir-23	4	4
Tetraodon_nigroviridis	Vertebrata	Mir-24	6	5
Tetraodon_nigroviridis	Vertebrata	Mir-26	5	5
Tetraodon_nigroviridis	Vertebrata	Mir-27	5	5
Tetraodon_nigroviridis	Bilateria	Mir-29	7	7
Tetraodon_nigroviridis	Vertebrata	Mir-30	7	7
Tetraodon_nigroviridis	Bilateria	Mir-31	1	1
Tetraodon_nigroviridis	Bilateria	Mir-33	4	3
Tetraodon_nigroviridis	Vertebrata	Mir-338	3	3
Tetraodon_nigroviridis	Bilateria	Mir-34	4	2
Tetraodon_nigroviridis	Bilateria	Mir-375	1	1
Tetraodon_nigroviridis	Gnathostomata	Mir-425	1	1
Tetraodon_nigroviridis	Vertebrata	Mir-430	64	21
Tetraodon_nigroviridis	Vertebrata	Mir-451	1	1
Tetraodon_nigroviridis	Vertebrata	Mir-455	2	2
Tetraodon_nigroviridis	Osteichthyes	Mir-458	1	1
Tetraodon_nigroviridis	Vertebrata	Mir-459	1	1
Tetraodon_nigroviridis	Osteichthyes	Mir-460	3	3
Tetraodon_nigroviridis	Osteichthyes	Mir-489	2	1
Tetraodon_nigroviridis	Vertebrata	Mir-499	1	1
Tetraodon_nigroviridis	Bilateria	Mir-7	1	1
Tetraodon_nigroviridis	Bilateria	Mir-71	1	0
Tetraodon_nigroviridis	Osteichthyes	Mir-7147	1	1
Tetraodon_nigroviridis	Osteichthyes	Mir-722	2	2
Tetraodon_nigroviridis	Gnathostomata	Mir-725	1	1
Tetraodon_nigroviridis	Osteichthyes	Mir-726	1	1
Tetraodon_nigroviridis	Osteichthyes	Mir-727	2	2
Tetraodon_nigroviridis	Osteichthyes	Mir-737	1	1
Tetraodon_nigroviridis	Bilateria	Mir-8	3	3
Tetraodon_nigroviridis	Bilateria	Mir-9	8	7
Tetraodon_nigroviridis	Bilateria	Mir-92	3	3
Tetraodon_nigroviridis	Bilateria	Mir-96	6	5
