species	node	family	total_hits	filtered_hits
Columba_livia	Bilateria	Let-7	11	11
Columba_livia	Bilateria	Mir-1	5	5
Columba_livia	Eumetazoa	Mir-10	7	7
Columba_livia	Vertebrata	Mir-101	2	2
Columba_livia	Deuterostomia	Mir-103	3	3
Columba_livia	Vertebrata	Mir-122	1	1
Columba_livia	Bilateria	Mir-124	3	3
Columba_livia	Olfactores	Mir-126	1	1
Columba_livia	Vertebrata	Mir-128	2	2
Columba_livia	Chordata	Mir-129	1	1
Columba_livia	Vertebrata	Mir-130	5	5
Columba_livia	Gnathostomata	Mir-1306	1	1
Columba_livia	Vertebrata	Mir-1329	1	1
Columba_livia	Bilateria	Mir-133	4	4
Columba_livia	Chordata	Mir-135	3	3
Columba_livia	Bilateria	Mir-137	2	2
Columba_livia	Vertebrata	Mir-138	2	2
Columba_livia	Gnathostomata	Mir-1388	1	1
Columba_livia	Gnathostomata	Mir-139	1	1
Columba_livia	Vertebrata	Mir-140	1	1
Columba_livia	Amniota	Mir-1416	1	1
Columba_livia	Vertebrata	Mir-142	1	1
Columba_livia	Vertebrata	Mir-143	1	1
Columba_livia	Vertebrata	Mir-144	2	1
Columba_livia	Vertebrata	Mir-145	2	1
Columba_livia	Vertebrata	Mir-146	3	3
Columba_livia	Vertebrata	Mir-147	1	1
Columba_livia	Vertebrata	Mir-148	3	2
Columba_livia	Olfactores	Mir-15	6	6
Columba_livia	Bilateria	Mir-153	2	2
Columba_livia	Vertebrata	Mir-155	2	1
Columba_livia	Tetrapoda	Mir-1662	1	1
Columba_livia	Diapsida	Mir-1677	476	9
Columba_livia	Vertebrata	Mir-17	6	6
Columba_livia	Diapsida	Mir-1720	1	1
Columba_livia	Vertebrata	Mir-1788	1	1
Columba_livia	Tetrapoda	Mir-1805	1	1
Columba_livia	Vertebrata	Mir-181	5	4
Columba_livia	Bilateria	Mir-184	1	1
Columba_livia	Osteichthyes	Mir-187	1	1
Columba_livia	Vertebrata	Mir-19	3	3
Columba_livia	Bilateria	Mir-190	1	1
Columba_livia	Vertebrata	Mir-192	1	1
Columba_livia	Bilateria	Mir-193	4	4
Columba_livia	Vertebrata	Mir-194	1	1
Columba_livia	Olfactores	Mir-196	4	3
Columba_livia	Vertebrata	Mir-199	2	2
Columba_livia	Vertebrata	Mir-202	2	1
Columba_livia	Vertebrata	Mir-203	1	0
Columba_livia	Vertebrata	Mir-204	3	3
Columba_livia	Vertebrata	Mir-205	2	2
Columba_livia	Vertebrata	Mir-21	1	1
Columba_livia	Bilateria	Mir-210	1	1
Columba_livia	Gnathostomata	Mir-214	2	1
Columba_livia	Bilateria	Mir-216	3	2
Columba_livia	Chordata	Mir-217	1	1
Columba_livia	Vertebrata	Mir-218	2	2
Columba_livia	Gnathostomata	Mir-2188	1	1
Columba_livia	Bilateria	Mir-219	1	1
Columba_livia	Bilateria	Mir-22	1	1
Columba_livia	Vertebrata	Mir-221	3	3
Columba_livia	Vertebrata	Mir-223	1	1
Columba_livia	Vertebrata	Mir-23	1	1
Columba_livia	Vertebrata	Mir-26	3	2
Columba_livia	Vertebrata	Mir-27	1	1
Columba_livia	Bilateria	Mir-29	4	4
Columba_livia	Sarcopterygii	Mir-2970	1	1
Columba_livia	Vertebrata	Mir-30	5	5
Columba_livia	Bilateria	Mir-31	1	1
Columba_livia	Gnathostomata	Mir-32	1	1
Columba_livia	Bilateria	Mir-33	3	2
Columba_livia	Vertebrata	Mir-338	2	2
Columba_livia	Bilateria	Mir-34	7	7
Columba_livia	Bilateria	Mir-375	1	1
Columba_livia	Tetrapoda	Mir-383	1	1
Columba_livia	Gnathostomata	Mir-425	1	1
Columba_livia	Vertebrata	Mir-430	4	4
Columba_livia	Vertebrata	Mir-451	1	1
Columba_livia	Vertebrata	Mir-455	2	1
Columba_livia	Vertebrata	Mir-456	1	1
Columba_livia	Osteichthyes	Mir-458	1	1
Columba_livia	Vertebrata	Mir-459	1	1
Columba_livia	Osteichthyes	Mir-460	2	2
Columba_livia	Osteichthyes	Mir-489	1	1
Columba_livia	Amniota	Mir-490	1	1
Columba_livia	Vertebrata	Mir-499	1	1
Columba_livia	Vertebrata	Mir-551	2	2
Columba_livia	Sarcopterygii	Mir-599	1	1
Columba_livia	Bilateria	Mir-7	4	4
Columba_livia	Osteichthyes	Mir-737	2	1
Columba_livia	Diapsida	Mir-7463	1	1
Columba_livia	Bilateria	Mir-8	3	3
Columba_livia	Vertebrata	Mir-875	1	1
Columba_livia	Bilateria	Mir-9	3	3
Columba_livia	Bilateria	Mir-92	4	4
Columba_livia	Bilateria	Mir-96	3	3
