species	node	family	total_hits	filtered_hits
Ciona_intestinalis	Bilateria	Let-7	6	6
Ciona_intestinalis	Bilateria	Mir-1	1	1
Ciona_intestinalis	Bilateria	Mir-124	2	2
Ciona_intestinalis	Olfactores	Mir-126	1	1
Ciona_intestinalis	Bilateria	Mir-133	1	1
Ciona_intestinalis	Chordata	Mir-135	2	1
Ciona_intestinalis	Olfactores	Mir-15	2	0
Ciona_intestinalis	Bilateria	Mir-153	1	1
Ciona_intestinalis	Bilateria	Mir-184	1	1
Ciona_intestinalis	Olfactores	Mir-196	1	1
Ciona_intestinalis	Bilateria	Mir-2001	1	0
Ciona_intestinalis	Bilateria	Mir-210	1	0
Ciona_intestinalis	Bilateria	Mir-219	1	1
Ciona_intestinalis	Bilateria	Mir-281	1	1
Ciona_intestinalis	Bilateria	Mir-29	1	0
Ciona_intestinalis	Bilateria	Mir-31	1	1
Ciona_intestinalis	Bilateria	Mir-33	1	0
Ciona_intestinalis	Bilateria	Mir-34	1	1
Ciona_intestinalis	Bilateria	Mir-375	1	1
Ciona_intestinalis	Chordata	Mir-4057	1	1
Ciona_intestinalis	Bilateria	Mir-7	1	1
Ciona_intestinalis	Bilateria	Mir-8	7	0
Ciona_intestinalis	Bilateria	Mir-9	3	1
Ciona_intestinalis	Bilateria	Mir-92	4	2
Ciona_intestinalis	Bilateria	Mir-96	1	1
