species	node	family	total_hits	filtered_hits
Blattella_germanica	Protostomia	Bantam	1	1
Blattella_germanica	Arthropoda	Iab-4	1	1
Blattella_germanica	Bilateria	Let-7	2	1
Blattella_germanica	Bilateria	Mir-1	1	1
Blattella_germanica	Eumetazoa	Mir-10	4	4
Blattella_germanica	Protostomia	Mir-1175	1	1
Blattella_germanica	Protostomia	Mir-12	1	1
Blattella_germanica	Bilateria	Mir-124	1	1
Blattella_germanica	Bilateria	Mir-133	1	1
Blattella_germanica	Bilateria	Mir-137	2	2
Blattella_germanica	Bilateria	Mir-153	2	2
Blattella_germanica	Bilateria	Mir-184	1	1
Blattella_germanica	Bilateria	Mir-190	1	1
Blattella_germanica	Bilateria	Mir-193	2	2
Blattella_germanica	Protostomia	Mir-1993	2	0
Blattella_germanica	Protostomia	Mir-2	5	5
Blattella_germanica	Bilateria	Mir-2001	2	2
Blattella_germanica	Bilateria	Mir-210	1	1
Blattella_germanica	Bilateria	Mir-216	2	2
Blattella_germanica	Bilateria	Mir-219	2	1
Blattella_germanica	Bilateria	Mir-22	4	1
Blattella_germanica	Bilateria	Mir-252	2	2
Blattella_germanica	Arthropoda	Mir-275	1	1
Blattella_germanica	Arthropoda	Mir-276	1	1
Blattella_germanica	Pancrustacea	Mir-2765	1	1
Blattella_germanica	Protostomia	Mir-277	1	1
Blattella_germanica	Bilateria	Mir-278	1	1
Blattella_germanica	Protostomia	Mir-279	7	7
Blattella_germanica	Bilateria	Mir-281	1	1
Blattella_germanica	Pancrustacea	Mir-282	3	1
Blattella_germanica	Bilateria	Mir-29	3	2
Blattella_germanica	Pancrustacea	Mir-3	1	0
Blattella_germanica	Ecdysozoa	Mir-305	4	1
Blattella_germanica	Bilateria	Mir-31	1	1
Blattella_germanica	Bilateria	Mir-315	1	1
Blattella_germanica	Pancrustacea	Mir-316	1	1
Blattella_germanica	Protostomia	Mir-317	1	1
Blattella_germanica	Bilateria	Mir-33	1	1
Blattella_germanica	Bilateria	Mir-34	1	1
Blattella_germanica	Bilateria	Mir-375	1	1
Blattella_germanica	Protostomia	Mir-67	1	1
Blattella_germanica	Bilateria	Mir-7	2	1
Blattella_germanica	Bilateria	Mir-71	1	1
Blattella_germanica	Protostomia	Mir-750	1	1
Blattella_germanica	Bilateria	Mir-76	3	1
Blattella_germanica	Bilateria	Mir-8	1	1
Blattella_germanica	Protostomia	Mir-87	3	3
Blattella_germanica	Bilateria	Mir-9	4	4
Blattella_germanica	Bilateria	Mir-92	10	9
Blattella_germanica	Bilateria	Mir-96	4	2
Blattella_germanica	Pancrustacea	Mir-965	1	1
