species	node	family	total_hits	filtered_hits
Oryctolagus_cuniculus	Bilateria	Let-7	12	12
Oryctolagus_cuniculus	Bilateria	Mir-1	3	3
Oryctolagus_cuniculus	Eumetazoa	Mir-10	9	9
Oryctolagus_cuniculus	Vertebrata	Mir-101	2	2
Oryctolagus_cuniculus	Deuterostomia	Mir-103	3	3
Oryctolagus_cuniculus	Eutheria	Mir-105	3	2
Oryctolagus_cuniculus	Vertebrata	Mir-122	1	1
Oryctolagus_cuniculus	Bilateria	Mir-124	3	3
Oryctolagus_cuniculus	Eutheria	Mir-1247	2	1
Oryctolagus_cuniculus	Eutheria	Mir-1249	1	1
Oryctolagus_cuniculus	Theria	Mir-1251	1	1
Oryctolagus_cuniculus	Olfactores	Mir-126	1	1
Oryctolagus_cuniculus	Eutheria	Mir-127	2	2
Oryctolagus_cuniculus	Eutheria	Mir-1271	4	0
Oryctolagus_cuniculus	Eutheria	Mir-1277	495	1
Oryctolagus_cuniculus	Vertebrata	Mir-128	2	2
Oryctolagus_cuniculus	Chordata	Mir-129	2	2
Oryctolagus_cuniculus	Eutheria	Mir-1296	1	1
Oryctolagus_cuniculus	Eutheria	Mir-1298	1	1
Oryctolagus_cuniculus	Vertebrata	Mir-130	4	4
Oryctolagus_cuniculus	Gnathostomata	Mir-1306	2	1
Oryctolagus_cuniculus	Eutheria	Mir-1307	1	1
Oryctolagus_cuniculus	Vertebrata	Mir-132	2	2
Oryctolagus_cuniculus	Bilateria	Mir-133	2	2
Oryctolagus_cuniculus	Eutheria	Mir-134	2	2
Oryctolagus_cuniculus	Eutheria	Mir-1343	2	1
Oryctolagus_cuniculus	Chordata	Mir-135	3	3
Oryctolagus_cuniculus	Eutheria	Mir-136	2	2
Oryctolagus_cuniculus	Bilateria	Mir-137	1	1
Oryctolagus_cuniculus	Vertebrata	Mir-138	2	2
Oryctolagus_cuniculus	Gnathostomata	Mir-139	1	1
Oryctolagus_cuniculus	Vertebrata	Mir-140	1	1
Oryctolagus_cuniculus	Vertebrata	Mir-142	1	1
Oryctolagus_cuniculus	Vertebrata	Mir-143	1	1
Oryctolagus_cuniculus	Vertebrata	Mir-144	1	1
Oryctolagus_cuniculus	Vertebrata	Mir-145	2	1
Oryctolagus_cuniculus	Vertebrata	Mir-146	2	2
Oryctolagus_cuniculus	Vertebrata	Mir-147	3	2
Oryctolagus_cuniculus	Vertebrata	Mir-148	3	3
Oryctolagus_cuniculus	Eutheria	Mir-149	1	1
Oryctolagus_cuniculus	Olfactores	Mir-15	8	8
Oryctolagus_cuniculus	Gnathostomata	Mir-150	1	1
Oryctolagus_cuniculus	Bilateria	Mir-153	1	1
Oryctolagus_cuniculus	Eutheria	Mir-154	40	40
Oryctolagus_cuniculus	Vertebrata	Mir-155	7	1
Oryctolagus_cuniculus	Vertebrata	Mir-17	8	8
Oryctolagus_cuniculus	Vertebrata	Mir-1788	1	0
Oryctolagus_cuniculus	Tetrapoda	Mir-1805	1	0
Oryctolagus_cuniculus	Vertebrata	Mir-181	8	8
Oryctolagus_cuniculus	Bilateria	Mir-184	1	1
Oryctolagus_cuniculus	Eutheria	Mir-1842	1	1
Oryctolagus_cuniculus	Eutheria	Mir-185	1	1
Oryctolagus_cuniculus	Mammalia	Mir-186	2	1
Oryctolagus_cuniculus	Osteichthyes	Mir-187	1	1
Oryctolagus_cuniculus	Eutheria	Mir-188	4	3
Oryctolagus_cuniculus	Vertebrata	Mir-19	3	3
Oryctolagus_cuniculus	Bilateria	Mir-190	2	2
Oryctolagus_cuniculus	Gnathostomata	Mir-191	1	1
Oryctolagus_cuniculus	Eutheria	Mir-1911	1	1
Oryctolagus_cuniculus	Eutheria	Mir-1912	1	1
Oryctolagus_cuniculus	Vertebrata	Mir-192	2	2
Oryctolagus_cuniculus	Bilateria	Mir-193	4	4
Oryctolagus_cuniculus	Vertebrata	Mir-194	2	2
Oryctolagus_cuniculus	Olfactores	Mir-196	3	3
Oryctolagus_cuniculus	Eutheria	Mir-197	5	1
Oryctolagus_cuniculus	Vertebrata	Mir-199	4	4
Oryctolagus_cuniculus	Vertebrata	Mir-202	2	1
Oryctolagus_cuniculus	Vertebrata	Mir-203	1	1
Oryctolagus_cuniculus	Vertebrata	Mir-204	2	2
Oryctolagus_cuniculus	Vertebrata	Mir-205	2	1
Oryctolagus_cuniculus	Vertebrata	Mir-208	2	2
Oryctolagus_cuniculus	Vertebrata	Mir-21	1	1
Oryctolagus_cuniculus	Bilateria	Mir-210	1	1
Oryctolagus_cuniculus	Eutheria	Mir-2114	1	0
Oryctolagus_cuniculus	Gnathostomata	Mir-214	1	1
Oryctolagus_cuniculus	Bilateria	Mir-216	2	2
Oryctolagus_cuniculus	Chordata	Mir-217	1	1
Oryctolagus_cuniculus	Vertebrata	Mir-218	2	2
Oryctolagus_cuniculus	Gnathostomata	Mir-2184	1	0
Oryctolagus_cuniculus	Bilateria	Mir-219	2	1
Oryctolagus_cuniculus	Bilateria	Mir-22	1	1
Oryctolagus_cuniculus	Vertebrata	Mir-221	2	2
Oryctolagus_cuniculus	Vertebrata	Mir-223	1	1
Oryctolagus_cuniculus	Eutheria	Mir-224	2	1
Oryctolagus_cuniculus	Vertebrata	Mir-23	2	2
Oryctolagus_cuniculus	Eutheria	Mir-2355	1	1
Oryctolagus_cuniculus	Boreoeutheria	Mir-2387	1	1
Oryctolagus_cuniculus	Vertebrata	Mir-24	3	3
Oryctolagus_cuniculus	Vertebrata	Mir-26	3	3
Oryctolagus_cuniculus	Vertebrata	Mir-27	2	2
Oryctolagus_cuniculus	Eutheria	Mir-28	3	3
Oryctolagus_cuniculus	Bilateria	Mir-29	4	4
Oryctolagus_cuniculus	Vertebrata	Mir-30	6	6
Oryctolagus_cuniculus	Eutheria	Mir-3059	1	1
Oryctolagus_cuniculus	Eutheria	Mir-3085	1	1
Oryctolagus_cuniculus	Bilateria	Mir-31	1	1
Oryctolagus_cuniculus	Gnathostomata	Mir-32	1	1
Oryctolagus_cuniculus	Eutheria	Mir-320	2	1
Oryctolagus_cuniculus	Eutheria	Mir-324	1	1
Oryctolagus_cuniculus	Theria	Mir-325	1	1
Oryctolagus_cuniculus	Eutheria	Mir-326	1	1
Oryctolagus_cuniculus	Eutheria	Mir-328	1	1
Oryctolagus_cuniculus	Bilateria	Mir-33	2	2
Oryctolagus_cuniculus	Eutheria	Mir-330	1	1
Oryctolagus_cuniculus	Eutheria	Mir-331	1	1
Oryctolagus_cuniculus	Eutheria	Mir-335	1	1
Oryctolagus_cuniculus	Eutheria	Mir-337	2	2
Oryctolagus_cuniculus	Vertebrata	Mir-338	2	2
Oryctolagus_cuniculus	Eutheria	Mir-339	1	1
Oryctolagus_cuniculus	Bilateria	Mir-34	6	6
Oryctolagus_cuniculus	Theria	Mir-340	2	1
Oryctolagus_cuniculus	Eutheria	Mir-342	2	2
Oryctolagus_cuniculus	Eutheria	Mir-345	3	0
Oryctolagus_cuniculus	Eutheria	Mir-346	1	1
Oryctolagus_cuniculus	Eutheria	Mir-350	1	1
Oryctolagus_cuniculus	Eutheria	Mir-361	1	1
Oryctolagus_cuniculus	Theria	Mir-3613	1	1
Oryctolagus_cuniculus	Eutheria	Mir-362	6	5
Oryctolagus_cuniculus	Boreoeutheria	Mir-370	2	2
Oryctolagus_cuniculus	Eutheria	Mir-374	2	2
Oryctolagus_cuniculus	Bilateria	Mir-375	1	1
Oryctolagus_cuniculus	Eutheria	Mir-376	9	8
Oryctolagus_cuniculus	Eutheria	Mir-378	1	1
Oryctolagus_cuniculus	Tetrapoda	Mir-383	1	1
Oryctolagus_cuniculus	Eutheria	Mir-384	1	1
Oryctolagus_cuniculus	Eutheria	Mir-423	1	1
Oryctolagus_cuniculus	Gnathostomata	Mir-425	1	1
Oryctolagus_cuniculus	Vertebrata	Mir-430	10	10
Oryctolagus_cuniculus	Eutheria	Mir-431	1	1
Oryctolagus_cuniculus	Eutheria	Mir-432	2	2
Oryctolagus_cuniculus	Eutheria	Mir-433	2	2
Oryctolagus_cuniculus	Eutheria	Mir-448	1	1
Oryctolagus_cuniculus	Eutheria	Mir-450	3	3
Oryctolagus_cuniculus	Vertebrata	Mir-451	1	1
Oryctolagus_cuniculus	Eutheria	Mir-452	1	1
Oryctolagus_cuniculus	Vertebrata	Mir-455	1	1
Oryctolagus_cuniculus	Vertebrata	Mir-459	1	1
Oryctolagus_cuniculus	Theria	Mir-483	10	1
Oryctolagus_cuniculus	Eutheria	Mir-486	1	1
Oryctolagus_cuniculus	Eutheria	Mir-488	1	1
Oryctolagus_cuniculus	Osteichthyes	Mir-489	1	1
Oryctolagus_cuniculus	Amniota	Mir-490	1	1
Oryctolagus_cuniculus	Eutheria	Mir-491	1	1
Oryctolagus_cuniculus	Eutheria	Mir-493	5	2
Oryctolagus_cuniculus	Vertebrata	Mir-499	1	1
Oryctolagus_cuniculus	Eutheria	Mir-504	1	1
Oryctolagus_cuniculus	Eutheria	Mir-505	1	1
Oryctolagus_cuniculus	Eutheria	Mir-506	10	8
Oryctolagus_cuniculus	Eutheria	Mir-541	2	2
Oryctolagus_cuniculus	Eutheria	Mir-542	1	1
Oryctolagus_cuniculus	Eutheria	Mir-544	128	2
Oryctolagus_cuniculus	Vertebrata	Mir-551	1	1
Oryctolagus_cuniculus	Eutheria	Mir-574	177	1
Oryctolagus_cuniculus	Eutheria	Mir-582	1	1
Oryctolagus_cuniculus	Mammalia	Mir-590	1	1
Oryctolagus_cuniculus	Eutheria	Mir-592	1	1
Oryctolagus_cuniculus	Eutheria	Mir-598	1	0
Oryctolagus_cuniculus	Sarcopterygii	Mir-599	1	1
Oryctolagus_cuniculus	Eutheria	Mir-615	1	1
Oryctolagus_cuniculus	Eutheria	Mir-628	1	1
Oryctolagus_cuniculus	Eutheria	Mir-652	1	1
Oryctolagus_cuniculus	Eutheria	Mir-6529	1	1
Oryctolagus_cuniculus	Eutheria	Mir-653	1	1
Oryctolagus_cuniculus	Eutheria	Mir-670	1	1
Oryctolagus_cuniculus	Theria	Mir-671	1	1
Oryctolagus_cuniculus	Eutheria	Mir-6715	1	1
Oryctolagus_cuniculus	Eutheria	Mir-672	22	1
Oryctolagus_cuniculus	Eutheria	Mir-676	1	1
Oryctolagus_cuniculus	Bilateria	Mir-7	3	3
Oryctolagus_cuniculus	Eutheria	Mir-7180	1	1
Oryctolagus_cuniculus	Osteichthyes	Mir-722	1	0
Oryctolagus_cuniculus	Osteichthyes	Mir-737	1	0
Oryctolagus_cuniculus	Eutheria	Mir-744	1	1
