species	node	family	total_hits	filtered_hits
Nautilus_pompilius	Protostomia	Bantam	1	1
Nautilus_pompilius	Bilateria	Let-7	1	1
Nautilus_pompilius	Bilateria	Mir-1	2	2
Nautilus_pompilius	Eumetazoa	Mir-10	2	2
Nautilus_pompilius	Protostomia	Mir-1175	1	1
Nautilus_pompilius	Protostomia	Mir-12	1	1
Nautilus_pompilius	Bilateria	Mir-124	1	1
Nautilus_pompilius	Bilateria	Mir-133	2	2
Nautilus_pompilius	Bilateria	Mir-153	1	1
Nautilus_pompilius	Bilateria	Mir-184	1	1
Nautilus_pompilius	Bilateria	Mir-190	1	1
Nautilus_pompilius	Bilateria	Mir-193	1	1
Nautilus_pompilius	Lophotrochozoa	Mir-1986	1	1
Nautilus_pompilius	Platytrochozoa	Mir-1989	1	1
Nautilus_pompilius	Lophotrochozoa	Mir-1990	1	1
Nautilus_pompilius	Platytrochozoa	Mir-1992	1	1
Nautilus_pompilius	Protostomia	Mir-1993	1	1
Nautilus_pompilius	Lophotrochozoa	Mir-1994	4	2
Nautilus_pompilius	Protostomia	Mir-2	6	6
Nautilus_pompilius	Bilateria	Mir-2001	1	1
Nautilus_pompilius	Bilateria	Mir-210	2	1
Nautilus_pompilius	Bilateria	Mir-216	3	3
Nautilus_pompilius	Bilateria	Mir-22	2	2
Nautilus_pompilius	Bilateria	Mir-242	1	1
Nautilus_pompilius	Bilateria	Mir-252	2	2
Nautilus_pompilius	Protostomia	Mir-277	1	1
Nautilus_pompilius	Bilateria	Mir-278	1	1
Nautilus_pompilius	Protostomia	Mir-279	1	1
Nautilus_pompilius	Bilateria	Mir-281	1	1
Nautilus_pompilius	Bilateria	Mir-29	2	2
Nautilus_pompilius	Bilateria	Mir-31	1	1
Nautilus_pompilius	Bilateria	Mir-315	1	1
Nautilus_pompilius	Protostomia	Mir-317	1	1
Nautilus_pompilius	Bilateria	Mir-33	1	1
Nautilus_pompilius	Bilateria	Mir-34	1	1
Nautilus_pompilius	Protostomia	Mir-36	1	1
Nautilus_pompilius	Bilateria	Mir-375	1	1
Nautilus_pompilius	Protostomia	Mir-67	1	1
Nautilus_pompilius	Bilateria	Mir-7	2	1
Nautilus_pompilius	Bilateria	Mir-71	1	1
Nautilus_pompilius	Protostomia	Mir-750	1	1
Nautilus_pompilius	Bilateria	Mir-76	1	1
Nautilus_pompilius	Bilateria	Mir-8	1	1
Nautilus_pompilius	Bilateria	Mir-9	1	1
Nautilus_pompilius	Bilateria	Mir-92	4	4
Nautilus_pompilius	Bilateria	Mir-96	3	3
