species	node	family	total_hits	filtered_hits
Python_bivittatus	Bilateria	Let-7	16	14
Python_bivittatus	Bilateria	Mir-1	8	4
Python_bivittatus	Eumetazoa	Mir-10	9	9
Python_bivittatus	Vertebrata	Mir-101	2	2
Python_bivittatus	Deuterostomia	Mir-103	4	3
Python_bivittatus	Vertebrata	Mir-122	2	1
Python_bivittatus	Bilateria	Mir-124	5	5
Python_bivittatus	Olfactores	Mir-126	1	1
Python_bivittatus	Vertebrata	Mir-128	2	2
Python_bivittatus	Chordata	Mir-129	4	3
Python_bivittatus	Vertebrata	Mir-130	8	8
Python_bivittatus	Gnathostomata	Mir-1306	1	1
Python_bivittatus	Vertebrata	Mir-132	3	2
Python_bivittatus	Vertebrata	Mir-1329	1	1
Python_bivittatus	Bilateria	Mir-133	4	4
Python_bivittatus	Chordata	Mir-135	3	3
Python_bivittatus	Bilateria	Mir-137	3	2
Python_bivittatus	Vertebrata	Mir-138	2	2
Python_bivittatus	Gnathostomata	Mir-1388	1	1
Python_bivittatus	Gnathostomata	Mir-139	1	1
Python_bivittatus	Amniota	Mir-1397	1	1
Python_bivittatus	Vertebrata	Mir-142	2	1
Python_bivittatus	Vertebrata	Mir-143	1	1
Python_bivittatus	Vertebrata	Mir-144	1	1
Python_bivittatus	Vertebrata	Mir-145	49	1
Python_bivittatus	Vertebrata	Mir-146	4	2
Python_bivittatus	Vertebrata	Mir-147	2	1
Python_bivittatus	Vertebrata	Mir-148	4	2
Python_bivittatus	Olfactores	Mir-15	6	6
Python_bivittatus	Gnathostomata	Mir-150	1	1
Python_bivittatus	Bilateria	Mir-153	4	2
Python_bivittatus	Vertebrata	Mir-155	2	1
Python_bivittatus	Tetrapoda	Mir-1662	2	1
Python_bivittatus	Diapsida	Mir-1677	26	0
Python_bivittatus	Vertebrata	Mir-17	6	6
Python_bivittatus	Diapsida	Mir-1720	1	1
Python_bivittatus	Vertebrata	Mir-1788	2	1
Python_bivittatus	Tetrapoda	Mir-1805	1	1
Python_bivittatus	Vertebrata	Mir-181	5	5
Python_bivittatus	Bilateria	Mir-184	1	1
Python_bivittatus	Vertebrata	Mir-19	4	3
Python_bivittatus	Bilateria	Mir-190	3	2
Python_bivittatus	Gnathostomata	Mir-191	1	1
Python_bivittatus	Vertebrata	Mir-192	1	1
Python_bivittatus	Bilateria	Mir-193	4	4
Python_bivittatus	Vertebrata	Mir-194	2	2
Python_bivittatus	Olfactores	Mir-196	4	2
Python_bivittatus	Vertebrata	Mir-199	3	3
Python_bivittatus	Bilateria	Mir-2001	1	0
Python_bivittatus	Vertebrata	Mir-202	2	1
Python_bivittatus	Vertebrata	Mir-203	2	1
Python_bivittatus	Vertebrata	Mir-204	3	3
Python_bivittatus	Vertebrata	Mir-205	3	2
Python_bivittatus	Vertebrata	Mir-208	1	1
Python_bivittatus	Vertebrata	Mir-21	1	1
Python_bivittatus	Bilateria	Mir-210	1	1
Python_bivittatus	Gnathostomata	Mir-214	3	1
Python_bivittatus	Bilateria	Mir-216	4	2
Python_bivittatus	Chordata	Mir-217	1	1
Python_bivittatus	Vertebrata	Mir-218	3	2
Python_bivittatus	Gnathostomata	Mir-2184	1	0
Python_bivittatus	Gnathostomata	Mir-2188	1	1
Python_bivittatus	Bilateria	Mir-219	3	2
Python_bivittatus	Bilateria	Mir-22	10	1
Python_bivittatus	Vertebrata	Mir-221	3	3
Python_bivittatus	Vertebrata	Mir-223	2	1
Python_bivittatus	Vertebrata	Mir-23	2	2
Python_bivittatus	Vertebrata	Mir-24	2	2
Python_bivittatus	Vertebrata	Mir-26	4	3
Python_bivittatus	Vertebrata	Mir-27	2	2
Python_bivittatus	Bilateria	Mir-29	4	4
Python_bivittatus	Sarcopterygii	Mir-2970	1	1
Python_bivittatus	Vertebrata	Mir-30	6	6
Python_bivittatus	Bilateria	Mir-31	1	1
Python_bivittatus	Bilateria	Mir-315	1	0
Python_bivittatus	Gnathostomata	Mir-32	2	2
Python_bivittatus	Bilateria	Mir-33	8	2
Python_bivittatus	Vertebrata	Mir-338	1	1
Python_bivittatus	Bilateria	Mir-34	7	7
Python_bivittatus	Bilateria	Mir-375	1	1
Python_bivittatus	Tetrapoda	Mir-383	1	1
Python_bivittatus	Chordata	Mir-4057	1	0
Python_bivittatus	Gnathostomata	Mir-425	1	1
Python_bivittatus	Vertebrata	Mir-430	4	3
Python_bivittatus	Vertebrata	Mir-4541	1	0
Python_bivittatus	Vertebrata	Mir-455	4	1
Python_bivittatus	Vertebrata	Mir-456	1	1
Python_bivittatus	Osteichthyes	Mir-458	1	1
Python_bivittatus	Osteichthyes	Mir-489	1	1
Python_bivittatus	Amniota	Mir-490	1	1
Python_bivittatus	Vertebrata	Mir-499	1	1
Python_bivittatus	Vertebrata	Mir-551	2	2
Python_bivittatus	Sarcopterygii	Mir-599	1	1
Python_bivittatus	Bilateria	Mir-7	7	3
Python_bivittatus	Bilateria	Mir-71	3	1
Python_bivittatus	Osteichthyes	Mir-722	2	0
Python_bivittatus	Gnathostomata	Mir-725	1	0
Python_bivittatus	Osteichthyes	Mir-737	6	1
Python_bivittatus	Diapsida	Mir-7463	1	0
Python_bivittatus	Bilateria	Mir-8	4	3
Python_bivittatus	Vertebrata	Mir-875	1	1
Python_bivittatus	Bilateria	Mir-9	4	4
Python_bivittatus	Bilateria	Mir-92	6	5
Python_bivittatus	Bilateria	Mir-96	3	3
