species	node	family	total_hits	filtered_hits
Gallus_gallus	Bilateria	Let-7	11	11
Gallus_gallus	Bilateria	Mir-1	4	4
Gallus_gallus	Eumetazoa	Mir-10	7	7
Gallus_gallus	Vertebrata	Mir-101	2	2
Gallus_gallus	Deuterostomia	Mir-103	3	3
Gallus_gallus	Vertebrata	Mir-122	2	2
Gallus_gallus	Bilateria	Mir-124	4	4
Gallus_gallus	Olfactores	Mir-126	1	1
Gallus_gallus	Vertebrata	Mir-128	2	2
Gallus_gallus	Chordata	Mir-129	1	1
Gallus_gallus	Vertebrata	Mir-130	6	6
Gallus_gallus	Gnathostomata	Mir-1306	1	1
Gallus_gallus	Vertebrata	Mir-132	2	2
Gallus_gallus	Vertebrata	Mir-1329	1	1
Gallus_gallus	Bilateria	Mir-133	4	4
Gallus_gallus	Chordata	Mir-135	3	3
Gallus_gallus	Bilateria	Mir-137	2	2
Gallus_gallus	Vertebrata	Mir-138	2	2
Gallus_gallus	Gnathostomata	Mir-1388	1	1
Gallus_gallus	Amniota	Mir-1397	1	1
Gallus_gallus	Vertebrata	Mir-140	1	1
Gallus_gallus	Amniota	Mir-1416	1	1
Gallus_gallus	Vertebrata	Mir-142	1	1
Gallus_gallus	Vertebrata	Mir-143	2	1
Gallus_gallus	Vertebrata	Mir-144	1	1
Gallus_gallus	Vertebrata	Mir-145	1	1
Gallus_gallus	Vertebrata	Mir-146	3	3
Gallus_gallus	Vertebrata	Mir-147	1	1
Gallus_gallus	Vertebrata	Mir-148	2	2
Gallus_gallus	Olfactores	Mir-15	6	6
Gallus_gallus	Bilateria	Mir-153	2	2
Gallus_gallus	Vertebrata	Mir-155	2	1
Gallus_gallus	Tetrapoda	Mir-1662	1	1
Gallus_gallus	Diapsida	Mir-1677	380	10
Gallus_gallus	Vertebrata	Mir-17	6	6
Gallus_gallus	Diapsida	Mir-1720	1	1
Gallus_gallus	Vertebrata	Mir-1788	3	1
Gallus_gallus	Tetrapoda	Mir-1805	1	1
Gallus_gallus	Vertebrata	Mir-181	4	4
Gallus_gallus	Bilateria	Mir-184	1	1
Gallus_gallus	Osteichthyes	Mir-187	1	1
Gallus_gallus	Vertebrata	Mir-19	3	3
Gallus_gallus	Bilateria	Mir-190	2	2
Gallus_gallus	Gnathostomata	Mir-191	1	1
Gallus_gallus	Vertebrata	Mir-192	1	1
Gallus_gallus	Bilateria	Mir-193	5	4
Gallus_gallus	Vertebrata	Mir-194	1	1
Gallus_gallus	Olfactores	Mir-196	3	3
Gallus_gallus	Vertebrata	Mir-199	2	2
Gallus_gallus	Vertebrata	Mir-202	1	1
Gallus_gallus	Vertebrata	Mir-203	2	1
Gallus_gallus	Vertebrata	Mir-204	3	3
Gallus_gallus	Vertebrata	Mir-205	2	2
Gallus_gallus	Vertebrata	Mir-21	1	1
Gallus_gallus	Bilateria	Mir-210	1	1
Gallus_gallus	Gnathostomata	Mir-214	1	1
Gallus_gallus	Bilateria	Mir-216	3	2
Gallus_gallus	Chordata	Mir-217	1	1
Gallus_gallus	Vertebrata	Mir-218	2	2
Gallus_gallus	Gnathostomata	Mir-2184	1	1
Gallus_gallus	Gnathostomata	Mir-2188	1	1
Gallus_gallus	Bilateria	Mir-219	1	1
Gallus_gallus	Bilateria	Mir-22	1	1
Gallus_gallus	Vertebrata	Mir-221	3	3
Gallus_gallus	Vertebrata	Mir-223	1	1
Gallus_gallus	Vertebrata	Mir-23	2	2
Gallus_gallus	Vertebrata	Mir-24	2	2
Gallus_gallus	Vertebrata	Mir-26	3	3
Gallus_gallus	Vertebrata	Mir-27	2	2
Gallus_gallus	Bilateria	Mir-29	4	4
Gallus_gallus	Sarcopterygii	Mir-2970	1	1
Gallus_gallus	Vertebrata	Mir-30	6	6
Gallus_gallus	Bilateria	Mir-31	1	1
Gallus_gallus	Gnathostomata	Mir-32	1	1
Gallus_gallus	Bilateria	Mir-33	8	2
Gallus_gallus	Vertebrata	Mir-338	1	1
Gallus_gallus	Bilateria	Mir-34	7	7
Gallus_gallus	Bilateria	Mir-375	1	1
Gallus_gallus	Tetrapoda	Mir-383	1	1
Gallus_gallus	Gnathostomata	Mir-425	1	1
Gallus_gallus	Vertebrata	Mir-430	4	4
Gallus_gallus	Vertebrata	Mir-451	1	1
Gallus_gallus	Vertebrata	Mir-4541	1	0
Gallus_gallus	Vertebrata	Mir-455	1	1
Gallus_gallus	Vertebrata	Mir-456	2	1
Gallus_gallus	Osteichthyes	Mir-458	1	1
Gallus_gallus	Osteichthyes	Mir-460	2	2
Gallus_gallus	Osteichthyes	Mir-489	1	1
Gallus_gallus	Amniota	Mir-490	1	1
Gallus_gallus	Vertebrata	Mir-499	1	1
Gallus_gallus	Vertebrata	Mir-551	1	1
Gallus_gallus	Sarcopterygii	Mir-599	1	0
Gallus_gallus	Bilateria	Mir-7	5	4
Gallus_gallus	Osteichthyes	Mir-722	1	0
Gallus_gallus	Osteichthyes	Mir-726	1	1
Gallus_gallus	Diapsida	Mir-7463	1	1
Gallus_gallus	Bilateria	Mir-8	3	3
Gallus_gallus	Bilateria	Mir-9	6	4
Gallus_gallus	Bilateria	Mir-92	4	4
Gallus_gallus	Bilateria	Mir-96	5	4
