species	node	family	total_hits	filtered_hits
Strongylocentrotus_purpuratus	Bilateria	Let-7	1	1
Strongylocentrotus_purpuratus	Bilateria	Mir-1	1	1
Strongylocentrotus_purpuratus	Eumetazoa	Mir-10	3	3
Strongylocentrotus_purpuratus	Deuterostomia	Mir-103	3	2
Strongylocentrotus_purpuratus	Bilateria	Mir-124	1	1
Strongylocentrotus_purpuratus	Bilateria	Mir-133	35	1
Strongylocentrotus_purpuratus	Bilateria	Mir-137	1	1
Strongylocentrotus_purpuratus	Bilateria	Mir-153	1	1
Strongylocentrotus_purpuratus	Bilateria	Mir-184	2	2
Strongylocentrotus_purpuratus	Bilateria	Mir-190	3	0
Strongylocentrotus_purpuratus	Bilateria	Mir-193	3	2
Strongylocentrotus_purpuratus	Bilateria	Mir-2001	1	1
Strongylocentrotus_purpuratus	Ambulacraria	Mir-2006	1	1
Strongylocentrotus_purpuratus	Ambulacraria	Mir-2007	1	1
Strongylocentrotus_purpuratus	Ambulacraria	Mir-2008	2	2
Strongylocentrotus_purpuratus	Ambulacraria	Mir-2009	15	2
Strongylocentrotus_purpuratus	Ambulacraria	Mir-2011	2	1
Strongylocentrotus_purpuratus	Ambulacraria	Mir-2012	2	1
Strongylocentrotus_purpuratus	Bilateria	Mir-210	2	1
Strongylocentrotus_purpuratus	Bilateria	Mir-219	4	1
Strongylocentrotus_purpuratus	Bilateria	Mir-242	2	2
Strongylocentrotus_purpuratus	Bilateria	Mir-252	2	2
Strongylocentrotus_purpuratus	Bilateria	Mir-278	1	1
Strongylocentrotus_purpuratus	Bilateria	Mir-29	6	2
Strongylocentrotus_purpuratus	Bilateria	Mir-31	2	2
Strongylocentrotus_purpuratus	Bilateria	Mir-33	2	1
Strongylocentrotus_purpuratus	Bilateria	Mir-34	1	1
Strongylocentrotus_purpuratus	Bilateria	Mir-375	1	1
Strongylocentrotus_purpuratus	Bilateria	Mir-7	2	1
Strongylocentrotus_purpuratus	Bilateria	Mir-71	3	1
Strongylocentrotus_purpuratus	Bilateria	Mir-76	2	2
Strongylocentrotus_purpuratus	Bilateria	Mir-8	3	2
Strongylocentrotus_purpuratus	Bilateria	Mir-9	24	1
Strongylocentrotus_purpuratus	Bilateria	Mir-92	8	8
Strongylocentrotus_purpuratus	Bilateria	Mir-96	6	2
