species	node	family	total_hits	filtered_hits
Branchiostoma_lanceolatum	Bilateria	Let-7	3	2
Branchiostoma_lanceolatum	Bilateria	Mir-1	3	1
Branchiostoma_lanceolatum	Eumetazoa	Mir-10	5	5
Branchiostoma_lanceolatum	Deuterostomia	Mir-103	4	4
Branchiostoma_lanceolatum	Bilateria	Mir-124	1	1
Branchiostoma_lanceolatum	Chordata	Mir-129	4	3
Branchiostoma_lanceolatum	Bilateria	Mir-133	1	1
Branchiostoma_lanceolatum	Chordata	Mir-135	2	1
Branchiostoma_lanceolatum	Bilateria	Mir-137	3	3
Branchiostoma_lanceolatum	Bilateria	Mir-153	1	1
Branchiostoma_lanceolatum	Bilateria	Mir-184	14	3
Branchiostoma_lanceolatum	Bilateria	Mir-190	1	1
Branchiostoma_lanceolatum	Bilateria	Mir-193	16	12
Branchiostoma_lanceolatum	Bilateria	Mir-210	1	1
Branchiostoma_lanceolatum	Bilateria	Mir-216	2	1
Branchiostoma_lanceolatum	Chordata	Mir-217	1	1
Branchiostoma_lanceolatum	Bilateria	Mir-219	2	1
Branchiostoma_lanceolatum	Bilateria	Mir-22	27	11
Branchiostoma_lanceolatum	Bilateria	Mir-242	2	1
Branchiostoma_lanceolatum	Bilateria	Mir-252	3	3
Branchiostoma_lanceolatum	Bilateria	Mir-278	1	1
Branchiostoma_lanceolatum	Bilateria	Mir-281	1	1
Branchiostoma_lanceolatum	Bilateria	Mir-29	2	2
Branchiostoma_lanceolatum	Bilateria	Mir-31	1	1
Branchiostoma_lanceolatum	Bilateria	Mir-33	3	2
Branchiostoma_lanceolatum	Bilateria	Mir-34	7	5
Branchiostoma_lanceolatum	Bilateria	Mir-375	1	1
Branchiostoma_lanceolatum	Chordata	Mir-4057	2	1
Branchiostoma_lanceolatum	Bilateria	Mir-7	3	1
Branchiostoma_lanceolatum	Bilateria	Mir-71	2	1
Branchiostoma_lanceolatum	Bilateria	Mir-8	4	3
Branchiostoma_lanceolatum	Bilateria	Mir-9	4	1
Branchiostoma_lanceolatum	Bilateria	Mir-92	7	6
Branchiostoma_lanceolatum	Bilateria	Mir-96	8	6
