species	node	family	total_hits	filtered_hits
Xenopus_tropicalis	Bilateria	Let-7	11	10
Xenopus_tropicalis	Bilateria	Mir-1	4	4
Xenopus_tropicalis	Eumetazoa	Mir-10	8	8
Xenopus_tropicalis	Vertebrata	Mir-101	3	2
Xenopus_tropicalis	Deuterostomia	Mir-103	5	3
Xenopus_tropicalis	Vertebrata	Mir-122	1	1
Xenopus_tropicalis	Bilateria	Mir-124	4	3
Xenopus_tropicalis	Olfactores	Mir-126	1	1
Xenopus_tropicalis	Vertebrata	Mir-128	2	2
Xenopus_tropicalis	Chordata	Mir-129	2	2
Xenopus_tropicalis	Vertebrata	Mir-130	8	6
Xenopus_tropicalis	Gnathostomata	Mir-1306	1	1
Xenopus_tropicalis	Vertebrata	Mir-132	3	2
Xenopus_tropicalis	Vertebrata	Mir-1329	1	1
Xenopus_tropicalis	Bilateria	Mir-133	4	4
Xenopus_tropicalis	Chordata	Mir-135	3	2
Xenopus_tropicalis	Bilateria	Mir-137	1	1
Xenopus_tropicalis	Vertebrata	Mir-138	1	1
Xenopus_tropicalis	Gnathostomata	Mir-1388	1	1
Xenopus_tropicalis	Gnathostomata	Mir-139	2	1
Xenopus_tropicalis	Vertebrata	Mir-140	1	1
Xenopus_tropicalis	Vertebrata	Mir-142	7	2
Xenopus_tropicalis	Vertebrata	Mir-143	2	1
Xenopus_tropicalis	Vertebrata	Mir-144	1	1
Xenopus_tropicalis	Vertebrata	Mir-145	1	1
Xenopus_tropicalis	Vertebrata	Mir-146	2	2
Xenopus_tropicalis	Vertebrata	Mir-147	3	0
Xenopus_tropicalis	Vertebrata	Mir-148	2	2
Xenopus_tropicalis	Olfactores	Mir-15	10	6
Xenopus_tropicalis	Gnathostomata	Mir-150	4	1
Xenopus_tropicalis	Bilateria	Mir-153	2	2
Xenopus_tropicalis	Vertebrata	Mir-155	2	1
Xenopus_tropicalis	Tetrapoda	Mir-1662	1	1
Xenopus_tropicalis	Vertebrata	Mir-17	8	8
Xenopus_tropicalis	Vertebrata	Mir-1788	137	1
Xenopus_tropicalis	Tetrapoda	Mir-1805	1	1
Xenopus_tropicalis	Vertebrata	Mir-181	4	4
Xenopus_tropicalis	Bilateria	Mir-184	1	1
Xenopus_tropicalis	Osteichthyes	Mir-187	6	1
Xenopus_tropicalis	Vertebrata	Mir-19	3	3
Xenopus_tropicalis	Bilateria	Mir-190	1	1
Xenopus_tropicalis	Gnathostomata	Mir-191	2	1
Xenopus_tropicalis	Vertebrata	Mir-192	2	2
Xenopus_tropicalis	Bilateria	Mir-193	4	2
Xenopus_tropicalis	Vertebrata	Mir-194	3	2
Xenopus_tropicalis	Olfactores	Mir-196	2	2
Xenopus_tropicalis	Vertebrata	Mir-199	2	2
Xenopus_tropicalis	Vertebrata	Mir-202	2	2
Xenopus_tropicalis	Vertebrata	Mir-203	1	1
Xenopus_tropicalis	Vertebrata	Mir-204	4	2
Xenopus_tropicalis	Vertebrata	Mir-205	2	2
Xenopus_tropicalis	Vertebrata	Mir-208	1	1
Xenopus_tropicalis	Vertebrata	Mir-21	1	1
Xenopus_tropicalis	Bilateria	Mir-210	2	1
Xenopus_tropicalis	Gnathostomata	Mir-214	29	1
Xenopus_tropicalis	Bilateria	Mir-216	4	1
Xenopus_tropicalis	Chordata	Mir-217	1	1
Xenopus_tropicalis	Vertebrata	Mir-218	2	2
Xenopus_tropicalis	Gnathostomata	Mir-2184	2	1
Xenopus_tropicalis	Gnathostomata	Mir-2188	1	1
Xenopus_tropicalis	Bilateria	Mir-219	1	1
Xenopus_tropicalis	Bilateria	Mir-22	10	1
Xenopus_tropicalis	Vertebrata	Mir-221	4	2
Xenopus_tropicalis	Vertebrata	Mir-223	2	1
Xenopus_tropicalis	Vertebrata	Mir-23	4	3
Xenopus_tropicalis	Vertebrata	Mir-24	8	2
Xenopus_tropicalis	Vertebrata	Mir-26	5	4
Xenopus_tropicalis	Vertebrata	Mir-27	3	3
Xenopus_tropicalis	Bilateria	Mir-29	4	4
Xenopus_tropicalis	Sarcopterygii	Mir-2970	2	1
Xenopus_tropicalis	Vertebrata	Mir-30	6	6
Xenopus_tropicalis	Bilateria	Mir-31	1	1
Xenopus_tropicalis	Gnathostomata	Mir-32	27	0
Xenopus_tropicalis	Bilateria	Mir-33	5	2
Xenopus_tropicalis	Vertebrata	Mir-338	2	2
Xenopus_tropicalis	Bilateria	Mir-34	8	8
Xenopus_tropicalis	Bilateria	Mir-375	1	1
Xenopus_tropicalis	Tetrapoda	Mir-383	1	1
Xenopus_tropicalis	Chordata	Mir-4057	1	0
Xenopus_tropicalis	Gnathostomata	Mir-425	1	1
Xenopus_tropicalis	Vertebrata	Mir-430	177	176
Xenopus_tropicalis	Vertebrata	Mir-451	1	1
Xenopus_tropicalis	Vertebrata	Mir-455	3	1
Xenopus_tropicalis	Vertebrata	Mir-456	1	1
Xenopus_tropicalis	Osteichthyes	Mir-458	1	1
Xenopus_tropicalis	Vertebrata	Mir-459	1	1
Xenopus_tropicalis	Osteichthyes	Mir-460	2	2
Xenopus_tropicalis	Osteichthyes	Mir-489	2	1
Xenopus_tropicalis	Vertebrata	Mir-499	2	1
Xenopus_tropicalis	Vertebrata	Mir-551	2	2
Xenopus_tropicalis	Bilateria	Mir-7	3	3
Xenopus_tropicalis	Bilateria	Mir-71	1	0
Xenopus_tropicalis	Osteichthyes	Mir-7147	1	1
Xenopus_tropicalis	Osteichthyes	Mir-722	11	0
Xenopus_tropicalis	Gnathostomata	Mir-725	1	1
Xenopus_tropicalis	Osteichthyes	Mir-726	1	1
Xenopus_tropicalis	Osteichthyes	Mir-737	2	0
Xenopus_tropicalis	Bilateria	Mir-8	3	3
Xenopus_tropicalis	Vertebrata	Mir-875	1	0
Xenopus_tropicalis	Bilateria	Mir-9	7	4
Xenopus_tropicalis	Bilateria	Mir-92	7	7
Xenopus_tropicalis	Bilateria	Mir-96	4	3
