species	node	family	total_hits	filtered_hits
Caenorhabditis_elegans	Protostomia	Bantam	7	2
Caenorhabditis_elegans	Bilateria	Let-7	1	1
Caenorhabditis_elegans	Bilateria	Mir-1	2	1
Caenorhabditis_elegans	Bilateria	Mir-124	1	1
Caenorhabditis_elegans	Bilateria	Mir-133	1	1
Caenorhabditis_elegans	Bilateria	Mir-137	1	0
Caenorhabditis_elegans	Bilateria	Mir-190	1	0
Caenorhabditis_elegans	Bilateria	Mir-193	1	0
Caenorhabditis_elegans	Protostomia	Mir-1993	1	1
Caenorhabditis_elegans	Protostomia	Mir-2	1	1
Caenorhabditis_elegans	Bilateria	Mir-2001	1	1
Caenorhabditis_elegans	Bilateria	Mir-242	1	0
Caenorhabditis_elegans	Bilateria	Mir-252	2	2
Caenorhabditis_elegans	Protostomia	Mir-277	1	0
Caenorhabditis_elegans	Protostomia	Mir-279	3	2
Caenorhabditis_elegans	Bilateria	Mir-281	2	2
Caenorhabditis_elegans	Bilateria	Mir-29	2	0
Caenorhabditis_elegans	Ecdysozoa	Mir-305	3	2
Caenorhabditis_elegans	Bilateria	Mir-31	4	1
Caenorhabditis_elegans	Bilateria	Mir-315	1	1
Caenorhabditis_elegans	Bilateria	Mir-34	1	1
Caenorhabditis_elegans	Protostomia	Mir-36	8	8
Caenorhabditis_elegans	Bilateria	Mir-375	1	0
Caenorhabditis_elegans	Protostomia	Mir-67	1	1
Caenorhabditis_elegans	Bilateria	Mir-71	1	1
Caenorhabditis_elegans	Bilateria	Mir-76	1	1
Caenorhabditis_elegans	Bilateria	Mir-8	1	1
Caenorhabditis_elegans	Protostomia	Mir-87	2	1
Caenorhabditis_elegans	Bilateria	Mir-9	4	1
Caenorhabditis_elegans	Bilateria	Mir-92	1	1
Caenorhabditis_elegans	Bilateria	Mir-96	4	0
