species	node	family	total_hits	filtered_hits
Lottia_gigantea	Protostomia	Bantam	1	1
Lottia_gigantea	Bilateria	Let-7	1	1
Lottia_gigantea	Bilateria	Mir-1	2	1
Lottia_gigantea	Eumetazoa	Mir-10	3	3
Lottia_gigantea	Protostomia	Mir-1175	1	1
Lottia_gigantea	Protostomia	Mir-12	1	1
Lottia_gigantea	Bilateria	Mir-124	2	2
Lottia_gigantea	Bilateria	Mir-133	1	1
Lottia_gigantea	Bilateria	Mir-137	1	1
Lottia_gigantea	Bilateria	Mir-153	1	1
Lottia_gigantea	Bilateria	Mir-184	2	2
Lottia_gigantea	Bilateria	Mir-190	1	1
Lottia_gigantea	Bilateria	Mir-193	2	1
Lottia_gigantea	Lophotrochozoa	Mir-1986	2	1
Lottia_gigantea	Platytrochozoa	Mir-1989	1	1
Lottia_gigantea	Lophotrochozoa	Mir-1990	1	1
Lottia_gigantea	Platytrochozoa	Mir-1992	2	2
Lottia_gigantea	Protostomia	Mir-1993	1	1
Lottia_gigantea	Lophotrochozoa	Mir-1994	2	2
Lottia_gigantea	Protostomia	Mir-2	9	9
Lottia_gigantea	Bilateria	Mir-2001	1	1
Lottia_gigantea	Bilateria	Mir-210	1	0
Lottia_gigantea	Bilateria	Mir-216	2	2
Lottia_gigantea	Bilateria	Mir-219	3	0
Lottia_gigantea	Bilateria	Mir-22	2	2
Lottia_gigantea	Bilateria	Mir-242	7	3
Lottia_gigantea	Bilateria	Mir-252	2	2
Lottia_gigantea	Protostomia	Mir-277	1	1
Lottia_gigantea	Bilateria	Mir-278	1	1
Lottia_gigantea	Protostomia	Mir-279	3	1
Lottia_gigantea	Bilateria	Mir-281	2	2
Lottia_gigantea	Bilateria	Mir-29	1	1
Lottia_gigantea	Bilateria	Mir-31	1	1
Lottia_gigantea	Bilateria	Mir-315	1	1
Lottia_gigantea	Protostomia	Mir-317	1	1
Lottia_gigantea	Bilateria	Mir-33	4	1
Lottia_gigantea	Bilateria	Mir-34	1	1
Lottia_gigantea	Protostomia	Mir-36	1	1
Lottia_gigantea	Bilateria	Mir-375	1	1
Lottia_gigantea	Protostomia	Mir-67	1	1
Lottia_gigantea	Bilateria	Mir-7	1	1
Lottia_gigantea	Bilateria	Mir-71	1	1
Lottia_gigantea	Protostomia	Mir-750	1	1
Lottia_gigantea	Bilateria	Mir-76	1	1
Lottia_gigantea	Bilateria	Mir-8	1	1
Lottia_gigantea	Protostomia	Mir-87	2	1
Lottia_gigantea	Bilateria	Mir-9	1	1
Lottia_gigantea	Bilateria	Mir-92	4	4
Lottia_gigantea	Bilateria	Mir-96	4	4
