species	node	family	total_hits	filtered_hits
Heliconius_melpomene	Protostomia	Bantam	1	1
Heliconius_melpomene	Arthropoda	Iab-4	1	1
Heliconius_melpomene	Bilateria	Let-7	2	2
Heliconius_melpomene	Bilateria	Mir-1	4	1
Heliconius_melpomene	Eumetazoa	Mir-10	2	2
Heliconius_melpomene	Protostomia	Mir-1175	1	1
Heliconius_melpomene	Bilateria	Mir-124	1	1
Heliconius_melpomene	Bilateria	Mir-133	1	1
Heliconius_melpomene	Bilateria	Mir-137	2	1
Heliconius_melpomene	Bilateria	Mir-184	1	1
Heliconius_melpomene	Bilateria	Mir-190	1	1
Heliconius_melpomene	Bilateria	Mir-193	2	2
Heliconius_melpomene	Protostomia	Mir-2	6	6
Heliconius_melpomene	Bilateria	Mir-2001	1	1
Heliconius_melpomene	Bilateria	Mir-210	2	2
Heliconius_melpomene	Bilateria	Mir-216	2	2
Heliconius_melpomene	Bilateria	Mir-22	4	0
Heliconius_melpomene	Bilateria	Mir-252	1	1
Heliconius_melpomene	Arthropoda	Mir-275	1	1
Heliconius_melpomene	Arthropoda	Mir-276	2	1
Heliconius_melpomene	Pancrustacea	Mir-2765	1	1
Heliconius_melpomene	Protostomia	Mir-277	1	1
Heliconius_melpomene	Bilateria	Mir-278	1	1
Heliconius_melpomene	Protostomia	Mir-279	4	4
Heliconius_melpomene	Bilateria	Mir-281	1	1
Heliconius_melpomene	Pancrustacea	Mir-282	1	1
Heliconius_melpomene	Bilateria	Mir-29	1	1
Heliconius_melpomene	Pancrustacea	Mir-3	14	13
Heliconius_melpomene	Ecdysozoa	Mir-305	1	1
Heliconius_melpomene	Bilateria	Mir-31	1	1
Heliconius_melpomene	Pancrustacea	Mir-316	1	1
Heliconius_melpomene	Protostomia	Mir-317	1	1
Heliconius_melpomene	Bilateria	Mir-33	2	2
Heliconius_melpomene	Bilateria	Mir-34	2	2
Heliconius_melpomene	Protostomia	Mir-36	1	0
Heliconius_melpomene	Bilateria	Mir-375	1	1
Heliconius_melpomene	Protostomia	Mir-67	1	1
Heliconius_melpomene	Bilateria	Mir-7	2	1
Heliconius_melpomene	Bilateria	Mir-71	2	1
Heliconius_melpomene	Protostomia	Mir-750	1	1
Heliconius_melpomene	Bilateria	Mir-76	3	1
Heliconius_melpomene	Bilateria	Mir-8	1	1
Heliconius_melpomene	Protostomia	Mir-87	1	1
Heliconius_melpomene	Bilateria	Mir-9	6	4
Heliconius_melpomene	Bilateria	Mir-92	2	2
Heliconius_melpomene	Bilateria	Mir-96	2	2
Heliconius_melpomene	Pancrustacea	Mir-965	1	1
