species	node	family	total_hits	filtered_hits
Ascaris_suum	Protostomia	Bantam	4	1
Ascaris_suum	Bilateria	Let-7	1	1
Ascaris_suum	Bilateria	Mir-1	1	1
Ascaris_suum	Eumetazoa	Mir-10	5	5
Ascaris_suum	Protostomia	Mir-1175	1	0
Ascaris_suum	Bilateria	Mir-124	1	1
Ascaris_suum	Bilateria	Mir-133	1	1
Ascaris_suum	Bilateria	Mir-137	1	1
Ascaris_suum	Bilateria	Mir-153	1	1
Ascaris_suum	Bilateria	Mir-184	1	1
Ascaris_suum	Bilateria	Mir-190	1	0
Ascaris_suum	Protostomia	Mir-2	13	13
Ascaris_suum	Bilateria	Mir-216	1	0
Ascaris_suum	Bilateria	Mir-22	1	0
Ascaris_suum	Bilateria	Mir-242	1	0
Ascaris_suum	Bilateria	Mir-252	1	1
Ascaris_suum	Protostomia	Mir-279	5	5
Ascaris_suum	Bilateria	Mir-281	1	1
Ascaris_suum	Bilateria	Mir-29	2	1
Ascaris_suum	Ecdysozoa	Mir-305	1	0
Ascaris_suum	Bilateria	Mir-31	1	1
Ascaris_suum	Bilateria	Mir-33	4	0
Ascaris_suum	Bilateria	Mir-34	1	1
Ascaris_suum	Protostomia	Mir-36	3	2
Ascaris_suum	Bilateria	Mir-375	1	1
Ascaris_suum	Protostomia	Mir-67	2	2
Ascaris_suum	Bilateria	Mir-7	2	1
Ascaris_suum	Bilateria	Mir-71	2	1
Ascaris_suum	Protostomia	Mir-750	1	1
Ascaris_suum	Bilateria	Mir-76	2	1
Ascaris_suum	Bilateria	Mir-8	1	1
Ascaris_suum	Protostomia	Mir-87	2	2
Ascaris_suum	Bilateria	Mir-9	2	2
Ascaris_suum	Bilateria	Mir-92	1	1
Ascaris_suum	Bilateria	Mir-96	2	2
