species	node	family	total_hits	filtered_hits
Petromyzon_marinus	Bilateria	Let-7	18	10
Petromyzon_marinus	Bilateria	Mir-1	7	5
Petromyzon_marinus	Eumetazoa	Mir-10	6	6
Petromyzon_marinus	Vertebrata	Mir-101	2	0
Petromyzon_marinus	Deuterostomia	Mir-103	3	2
Petromyzon_marinus	Vertebrata	Mir-122	3	1
Petromyzon_marinus	Bilateria	Mir-124	3	3
Petromyzon_marinus	Olfactores	Mir-126	1	1
Petromyzon_marinus	Vertebrata	Mir-128	3	3
Petromyzon_marinus	Chordata	Mir-129	2	2
Petromyzon_marinus	Vertebrata	Mir-130	8	7
Petromyzon_marinus	Vertebrata	Mir-132	4	3
Petromyzon_marinus	Vertebrata	Mir-1329	2	0
Petromyzon_marinus	Bilateria	Mir-133	12	5
Petromyzon_marinus	Chordata	Mir-135	7	2
Petromyzon_marinus	Bilateria	Mir-137	3	3
Petromyzon_marinus	Vertebrata	Mir-138	3	3
Petromyzon_marinus	Vertebrata	Mir-140	5	3
Petromyzon_marinus	Vertebrata	Mir-142	30	1
Petromyzon_marinus	Vertebrata	Mir-143	1	1
Petromyzon_marinus	Vertebrata	Mir-144	1	1
Petromyzon_marinus	Vertebrata	Mir-145	2	1
Petromyzon_marinus	Vertebrata	Mir-146	1	1
Petromyzon_marinus	Vertebrata	Mir-147	2	0
Petromyzon_marinus	Vertebrata	Mir-148	2	2
Petromyzon_marinus	Olfactores	Mir-15	6	5
Petromyzon_marinus	Bilateria	Mir-153	4	3
Petromyzon_marinus	Vertebrata	Mir-155	1	0
Petromyzon_marinus	Vertebrata	Mir-17	7	6
Petromyzon_marinus	Vertebrata	Mir-1788	1	1
Petromyzon_marinus	Vertebrata	Mir-181	4	4
Petromyzon_marinus	Bilateria	Mir-184	1	1
Petromyzon_marinus	Vertebrata	Mir-19	4	4
Petromyzon_marinus	Bilateria	Mir-190	3	3
Petromyzon_marinus	Vertebrata	Mir-192	1	1
Petromyzon_marinus	Bilateria	Mir-193	4	3
Petromyzon_marinus	Vertebrata	Mir-194	158	1
Petromyzon_marinus	Olfactores	Mir-196	3	3
Petromyzon_marinus	Vertebrata	Mir-199	3	3
Petromyzon_marinus	Bilateria	Mir-2001	3	0
Petromyzon_marinus	Vertebrata	Mir-202	2	2
Petromyzon_marinus	Vertebrata	Mir-203	3	3
Petromyzon_marinus	Vertebrata	Mir-204	1	1
Petromyzon_marinus	Vertebrata	Mir-205	3	2
Petromyzon_marinus	Vertebrata	Mir-208	4	4
Petromyzon_marinus	Vertebrata	Mir-21	1	1
Petromyzon_marinus	Bilateria	Mir-210	2	1
Petromyzon_marinus	Bilateria	Mir-216	9	4
Petromyzon_marinus	Chordata	Mir-217	17	2
Petromyzon_marinus	Vertebrata	Mir-218	3	3
Petromyzon_marinus	Bilateria	Mir-219	3	2
Petromyzon_marinus	Bilateria	Mir-22	3	2
Petromyzon_marinus	Vertebrata	Mir-221	3	2
Petromyzon_marinus	Vertebrata	Mir-223	4	1
Petromyzon_marinus	Vertebrata	Mir-23	2	2
Petromyzon_marinus	Vertebrata	Mir-24	1	1
Petromyzon_marinus	Vertebrata	Mir-26	5	4
Petromyzon_marinus	Vertebrata	Mir-27	2	2
Petromyzon_marinus	Bilateria	Mir-281	5	2
Petromyzon_marinus	Bilateria	Mir-29	5	4
Petromyzon_marinus	Vertebrata	Mir-30	10	10
Petromyzon_marinus	Bilateria	Mir-315	1	1
Petromyzon_marinus	Bilateria	Mir-33	23	4
Petromyzon_marinus	Vertebrata	Mir-338	2	2
Petromyzon_marinus	Bilateria	Mir-34	1	1
Petromyzon_marinus	Bilateria	Mir-375	3	2
Petromyzon_marinus	Chordata	Mir-4057	1	0
Petromyzon_marinus	Vertebrata	Mir-430	4	4
Petromyzon_marinus	Vertebrata	Mir-451	1	1
Petromyzon_marinus	Vertebrata	Mir-4541	2	1
Petromyzon_marinus	Vertebrata	Mir-455	2	1
Petromyzon_marinus	Vertebrata	Mir-456	1	1
Petromyzon_marinus	Vertebrata	Mir-459	1	1
Petromyzon_marinus	Vertebrata	Mir-499	3	1
Petromyzon_marinus	Vertebrata	Mir-551	1	1
Petromyzon_marinus	Bilateria	Mir-7	6	4
Petromyzon_marinus	Bilateria	Mir-71	1	0
Petromyzon_marinus	Bilateria	Mir-76	1	0
Petromyzon_marinus	Bilateria	Mir-8	10	3
Petromyzon_marinus	Vertebrata	Mir-875	2	1
Petromyzon_marinus	Bilateria	Mir-9	5	5
Petromyzon_marinus	Bilateria	Mir-92	7	5
Petromyzon_marinus	Bilateria	Mir-96	4	2
