species	node	family	total_hits	filtered_hits
Taeniopygia_guttata	Bilateria	Let-7	12	12
Taeniopygia_guttata	Bilateria	Mir-1	4	4
Taeniopygia_guttata	Eumetazoa	Mir-10	7	7
Taeniopygia_guttata	Vertebrata	Mir-101	3	3
Taeniopygia_guttata	Deuterostomia	Mir-103	3	3
Taeniopygia_guttata	Vertebrata	Mir-122	1	1
Taeniopygia_guttata	Bilateria	Mir-124	3	3
Taeniopygia_guttata	Olfactores	Mir-126	1	1
Taeniopygia_guttata	Vertebrata	Mir-128	2	2
Taeniopygia_guttata	Chordata	Mir-129	3	3
Taeniopygia_guttata	Vertebrata	Mir-130	6	6
Taeniopygia_guttata	Gnathostomata	Mir-1306	1	1
Taeniopygia_guttata	Vertebrata	Mir-132	2	2
Taeniopygia_guttata	Vertebrata	Mir-1329	1	1
Taeniopygia_guttata	Bilateria	Mir-133	4	4
Taeniopygia_guttata	Chordata	Mir-135	3	3
Taeniopygia_guttata	Bilateria	Mir-137	1	1
Taeniopygia_guttata	Vertebrata	Mir-138	2	2
Taeniopygia_guttata	Gnathostomata	Mir-1388	1	1
Taeniopygia_guttata	Gnathostomata	Mir-139	2	1
Taeniopygia_guttata	Amniota	Mir-1397	1	1
Taeniopygia_guttata	Vertebrata	Mir-140	1	1
Taeniopygia_guttata	Amniota	Mir-1416	1	1
Taeniopygia_guttata	Vertebrata	Mir-142	4	4
Taeniopygia_guttata	Vertebrata	Mir-143	2	1
Taeniopygia_guttata	Vertebrata	Mir-144	1	1
Taeniopygia_guttata	Vertebrata	Mir-145	3	1
Taeniopygia_guttata	Vertebrata	Mir-146	4	4
Taeniopygia_guttata	Vertebrata	Mir-147	1	1
Taeniopygia_guttata	Vertebrata	Mir-148	3	3
Taeniopygia_guttata	Olfactores	Mir-15	6	6
Taeniopygia_guttata	Gnathostomata	Mir-150	1	1
Taeniopygia_guttata	Bilateria	Mir-153	2	2
Taeniopygia_guttata	Vertebrata	Mir-155	2	1
Taeniopygia_guttata	Tetrapoda	Mir-1662	1	1
Taeniopygia_guttata	Diapsida	Mir-1677	294	8
Taeniopygia_guttata	Vertebrata	Mir-17	6	6
Taeniopygia_guttata	Diapsida	Mir-1720	1	1
Taeniopygia_guttata	Vertebrata	Mir-1788	1	1
Taeniopygia_guttata	Tetrapoda	Mir-1805	1	1
Taeniopygia_guttata	Vertebrata	Mir-181	4	4
Taeniopygia_guttata	Bilateria	Mir-184	2	2
Taeniopygia_guttata	Osteichthyes	Mir-187	1	1
Taeniopygia_guttata	Vertebrata	Mir-19	3	3
Taeniopygia_guttata	Bilateria	Mir-190	2	2
Taeniopygia_guttata	Gnathostomata	Mir-191	1	1
Taeniopygia_guttata	Vertebrata	Mir-192	3	1
Taeniopygia_guttata	Bilateria	Mir-193	5	4
