species	node	family	total_hits	filtered_hits
Callorhinchus_milii	Bilateria	Let-7	12	10
Callorhinchus_milii	Bilateria	Mir-1	5	3
Callorhinchus_milii	Eumetazoa	Mir-10	6	6
Callorhinchus_milii	Vertebrata	Mir-101	2	2
Callorhinchus_milii	Deuterostomia	Mir-103	3	3
Callorhinchus_milii	Vertebrata	Mir-122	3	1
Callorhinchus_milii	Bilateria	Mir-124	4	4
Callorhinchus_milii	Olfactores	Mir-126	2	2
Callorhinchus_milii	Vertebrata	Mir-128	3	3
Callorhinchus_milii	Chordata	Mir-129	2	2
Callorhinchus_milii	Vertebrata	Mir-130	8	7
Callorhinchus_milii	Gnathostomata	Mir-1306	1	1
Callorhinchus_milii	Vertebrata	Mir-132	4	2
Callorhinchus_milii	Vertebrata	Mir-1329	2	1
Callorhinchus_milii	Bilateria	Mir-133	3	3
Callorhinchus_milii	Chordata	Mir-135	3	3
Callorhinchus_milii	Bilateria	Mir-137	1	1
Callorhinchus_milii	Vertebrata	Mir-138	2	2
Callorhinchus_milii	Gnathostomata	Mir-1388	1	1
Callorhinchus_milii	Gnathostomata	Mir-139	1	1
Callorhinchus_milii	Vertebrata	Mir-140	1	1
Callorhinchus_milii	Vertebrata	Mir-142	1	1
Callorhinchus_milii	Vertebrata	Mir-143	1	1
Callorhinchus_milii	Vertebrata	Mir-144	1	1
Callorhinchus_milii	Vertebrata	Mir-145	1	1
Callorhinchus_milii	Vertebrata	Mir-146	3	3
Callorhinchus_milii	Vertebrata	Mir-147	2	1
Callorhinchus_milii	Vertebrata	Mir-148	4	4
Callorhinchus_milii	Olfactores	Mir-15	6	6
Callorhinchus_milii	Gnathostomata	Mir-150	1	1
Callorhinchus_milii	Bilateria	Mir-153	3	3
Callorhinchus_milii	Vertebrata	Mir-155	1	1
Callorhinchus_milii	Vertebrata	Mir-17	12	11
Callorhinchus_milii	Vertebrata	Mir-1788	1	1
Callorhinchus_milii	Vertebrata	Mir-181	6	6
Callorhinchus_milii	Bilateria	Mir-184	1	1
Callorhinchus_milii	Vertebrata	Mir-19	6	6
Callorhinchus_milii	Bilateria	Mir-190	4	3
Callorhinchus_milii	Gnathostomata	Mir-191	1	1
Callorhinchus_milii	Vertebrata	Mir-192	1	1
Callorhinchus_milii	Bilateria	Mir-193	5	4
Callorhinchus_milii	Vertebrata	Mir-194	2	1
Callorhinchus_milii	Olfactores	Mir-196	5	3
Callorhinchus_milii	Vertebrata	Mir-199	2	2
Callorhinchus_milii	Vertebrata	Mir-202	1	1
Callorhinchus_milii	Vertebrata	Mir-203	3	2
Callorhinchus_milii	Vertebrata	Mir-204	3	3
Callorhinchus_milii	Vertebrata	Mir-205	4	3
Callorhinchus_milii	Vertebrata	Mir-208	1	1
Callorhinchus_milii	Vertebrata	Mir-21	1	1
Callorhinchus_milii	Bilateria	Mir-210	1	1
Callorhinchus_milii	Gnathostomata	Mir-214	3	1
Callorhinchus_milii	Bilateria	Mir-216	4	2
Callorhinchus_milii	Chordata	Mir-217	2	1
Callorhinchus_milii	Vertebrata	Mir-218	2	2
Callorhinchus_milii	Gnathostomata	Mir-2184	2	1
Callorhinchus_milii	Gnathostomata	Mir-2188	1	1
Callorhinchus_milii	Bilateria	Mir-219	2	1
Callorhinchus_milii	Bilateria	Mir-22	3	2
Callorhinchus_milii	Vertebrata	Mir-221	3	3
Callorhinchus_milii	Vertebrata	Mir-223	1	1
Callorhinchus_milii	Vertebrata	Mir-23	5	4
Callorhinchus_milii	Vertebrata	Mir-24	2	2
Callorhinchus_milii	Vertebrata	Mir-26	2	1
Callorhinchus_milii	Vertebrata	Mir-27	4	3
Callorhinchus_milii	Bilateria	Mir-281	1	1
Callorhinchus_milii	Bilateria	Mir-29	6	6
Callorhinchus_milii	Vertebrata	Mir-30	7	7
Callorhinchus_milii	Bilateria	Mir-31	1	1
Callorhinchus_milii	Gnathostomata	Mir-32	1	1
Callorhinchus_milii	Bilateria	Mir-33	8	2
Callorhinchus_milii	Vertebrata	Mir-338	2	2
Callorhinchus_milii	Bilateria	Mir-34	7	7
Callorhinchus_milii	Gnathostomata	Mir-425	1	1
Callorhinchus_milii	Vertebrata	Mir-430	67	51
Callorhinchus_milii	Vertebrata	Mir-451	4	2
Callorhinchus_milii	Vertebrata	Mir-4541	1	1
Callorhinchus_milii	Vertebrata	Mir-455	3	1
Callorhinchus_milii	Vertebrata	Mir-456	1	1
Callorhinchus_milii	Vertebrata	Mir-459	1	0
Callorhinchus_milii	Vertebrata	Mir-551	2	2
Callorhinchus_milii	Bilateria	Mir-7	4	3
Callorhinchus_milii	Bilateria	Mir-71	2	0
Callorhinchus_milii	Gnathostomata	Mir-725	1	1
Callorhinchus_milii	Bilateria	Mir-8	3	3
Callorhinchus_milii	Bilateria	Mir-9	4	3
Callorhinchus_milii	Bilateria	Mir-92	9	9
Callorhinchus_milii	Bilateria	Mir-96	3	3
