species	node	family	total_hits	filtered_hits
Daphnia_magna	Protostomia	Bantam	1	1
Daphnia_magna	Arthropoda	Iab-4	1	1
Daphnia_magna	Bilateria	Let-7	1	1
Daphnia_magna	Bilateria	Mir-1	1	1
Daphnia_magna	Eumetazoa	Mir-10	4	4
Daphnia_magna	Protostomia	Mir-1175	1	1
Daphnia_magna	Protostomia	Mir-12	1	1
Daphnia_magna	Bilateria	Mir-124	1	1
Daphnia_magna	Bilateria	Mir-133	1	1
Daphnia_magna	Bilateria	Mir-137	1	1
Daphnia_magna	Bilateria	Mir-153	1	1
Daphnia_magna	Bilateria	Mir-184	1	1
Daphnia_magna	Bilateria	Mir-190	1	1
Daphnia_magna	Bilateria	Mir-193	1	1
Daphnia_magna	Protostomia	Mir-1993	1	1
Daphnia_magna	Protostomia	Mir-2	5	5
Daphnia_magna	Bilateria	Mir-210	1	1
Daphnia_magna	Bilateria	Mir-216	2	1
Daphnia_magna	Bilateria	Mir-219	1	1
Daphnia_magna	Bilateria	Mir-22	1	0
Daphnia_magna	Bilateria	Mir-252	2	2
Daphnia_magna	Arthropoda	Mir-275	1	1
Daphnia_magna	Arthropoda	Mir-276	1	1
Daphnia_magna	Protostomia	Mir-277	1	1
Daphnia_magna	Bilateria	Mir-278	1	1
Daphnia_magna	Protostomia	Mir-279	8	8
Daphnia_magna	Bilateria	Mir-281	1	1
Daphnia_magna	Pancrustacea	Mir-282	1	1
Daphnia_magna	Bilateria	Mir-29	1	1
Daphnia_magna	Pancrustacea	Mir-3	1	1
Daphnia_magna	Ecdysozoa	Mir-305	1	1
Daphnia_magna	Bilateria	Mir-31	1	1
Daphnia_magna	Bilateria	Mir-315	10	1
Daphnia_magna	Protostomia	Mir-317	1	1
Daphnia_magna	Bilateria	Mir-33	1	1
Daphnia_magna	Bilateria	Mir-34	1	1
Daphnia_magna	Protostomia	Mir-36	2	2
Daphnia_magna	Bilateria	Mir-375	2	2
Daphnia_magna	Protostomia	Mir-67	1	1
Daphnia_magna	Bilateria	Mir-7	1	1
Daphnia_magna	Bilateria	Mir-71	1	1
Daphnia_magna	Protostomia	Mir-750	1	1
Daphnia_magna	Bilateria	Mir-76	1	1
Daphnia_magna	Bilateria	Mir-8	1	1
Daphnia_magna	Protostomia	Mir-87	2	2
Daphnia_magna	Bilateria	Mir-9	3	3
Daphnia_magna	Bilateria	Mir-92	2	2
Daphnia_magna	Bilateria	Mir-96	1	1
Daphnia_magna	Pancrustacea	Mir-965	2	2
