species	node	family	total_hits	filtered_hits
Tribolium_castaneum	Protostomia	Bantam	3	1
Tribolium_castaneum	Arthropoda	Iab-4	9	1
Tribolium_castaneum	Bilateria	Let-7	1	1
Tribolium_castaneum	Bilateria	Mir-1	1	1
Tribolium_castaneum	Eumetazoa	Mir-10	4	4
Tribolium_castaneum	Protostomia	Mir-1175	1	1
Tribolium_castaneum	Protostomia	Mir-12	1	1
Tribolium_castaneum	Bilateria	Mir-124	1	1
Tribolium_castaneum	Bilateria	Mir-133	1	1
Tribolium_castaneum	Bilateria	Mir-137	1	1
Tribolium_castaneum	Bilateria	Mir-184	1	1
Tribolium_castaneum	Bilateria	Mir-190	1	1
Tribolium_castaneum	Bilateria	Mir-193	2	2
Tribolium_castaneum	Protostomia	Mir-2	9	9
Tribolium_castaneum	Bilateria	Mir-210	1	1
Tribolium_castaneum	Bilateria	Mir-216	2	2
Tribolium_castaneum	Bilateria	Mir-219	1	1
Tribolium_castaneum	Bilateria	Mir-22	1	1
Tribolium_castaneum	Bilateria	Mir-252	2	2
Tribolium_castaneum	Arthropoda	Mir-275	1	1
Tribolium_castaneum	Arthropoda	Mir-276	1	1
Tribolium_castaneum	Pancrustacea	Mir-2765	1	1
Tribolium_castaneum	Protostomia	Mir-277	2	1
Tribolium_castaneum	Protostomia	Mir-279	5	5
Tribolium_castaneum	Bilateria	Mir-281	1	1
Tribolium_castaneum	Pancrustacea	Mir-282	1	1
Tribolium_castaneum	Bilateria	Mir-29	2	1
Tribolium_castaneum	Pancrustacea	Mir-3	27	21
Tribolium_castaneum	Ecdysozoa	Mir-305	1	1
Tribolium_castaneum	Bilateria	Mir-31	1	1
Tribolium_castaneum	Bilateria	Mir-315	1	1
Tribolium_castaneum	Pancrustacea	Mir-316	1	1
Tribolium_castaneum	Protostomia	Mir-317	1	1
Tribolium_castaneum	Bilateria	Mir-33	1	1
Tribolium_castaneum	Bilateria	Mir-34	1	1
Tribolium_castaneum	Protostomia	Mir-36	1	1
Tribolium_castaneum	Bilateria	Mir-375	1	1
Tribolium_castaneum	Protostomia	Mir-67	1	1
Tribolium_castaneum	Bilateria	Mir-7	1	1
Tribolium_castaneum	Bilateria	Mir-71	1	1
Tribolium_castaneum	Protostomia	Mir-750	1	1
Tribolium_castaneum	Bilateria	Mir-76	1	1
Tribolium_castaneum	Bilateria	Mir-8	1	1
Tribolium_castaneum	Protostomia	Mir-87	2	2
Tribolium_castaneum	Bilateria	Mir-9	5	5
Tribolium_castaneum	Bilateria	Mir-92	3	3
Tribolium_castaneum	Bilateria	Mir-96	2	2
Tribolium_castaneum	Pancrustacea	Mir-965	1	1
