species	node	family	total_hits	filtered_hits
Anolis_carolinensis	Bilateria	Let-7	14	14
Anolis_carolinensis	Bilateria	Mir-1	6	4
Anolis_carolinensis	Eumetazoa	Mir-10	9	9
Anolis_carolinensis	Vertebrata	Mir-101	6	2
Anolis_carolinensis	Deuterostomia	Mir-103	6	3
Anolis_carolinensis	Vertebrata	Mir-122	3	1
Anolis_carolinensis	Bilateria	Mir-124	4	4
Anolis_carolinensis	Olfactores	Mir-126	1	1
Anolis_carolinensis	Vertebrata	Mir-128	2	2
Anolis_carolinensis	Chordata	Mir-129	4	2
Anolis_carolinensis	Vertebrata	Mir-130	8	8
Anolis_carolinensis	Gnathostomata	Mir-1306	1	1
Anolis_carolinensis	Vertebrata	Mir-132	3	2
Anolis_carolinensis	Vertebrata	Mir-1329	1	1
Anolis_carolinensis	Bilateria	Mir-133	4	4
Anolis_carolinensis	Chordata	Mir-135	4	3
Anolis_carolinensis	Bilateria	Mir-137	2	2
Anolis_carolinensis	Vertebrata	Mir-138	2	2
Anolis_carolinensis	Gnathostomata	Mir-1388	1	1
Anolis_carolinensis	Gnathostomata	Mir-139	1	1
Anolis_carolinensis	Amniota	Mir-1397	1	1
Anolis_carolinensis	Vertebrata	Mir-140	1	1
Anolis_carolinensis	Vertebrata	Mir-142	1	1
Anolis_carolinensis	Vertebrata	Mir-143	1	1
Anolis_carolinensis	Vertebrata	Mir-144	2	2
Anolis_carolinensis	Vertebrata	Mir-145	3	1
Anolis_carolinensis	Vertebrata	Mir-146	2	2
Anolis_carolinensis	Vertebrata	Mir-147	1	1
Anolis_carolinensis	Vertebrata	Mir-148	3	2
Anolis_carolinensis	Olfactores	Mir-15	7	5
Anolis_carolinensis	Gnathostomata	Mir-150	2	1
Anolis_carolinensis	Bilateria	Mir-153	2	2
Anolis_carolinensis	Vertebrata	Mir-155	2	2
Anolis_carolinensis	Tetrapoda	Mir-1662	1	1
Anolis_carolinensis	Diapsida	Mir-1677	36	2
Anolis_carolinensis	Vertebrata	Mir-17	6	6
Anolis_carolinensis	Diapsida	Mir-1720	1	1
Anolis_carolinensis	Vertebrata	Mir-1788	1	1
Anolis_carolinensis	Tetrapoda	Mir-1805	1	1
Anolis_carolinensis	Vertebrata	Mir-181	6	6
Anolis_carolinensis	Bilateria	Mir-184	1	1
Anolis_carolinensis	Osteichthyes	Mir-187	1	1
Anolis_carolinensis	Vertebrata	Mir-19	3	3
Anolis_carolinensis	Bilateria	Mir-190	2	2
Anolis_carolinensis	Gnathostomata	Mir-191	1	1
Anolis_carolinensis	Vertebrata	Mir-192	1	1
Anolis_carolinensis	Bilateria	Mir-193	5	2
Anolis_carolinensis	Vertebrata	Mir-194	2	2
Anolis_carolinensis	Olfactores	Mir-196	3	3
Anolis_carolinensis	Vertebrata	Mir-199	4	3
Anolis_carolinensis	Vertebrata	Mir-202	1	1
Anolis_carolinensis	Vertebrata	Mir-203	1	1
Anolis_carolinensis	Vertebrata	Mir-204	2	2
