species	node	family	total_hits	filtered_hits
Daphnia_pulex	Protostomia	Bantam	1	1
Daphnia_pulex	Arthropoda	Iab-4	1	1
Daphnia_pulex	Bilateria	Let-7	1	1
Daphnia_pulex	Bilateria	Mir-1	1	1
Daphnia_pulex	Eumetazoa	Mir-10	4	4
Daphnia_pulex	Protostomia	Mir-1175	1	1
Daphnia_pulex	Protostomia	Mir-12	1	1
Daphnia_pulex	Bilateria	Mir-124	1	1
Daphnia_pulex	Bilateria	Mir-133	1	1
Daphnia_pulex	Bilateria	Mir-137	1	1
Daphnia_pulex	Bilateria	Mir-153	1	1
Daphnia_pulex	Bilateria	Mir-184	1	1
Daphnia_pulex	Bilateria	Mir-190	1	1
Daphnia_pulex	Bilateria	Mir-193	1	1
Daphnia_pulex	Protostomia	Mir-1993	1	1
Daphnia_pulex	Protostomia	Mir-2	5	5
Daphnia_pulex	Bilateria	Mir-210	1	1
Daphnia_pulex	Bilateria	Mir-216	1	1
Daphnia_pulex	Bilateria	Mir-219	1	1
Daphnia_pulex	Bilateria	Mir-22	1	1
Daphnia_pulex	Bilateria	Mir-252	2	2
Daphnia_pulex	Arthropoda	Mir-275	1	1
Daphnia_pulex	Arthropoda	Mir-276	1	1
Daphnia_pulex	Protostomia	Mir-277	1	1
Daphnia_pulex	Bilateria	Mir-278	1	1
Daphnia_pulex	Protostomia	Mir-279	6	6
Daphnia_pulex	Bilateria	Mir-281	1	1
Daphnia_pulex	Pancrustacea	Mir-282	63	1
Daphnia_pulex	Bilateria	Mir-29	1	1
Daphnia_pulex	Pancrustacea	Mir-3	1	1
Daphnia_pulex	Ecdysozoa	Mir-305	1	1
Daphnia_pulex	Bilateria	Mir-31	1	1
Daphnia_pulex	Bilateria	Mir-315	1	1
Daphnia_pulex	Protostomia	Mir-317	1	1
Daphnia_pulex	Bilateria	Mir-33	1	1
Daphnia_pulex	Bilateria	Mir-34	1	1
Daphnia_pulex	Protostomia	Mir-36	1	1
Daphnia_pulex	Bilateria	Mir-375	1	1
Daphnia_pulex	Protostomia	Mir-67	1	1
Daphnia_pulex	Bilateria	Mir-7	4	2
Daphnia_pulex	Bilateria	Mir-71	1	1
Daphnia_pulex	Protostomia	Mir-750	1	1
Daphnia_pulex	Bilateria	Mir-76	1	1
Daphnia_pulex	Bilateria	Mir-8	1	1
Daphnia_pulex	Protostomia	Mir-87	2	2
Daphnia_pulex	Bilateria	Mir-9	2	2
Daphnia_pulex	Bilateria	Mir-92	2	2
Daphnia_pulex	Bilateria	Mir-96	2	2
Daphnia_pulex	Pancrustacea	Mir-965	1	1
