species	node	family	total_hits	filtered_hits
Echinops_telfairi	Bilateria	Let-7	12	12
Echinops_telfairi	Bilateria	Mir-1	5	3
Echinops_telfairi	Eumetazoa	Mir-10	8	8
Echinops_telfairi	Vertebrata	Mir-101	2	2
Echinops_telfairi	Deuterostomia	Mir-103	3	3
Echinops_telfairi	Eutheria	Mir-105	1	1
Echinops_telfairi	Vertebrata	Mir-122	1	1
Echinops_telfairi	Bilateria	Mir-124	2	2
Echinops_telfairi	Eutheria	Mir-1247	1	1
Echinops_telfairi	Eutheria	Mir-1249	1	1
Echinops_telfairi	Theria	Mir-1251	1	1
Echinops_telfairi	Olfactores	Mir-126	1	1
Echinops_telfairi	Eutheria	Mir-127	1	1
Echinops_telfairi	Eutheria	Mir-1271	4	1
Echinops_telfairi	Eutheria	Mir-1277	542	0
Echinops_telfairi	Vertebrata	Mir-128	2	2
Echinops_telfairi	Chordata	Mir-129	2	2
Echinops_telfairi	Eutheria	Mir-1296	1	1
Echinops_telfairi	Eutheria	Mir-1298	1	1
Echinops_telfairi	Vertebrata	Mir-130	3	3
Echinops_telfairi	Eutheria	Mir-1301	1	1
Echinops_telfairi	Gnathostomata	Mir-1306	1	1
Echinops_telfairi	Vertebrata	Mir-132	1	1
Echinops_telfairi	Vertebrata	Mir-1329	1	0
Echinops_telfairi	Bilateria	Mir-133	3	3
Echinops_telfairi	Eutheria	Mir-1343	1	0
Echinops_telfairi	Chordata	Mir-135	3	3
Echinops_telfairi	Eutheria	Mir-136	1	1
Echinops_telfairi	Bilateria	Mir-137	1	1
Echinops_telfairi	Vertebrata	Mir-138	2	2
Echinops_telfairi	Gnathostomata	Mir-1388	1	1
Echinops_telfairi	Gnathostomata	Mir-139	1	1
Echinops_telfairi	Vertebrata	Mir-140	1	1
Echinops_telfairi	Vertebrata	Mir-142	1	1
Echinops_telfairi	Vertebrata	Mir-143	2	1
Echinops_telfairi	Vertebrata	Mir-144	1	1
Echinops_telfairi	Vertebrata	Mir-145	1	1
Echinops_telfairi	Vertebrata	Mir-146	1	1
Echinops_telfairi	Vertebrata	Mir-147	4	0
Echinops_telfairi	Vertebrata	Mir-148	3	2
Echinops_telfairi	Eutheria	Mir-149	1	1
Echinops_telfairi	Olfactores	Mir-15	11	10
Echinops_telfairi	Gnathostomata	Mir-150	1	1
Echinops_telfairi	Bilateria	Mir-153	1	1
Echinops_telfairi	Eutheria	Mir-154	28	28
Echinops_telfairi	Vertebrata	Mir-155	1	1
Echinops_telfairi	Vertebrata	Mir-17	8	8
Echinops_telfairi	Vertebrata	Mir-1788	1	0
Echinops_telfairi	Vertebrata	Mir-181	6	6
Echinops_telfairi	Bilateria	Mir-184	1	1
Echinops_telfairi	Eutheria	Mir-185	1	1
Echinops_telfairi	Mammalia	Mir-186	1	1
Echinops_telfairi	Osteichthyes	Mir-187	1	1
Echinops_telfairi	Eutheria	Mir-188	1	1
Echinops_telfairi	Vertebrata	Mir-19	3	3
Echinops_telfairi	Bilateria	Mir-190	2	2
Echinops_telfairi	Gnathostomata	Mir-191	1	1
Echinops_telfairi	Eutheria	Mir-1911	1	0
Echinops_telfairi	Eutheria	Mir-1912	1	1
Echinops_telfairi	Vertebrata	Mir-192	2	2
Echinops_telfairi	Bilateria	Mir-193	4	4
Echinops_telfairi	Vertebrata	Mir-194	2	2
Echinops_telfairi	Olfactores	Mir-196	2	2
Echinops_telfairi	Vertebrata	Mir-199	3	3
Echinops_telfairi	Vertebrata	Mir-202	1	1
Echinops_telfairi	Vertebrata	Mir-203	1	1
Echinops_telfairi	Vertebrata	Mir-204	1	1
Echinops_telfairi	Vertebrata	Mir-205	1	1
Echinops_telfairi	Vertebrata	Mir-208	3	3
Echinops_telfairi	Vertebrata	Mir-21	1	1
Echinops_telfairi	Bilateria	Mir-210	1	1
Echinops_telfairi	Gnathostomata	Mir-214	1	1
Echinops_telfairi	Bilateria	Mir-216	3	2
Echinops_telfairi	Chordata	Mir-217	1	1
Echinops_telfairi	Vertebrata	Mir-218	2	2
Echinops_telfairi	Gnathostomata	Mir-2184	1	0
Echinops_telfairi	Bilateria	Mir-219	2	2
Echinops_telfairi	Bilateria	Mir-22	1	1
Echinops_telfairi	Vertebrata	Mir-221	2	2
Echinops_telfairi	Vertebrata	Mir-223	1	1
Echinops_telfairi	Eutheria	Mir-224	1	1
Echinops_telfairi	Vertebrata	Mir-23	3	2
Echinops_telfairi	Eutheria	Mir-2355	1	1
Echinops_telfairi	Vertebrata	Mir-24	2	2
Echinops_telfairi	Eutheria	Mir-2483	1	1
Echinops_telfairi	Vertebrata	Mir-26	3	3
Echinops_telfairi	Vertebrata	Mir-27	2	2
Echinops_telfairi	Eutheria	Mir-28	4	3
Echinops_telfairi	Bilateria	Mir-29	4	4
Echinops_telfairi	Eutheria	Mir-296	1	0
Echinops_telfairi	Vertebrata	Mir-30	6	6
Echinops_telfairi	Eutheria	Mir-3059	2	2
Echinops_telfairi	Eutheria	Mir-3085	1	1
Echinops_telfairi	Bilateria	Mir-31	1	1
Echinops_telfairi	Gnathostomata	Mir-32	1	1
Echinops_telfairi	Eutheria	Mir-320	2	1
Echinops_telfairi	Eutheria	Mir-324	1	1
Echinops_telfairi	Theria	Mir-325	1	0
Echinops_telfairi	Eutheria	Mir-326	2	1
Echinops_telfairi	Eutheria	Mir-328	1	1
