species	node	family	total_hits	filtered_hits
Euprymna_scolopes	Protostomia	Bantam	1	1
Euprymna_scolopes	Bilateria	Let-7	1	1
Euprymna_scolopes	Bilateria	Mir-1	1	1
Euprymna_scolopes	Eumetazoa	Mir-10	2	2
Euprymna_scolopes	Protostomia	Mir-12	1	1
Euprymna_scolopes	Bilateria	Mir-124	1	1
Euprymna_scolopes	Bilateria	Mir-133	1	1
Euprymna_scolopes	Bilateria	Mir-137	1	1
Euprymna_scolopes	Bilateria	Mir-153	4	4
Euprymna_scolopes	Bilateria	Mir-184	3	1
Euprymna_scolopes	Bilateria	Mir-190	1	1
Euprymna_scolopes	Bilateria	Mir-193	1	0
Euprymna_scolopes	Platytrochozoa	Mir-1992	1	1
Euprymna_scolopes	Protostomia	Mir-1993	1	1
Euprymna_scolopes	Lophotrochozoa	Mir-1994	2	2
Euprymna_scolopes	Protostomia	Mir-2	13	13
Euprymna_scolopes	Bilateria	Mir-210	3	3
Euprymna_scolopes	Bilateria	Mir-216	2	2
Euprymna_scolopes	Bilateria	Mir-219	1	1
Euprymna_scolopes	Bilateria	Mir-22	2	2
Euprymna_scolopes	Bilateria	Mir-252	1	1
Euprymna_scolopes	Protostomia	Mir-277	2	1
Euprymna_scolopes	Bilateria	Mir-278	1	1
Euprymna_scolopes	Protostomia	Mir-279	1	1
Euprymna_scolopes	Bilateria	Mir-281	1	1
Euprymna_scolopes	Bilateria	Mir-29	2	2
Euprymna_scolopes	Bilateria	Mir-31	1	1
Euprymna_scolopes	Bilateria	Mir-315	1	1
Euprymna_scolopes	Protostomia	Mir-317	1	1
Euprymna_scolopes	Bilateria	Mir-33	1	1
Euprymna_scolopes	Bilateria	Mir-34	1	1
Euprymna_scolopes	Protostomia	Mir-36	2	2
Euprymna_scolopes	Bilateria	Mir-375	1	1
Euprymna_scolopes	Protostomia	Mir-67	4	0
Euprymna_scolopes	Bilateria	Mir-7	1	1
Euprymna_scolopes	Bilateria	Mir-71	1	1
Euprymna_scolopes	Protostomia	Mir-750	1	1
Euprymna_scolopes	Bilateria	Mir-76	1	1
Euprymna_scolopes	Bilateria	Mir-8	1	1
Euprymna_scolopes	Protostomia	Mir-87	1	1
Euprymna_scolopes	Bilateria	Mir-9	1	1
Euprymna_scolopes	Bilateria	Mir-92	1	1
Euprymna_scolopes	Bilateria	Mir-96	1	1
