species	node	family	total_hits	filtered_hits
Schmidtea_mediterranea	Protostomia	Bantam	70	3
Schmidtea_mediterranea	Bilateria	Let-7	6	1
Schmidtea_mediterranea	Bilateria	Mir-1	3	1
Schmidtea_mediterranea	Eumetazoa	Mir-10	1	1
Schmidtea_mediterranea	Protostomia	Mir-1175	2	2
Schmidtea_mediterranea	Protostomia	Mir-12	2	2
Schmidtea_mediterranea	Bilateria	Mir-124	10	10
Schmidtea_mediterranea	Bilateria	Mir-133	3	2
Schmidtea_mediterranea	Bilateria	Mir-153	4	0
Schmidtea_mediterranea	Bilateria	Mir-184	2	1
Schmidtea_mediterranea	Platytrochozoa	Mir-1989	1	1
Schmidtea_mediterranea	Platytrochozoa	Mir-1992	2	2
Schmidtea_mediterranea	Protostomia	Mir-1993	2	2
Schmidtea_mediterranea	Protostomia	Mir-2	7	7
Schmidtea_mediterranea	Bilateria	Mir-216	2	1
Schmidtea_mediterranea	Bilateria	Mir-219	3	0
Schmidtea_mediterranea	Bilateria	Mir-22	1	0
Schmidtea_mediterranea	Protostomia	Mir-277	8	2
Schmidtea_mediterranea	Bilateria	Mir-278	1	1
Schmidtea_mediterranea	Protostomia	Mir-279	1	0
Schmidtea_mediterranea	Bilateria	Mir-281	2	0
Schmidtea_mediterranea	Bilateria	Mir-31	3	3
Schmidtea_mediterranea	Bilateria	Mir-315	1	1
Schmidtea_mediterranea	Protostomia	Mir-36	6	4
Schmidtea_mediterranea	Protostomia	Mir-67	1	1
Schmidtea_mediterranea	Bilateria	Mir-7	6	1
Schmidtea_mediterranea	Bilateria	Mir-71	5	4
Schmidtea_mediterranea	Protostomia	Mir-750	1	1
Schmidtea_mediterranea	Bilateria	Mir-76	4	4
Schmidtea_mediterranea	Bilateria	Mir-8	2	1
Schmidtea_mediterranea	Protostomia	Mir-87	5	4
Schmidtea_mediterranea	Bilateria	Mir-9	3	3
Schmidtea_mediterranea	Bilateria	Mir-96	3	0
