species	node	family	total_hits	filtered_hits
Centruroides_sculpturatus	Protostomia	Bantam	8	2
Centruroides_sculpturatus	Arthropoda	Iab-4	6	2
Centruroides_sculpturatus	Bilateria	Let-7	9	2
Centruroides_sculpturatus	Bilateria	Mir-1	22	3
Centruroides_sculpturatus	Eumetazoa	Mir-10	11	11
Centruroides_sculpturatus	Protostomia	Mir-1175	11	0
Centruroides_sculpturatus	Protostomia	Mir-12	2	2
Centruroides_sculpturatus	Bilateria	Mir-124	3	2
Centruroides_sculpturatus	Bilateria	Mir-133	3	3
Centruroides_sculpturatus	Bilateria	Mir-137	6	2
Centruroides_sculpturatus	Bilateria	Mir-153	10	3
Centruroides_sculpturatus	Bilateria	Mir-184	2	2
Centruroides_sculpturatus	Bilateria	Mir-190	6	2
Centruroides_sculpturatus	Bilateria	Mir-193	8	2
Centruroides_sculpturatus	Protostomia	Mir-1993	7	0
Centruroides_sculpturatus	Protostomia	Mir-2	18	18
Centruroides_sculpturatus	Bilateria	Mir-2001	5	1
Centruroides_sculpturatus	Bilateria	Mir-210	4	3
Centruroides_sculpturatus	Bilateria	Mir-216	5	0
Centruroides_sculpturatus	Bilateria	Mir-219	1	1
Centruroides_sculpturatus	Bilateria	Mir-22	5	1
Centruroides_sculpturatus	Bilateria	Mir-252	5	5
Centruroides_sculpturatus	Arthropoda	Mir-275	1	1
Centruroides_sculpturatus	Arthropoda	Mir-276	4	3
Centruroides_sculpturatus	Protostomia	Mir-277	13	2
Centruroides_sculpturatus	Bilateria	Mir-278	1	1
Centruroides_sculpturatus	Protostomia	Mir-279	3	2
Centruroides_sculpturatus	Bilateria	Mir-281	1	1
Centruroides_sculpturatus	Bilateria	Mir-29	2	1
Centruroides_sculpturatus	Ecdysozoa	Mir-305	9	2
Centruroides_sculpturatus	Bilateria	Mir-315	1	1
Centruroides_sculpturatus	Protostomia	Mir-317	2	2
Centruroides_sculpturatus	Bilateria	Mir-33	2	1
Centruroides_sculpturatus	Bilateria	Mir-34	4	4
Centruroides_sculpturatus	Protostomia	Mir-36	2	1
Centruroides_sculpturatus	Bilateria	Mir-375	2	2
Centruroides_sculpturatus	Protostomia	Mir-67	4	2
Centruroides_sculpturatus	Bilateria	Mir-7	12	3
Centruroides_sculpturatus	Bilateria	Mir-71	10	2
Centruroides_sculpturatus	Protostomia	Mir-750	2	2
Centruroides_sculpturatus	Bilateria	Mir-76	5	2
Centruroides_sculpturatus	Bilateria	Mir-8	6	1
Centruroides_sculpturatus	Protostomia	Mir-87	12	5
Centruroides_sculpturatus	Bilateria	Mir-9	22	2
Centruroides_sculpturatus	Bilateria	Mir-92	9	3
Centruroides_sculpturatus	Bilateria	Mir-96	9	6
