species	node	family	total_hits	filtered_hits
Gadus_morhua	Bilateria	Let-7	21	20
Gadus_morhua	Bilateria	Mir-1	5	3
Gadus_morhua	Eumetazoa	Mir-10	13	13
Gadus_morhua	Vertebrata	Mir-101	2	2
Gadus_morhua	Deuterostomia	Mir-103	2	2
Gadus_morhua	Vertebrata	Mir-122	3	1
Gadus_morhua	Bilateria	Mir-124	5	5
Gadus_morhua	Olfactores	Mir-126	1	1
Gadus_morhua	Vertebrata	Mir-128	3	3
Gadus_morhua	Chordata	Mir-129	4	4
Gadus_morhua	Vertebrata	Mir-130	6	6
Gadus_morhua	Gnathostomata	Mir-1306	1	1
Gadus_morhua	Vertebrata	Mir-132	5	4
Gadus_morhua	Vertebrata	Mir-1329	1	0
Gadus_morhua	Bilateria	Mir-133	3	3
Gadus_morhua	Chordata	Mir-135	6	5
Gadus_morhua	Bilateria	Mir-137	3	3
Gadus_morhua	Vertebrata	Mir-138	3	3
Gadus_morhua	Gnathostomata	Mir-1388	1	1
Gadus_morhua	Gnathostomata	Mir-139	1	1
Gadus_morhua	Vertebrata	Mir-140	1	1
Gadus_morhua	Vertebrata	Mir-142	2	2
Gadus_morhua	Vertebrata	Mir-143	1	1
Gadus_morhua	Vertebrata	Mir-144	1	1
Gadus_morhua	Vertebrata	Mir-145	1	1
Gadus_morhua	Vertebrata	Mir-146	1	1
Gadus_morhua	Vertebrata	Mir-147	1	0
Gadus_morhua	Vertebrata	Mir-148	3	2
Gadus_morhua	Olfactores	Mir-15	4	4
Gadus_morhua	Gnathostomata	Mir-150	1	1
Gadus_morhua	Bilateria	Mir-153	3	3
Gadus_morhua	Vertebrata	Mir-155	1	1
Gadus_morhua	Vertebrata	Mir-17	10	10
Gadus_morhua	Vertebrata	Mir-1788	1	1
Gadus_morhua	Vertebrata	Mir-181	8	8
Gadus_morhua	Bilateria	Mir-184	2	2
Gadus_morhua	Osteichthyes	Mir-187	2	1
Gadus_morhua	Vertebrata	Mir-19	6	6
Gadus_morhua	Bilateria	Mir-190	4	3
Gadus_morhua	Gnathostomata	Mir-191	1	1
Gadus_morhua	Vertebrata	Mir-192	2	1
Gadus_morhua	Bilateria	Mir-193	2	2
Gadus_morhua	Vertebrata	Mir-194	3	2
Gadus_morhua	Olfactores	Mir-196	3	3
Gadus_morhua	Vertebrata	Mir-199	6	4
Gadus_morhua	Vertebrata	Mir-202	2	1
Gadus_morhua	Vertebrata	Mir-203	2	2
Gadus_morhua	Vertebrata	Mir-204	3	3
Gadus_morhua	Vertebrata	Mir-205	2	2
Gadus_morhua	Vertebrata	Mir-208	1	1
Gadus_morhua	Vertebrata	Mir-21	2	2
Gadus_morhua	Bilateria	Mir-210	1	1
Gadus_morhua	Gnathostomata	Mir-214	3	2
Gadus_morhua	Bilateria	Mir-216	4	2
Gadus_morhua	Chordata	Mir-217	1	1
Gadus_morhua	Vertebrata	Mir-218	3	3
Gadus_morhua	Gnathostomata	Mir-2184	2	1
Gadus_morhua	Gnathostomata	Mir-2188	1	1
Gadus_morhua	Bilateria	Mir-219	3	3
Gadus_morhua	Bilateria	Mir-22	3	3
Gadus_morhua	Vertebrata	Mir-221	5	4
Gadus_morhua	Vertebrata	Mir-223	4	1
Gadus_morhua	Vertebrata	Mir-23	4	4
Gadus_morhua	Vertebrata	Mir-24	5	5
Gadus_morhua	Vertebrata	Mir-26	5	5
Gadus_morhua	Vertebrata	Mir-27	5	5
Gadus_morhua	Bilateria	Mir-29	8	8
Gadus_morhua	Vertebrata	Mir-30	6	6
Gadus_morhua	Bilateria	Mir-31	1	1
Gadus_morhua	Gnathostomata	Mir-32	2	0
Gadus_morhua	Bilateria	Mir-33	2	2
Gadus_morhua	Vertebrata	Mir-338	3	3
Gadus_morhua	Bilateria	Mir-34	2	2
Gadus_morhua	Bilateria	Mir-375	1	1
Gadus_morhua	Gnathostomata	Mir-425	1	1
Gadus_morhua	Vertebrata	Mir-430	13	10
Gadus_morhua	Vertebrata	Mir-451	3	0
Gadus_morhua	Vertebrata	Mir-4541	1	0
Gadus_morhua	Vertebrata	Mir-455	3	2
Gadus_morhua	Vertebrata	Mir-456	1	1
Gadus_morhua	Osteichthyes	Mir-458	3	1
Gadus_morhua	Vertebrata	Mir-459	1	1
Gadus_morhua	Osteichthyes	Mir-460	2	2
Gadus_morhua	Osteichthyes	Mir-489	3	1
Gadus_morhua	Vertebrata	Mir-499	1	1
Gadus_morhua	Vertebrata	Mir-551	1	1
Gadus_morhua	Bilateria	Mir-7	5	5
Gadus_morhua	Osteichthyes	Mir-722	3	2
Gadus_morhua	Gnathostomata	Mir-725	2	1
Gadus_morhua	Osteichthyes	Mir-726	1	0
Gadus_morhua	Osteichthyes	Mir-727	2	2
Gadus_morhua	Osteichthyes	Mir-737	3	1
Gadus_morhua	Bilateria	Mir-8	4	3
Gadus_morhua	Vertebrata	Mir-875	2	0
Gadus_morhua	Bilateria	Mir-9	7	7
Gadus_morhua	Bilateria	Mir-92	4	3
Gadus_morhua	Bilateria	Mir-96	3	3
