species	node	family	total_hits	filtered_hits
Octopus_bimaculoides	Bilateria	Let-7	1	1
Octopus_bimaculoides	Bilateria	Mir-1	5	1
Octopus_bimaculoides	Eumetazoa	Mir-10	1	1
Octopus_bimaculoides	Protostomia	Mir-1175	3	1
Octopus_bimaculoides	Bilateria	Mir-124	1	1
Octopus_bimaculoides	Bilateria	Mir-133	1	1
Octopus_bimaculoides	Bilateria	Mir-137	2	1
Octopus_bimaculoides	Bilateria	Mir-153	1	1
Octopus_bimaculoides	Bilateria	Mir-184	2	2
Octopus_bimaculoides	Bilateria	Mir-190	2	1
Octopus_bimaculoides	Lophotrochozoa	Mir-1986	2	1
Octopus_bimaculoides	Platytrochozoa	Mir-1989	6	0
Octopus_bimaculoides	Platytrochozoa	Mir-1992	2	1
Octopus_bimaculoides	Protostomia	Mir-1993	1	1
Octopus_bimaculoides	Lophotrochozoa	Mir-1994	3	2
Octopus_bimaculoides	Protostomia	Mir-2	17	17
Octopus_bimaculoides	Bilateria	Mir-2001	1	0
Octopus_bimaculoides	Bilateria	Mir-210	2	2
Octopus_bimaculoides	Bilateria	Mir-216	3	3
Octopus_bimaculoides	Bilateria	Mir-219	1	1
Octopus_bimaculoides	Bilateria	Mir-22	2	1
Octopus_bimaculoides	Bilateria	Mir-242	2	0
Octopus_bimaculoides	Bilateria	Mir-252	1	1
Octopus_bimaculoides	Protostomia	Mir-277	2	1
Octopus_bimaculoides	Bilateria	Mir-278	1	1
Octopus_bimaculoides	Protostomia	Mir-279	3	3
Octopus_bimaculoides	Bilateria	Mir-281	1	1
Octopus_bimaculoides	Bilateria	Mir-29	2	2
Octopus_bimaculoides	Bilateria	Mir-31	1	1
Octopus_bimaculoides	Bilateria	Mir-315	1	1
Octopus_bimaculoides	Protostomia	Mir-317	1	1
Octopus_bimaculoides	Bilateria	Mir-33	4	1
Octopus_bimaculoides	Bilateria	Mir-34	1	1
Octopus_bimaculoides	Protostomia	Mir-36	2	2
Octopus_bimaculoides	Bilateria	Mir-375	1	1
Octopus_bimaculoides	Protostomia	Mir-67	6	1
Octopus_bimaculoides	Bilateria	Mir-7	3	1
Octopus_bimaculoides	Bilateria	Mir-71	3	1
Octopus_bimaculoides	Protostomia	Mir-750	1	1
Octopus_bimaculoides	Bilateria	Mir-76	1	1
Octopus_bimaculoides	Bilateria	Mir-8	1	1
Octopus_bimaculoides	Protostomia	Mir-87	1	1
Octopus_bimaculoides	Bilateria	Mir-9	2	1
Octopus_bimaculoides	Bilateria	Mir-92	1	1
Octopus_bimaculoides	Bilateria	Mir-96	1	1
