species	node	family	total_hits	filtered_hits
Gekko_japonicus	Bilateria	Let-7	14	14
Gekko_japonicus	Bilateria	Mir-1	13	6
Gekko_japonicus	Eumetazoa	Mir-10	9	9
Gekko_japonicus	Vertebrata	Mir-101	3	2
Gekko_japonicus	Deuterostomia	Mir-103	4	3
Gekko_japonicus	Vertebrata	Mir-122	1	1
Gekko_japonicus	Bilateria	Mir-124	4	4
Gekko_japonicus	Olfactores	Mir-126	1	1
Gekko_japonicus	Vertebrata	Mir-128	2	2
Gekko_japonicus	Chordata	Mir-129	9	3
Gekko_japonicus	Vertebrata	Mir-130	8	8
Gekko_japonicus	Gnathostomata	Mir-1306	1	1
Gekko_japonicus	Vertebrata	Mir-132	3	2
Gekko_japonicus	Vertebrata	Mir-1329	1	1
Gekko_japonicus	Bilateria	Mir-133	4	4
Gekko_japonicus	Chordata	Mir-135	4	3
Gekko_japonicus	Bilateria	Mir-137	2	2
Gekko_japonicus	Vertebrata	Mir-138	2	2
Gekko_japonicus	Gnathostomata	Mir-1388	1	1
Gekko_japonicus	Gnathostomata	Mir-139	2	1
Gekko_japonicus	Amniota	Mir-1397	1	1
Gekko_japonicus	Vertebrata	Mir-140	2	1
Gekko_japonicus	Vertebrata	Mir-142	1	1
Gekko_japonicus	Vertebrata	Mir-143	2	1
Gekko_japonicus	Vertebrata	Mir-144	1	1
Gekko_japonicus	Vertebrata	Mir-145	2	1
Gekko_japonicus	Vertebrata	Mir-146	2	2
Gekko_japonicus	Vertebrata	Mir-147	3	3
Gekko_japonicus	Vertebrata	Mir-148	3	2
Gekko_japonicus	Olfactores	Mir-15	21	12
Gekko_japonicus	Gnathostomata	Mir-150	1	1
Gekko_japonicus	Bilateria	Mir-153	3	2
Gekko_japonicus	Vertebrata	Mir-155	2	1
Gekko_japonicus	Tetrapoda	Mir-1662	2	2
Gekko_japonicus	Diapsida	Mir-1677	90	2
Gekko_japonicus	Vertebrata	Mir-17	9	8
Gekko_japonicus	Diapsida	Mir-1720	2	1
Gekko_japonicus	Vertebrata	Mir-1788	7	1
Gekko_japonicus	Tetrapoda	Mir-1805	2	2
Gekko_japonicus	Vertebrata	Mir-181	5	5
Gekko_japonicus	Bilateria	Mir-184	2	1
Gekko_japonicus	Osteichthyes	Mir-187	2	1
Gekko_japonicus	Vertebrata	Mir-19	3	3
Gekko_japonicus	Bilateria	Mir-190	3	2
Gekko_japonicus	Gnathostomata	Mir-191	1	1
Gekko_japonicus	Vertebrata	Mir-192	4	3
Gekko_japonicus	Bilateria	Mir-193	2	2
Gekko_japonicus	Vertebrata	Mir-194	3	3
Gekko_japonicus	Olfactores	Mir-196	4	3
Gekko_japonicus	Vertebrata	Mir-199	2	2
Gekko_japonicus	Vertebrata	Mir-202	5	1
Gekko_japonicus	Vertebrata	Mir-203	2	1
Gekko_japonicus	Vertebrata	Mir-204	3	3
Gekko_japonicus	Vertebrata	Mir-205	2	2
Gekko_japonicus	Vertebrata	Mir-208	1	1
Gekko_japonicus	Vertebrata	Mir-21	1	1
Gekko_japonicus	Bilateria	Mir-210	1	1
Gekko_japonicus	Gnathostomata	Mir-214	4	1
Gekko_japonicus	Bilateria	Mir-216	4	3
Gekko_japonicus	Chordata	Mir-217	1	1
Gekko_japonicus	Vertebrata	Mir-218	2	2
Gekko_japonicus	Gnathostomata	Mir-2188	1	1
Gekko_japonicus	Bilateria	Mir-219	7	2
Gekko_japonicus	Bilateria	Mir-22	3	1
Gekko_japonicus	Vertebrata	Mir-221	4	4
Gekko_japonicus	Vertebrata	Mir-223	2	1
Gekko_japonicus	Vertebrata	Mir-23	2	2
Gekko_japonicus	Vertebrata	Mir-24	361	1
Gekko_japonicus	Vertebrata	Mir-26	3	3
Gekko_japonicus	Vertebrata	Mir-27	2	2
Gekko_japonicus	Bilateria	Mir-281	1	0
Gekko_japonicus	Bilateria	Mir-29	6	6
Gekko_japonicus	Sarcopterygii	Mir-2970	1	1
Gekko_japonicus	Vertebrata	Mir-30	6	6
Gekko_japonicus	Bilateria	Mir-31	10	10
Gekko_japonicus	Gnathostomata	Mir-32	1	1
Gekko_japonicus	Bilateria	Mir-33	5	2
Gekko_japonicus	Vertebrata	Mir-338	1	1
Gekko_japonicus	Bilateria	Mir-34	8	8
Gekko_japonicus	Bilateria	Mir-375	1	1
Gekko_japonicus	Tetrapoda	Mir-383	1	1
Gekko_japonicus	Chordata	Mir-4057	1	0
Gekko_japonicus	Gnathostomata	Mir-425	1	1
Gekko_japonicus	Vertebrata	Mir-430	7	7
Gekko_japonicus	Vertebrata	Mir-451	8	1
Gekko_japonicus	Vertebrata	Mir-4541	1	0
Gekko_japonicus	Vertebrata	Mir-455	3	1
Gekko_japonicus	Vertebrata	Mir-456	1	1
Gekko_japonicus	Osteichthyes	Mir-458	1	1
Gekko_japonicus	Osteichthyes	Mir-460	2	2
Gekko_japonicus	Osteichthyes	Mir-489	6	1
Gekko_japonicus	Amniota	Mir-490	1	1
Gekko_japonicus	Vertebrata	Mir-499	1	1
Gekko_japonicus	Vertebrata	Mir-551	2	2
Gekko_japonicus	Sarcopterygii	Mir-599	1	1
Gekko_japonicus	Bilateria	Mir-7	3	3
Gekko_japonicus	Bilateria	Mir-71	2	0
Gekko_japonicus	Osteichthyes	Mir-722	12	0
Gekko_japonicus	Gnathostomata	Mir-725	25	0
Gekko_japonicus	Osteichthyes	Mir-726	1	1
Gekko_japonicus	Osteichthyes	Mir-727	1	0
Gekko_japonicus	Osteichthyes	Mir-737	2	1
Gekko_japonicus	Diapsida	Mir-7463	2	0
Gekko_japonicus	Bilateria	Mir-76	1	0
Gekko_japonicus	Bilateria	Mir-8	3	3
Gekko_japonicus	Vertebrata	Mir-875	2	1
Gekko_japonicus	Bilateria	Mir-9	11	4
Gekko_japonicus	Bilateria	Mir-92	5	5
Gekko_japonicus	Bilateria	Mir-96	3	3
