species	family	total_hits	filtered_hits	node	short
Ailuropoda_melanoleuca	Let-7	12	12	Bilateria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-1	3	3	Bilateria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-10	8	8	Eumetazoa	A.melanoleuca
Ailuropoda_melanoleuca	Mir-101	2	2	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-103	3	3	Deuterostomia	A.melanoleuca
Ailuropoda_melanoleuca	Mir-105	4	2	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-122	1	1	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-124	2	2	Bilateria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-1247	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-1249	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-1251	1	1	Theria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-126	1	1	Olfactores	A.melanoleuca
Ailuropoda_melanoleuca	Mir-127	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-1271	15	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-1277	710	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-128	2	2	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-129	2	2	Chordata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-1296	2	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-1298	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-130	5	5	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-1301	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-1306	1	1	Gnathostomata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-1307	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-132	1	1	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-133	3	3	Bilateria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-134	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-1343	2	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-135	3	3	Chordata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-136	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-137	1	1	Bilateria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-138	2	2	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-1388	1	1	Gnathostomata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-139	1	1	Gnathostomata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-140	1	1	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-142	1	1	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-143	1	1	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-144	1	1	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-145	2	1	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-146	2	2	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-148	3	3	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-149	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-15	8	7	Olfactores	A.melanoleuca
Ailuropoda_melanoleuca	Mir-150	1	1	Gnathostomata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-153	2	2	Bilateria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-154	30	30	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-155	1	1	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-17	8	8	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-181	6	6	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-184	1	1	Bilateria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-1842	2	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-185	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-186	2	1	Mammalia	A.melanoleuca
Ailuropoda_melanoleuca	Mir-187	1	1	Osteichthyes	A.melanoleuca
Ailuropoda_melanoleuca	Mir-188	3	3	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-19	3	3	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-190	2	2	Bilateria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-191	1	1	Gnathostomata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-1911	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-1912	1	1	Eutheria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-192	2	2	Vertebrata	A.melanoleuca
Ailuropoda_melanoleuca	Mir-193	5	4	Bilateria	A.melanoleuca
Ailuropoda_melanoleuca	Mir-194	2	2	Vertebrata	A.melanoleuca
