species	node	family	total_hits	filtered_hits
Mus_musculus	Bilateria	Let-7	12	12
Mus_musculus	Bilateria	Mir-1	4	3
Mus_musculus	Eumetazoa	Mir-10	8	8
Mus_musculus	Vertebrata	Mir-101	2	2
Mus_musculus	Deuterostomia	Mir-103	3	3
Mus_musculus	Eutheria	Mir-105	1	1
Mus_musculus	Vertebrata	Mir-122	1	1
Mus_musculus	Bilateria	Mir-124	3	3
Mus_musculus	Eutheria	Mir-1247	1	1
Mus_musculus	Eutheria	Mir-1249	1	1
Mus_musculus	Theria	Mir-1251	1	1
Mus_musculus	Olfactores	Mir-126	1	1
Mus_musculus	Eutheria	Mir-127	1	1
Mus_musculus	Eutheria	Mir-1271	2	1
Mus_musculus	Eutheria	Mir-1277	3752	0
Mus_musculus	Vertebrata	Mir-128	2	2
Mus_musculus	Chordata	Mir-129	2	2
Mus_musculus	Eutheria	Mir-1298	1	1
Mus_musculus	Vertebrata	Mir-130	4	4
Mus_musculus	Eutheria	Mir-1301	1	0
Mus_musculus	Gnathostomata	Mir-1306	1	1
Mus_musculus	Vertebrata	Mir-132	2	2
Mus_musculus	Vertebrata	Mir-1329	1	0
Mus_musculus	Bilateria	Mir-133	3	3
Mus_musculus	Eutheria	Mir-134	1	1
Mus_musculus	Chordata	Mir-135	3	3
Mus_musculus	Eutheria	Mir-136	1	1
Mus_musculus	Bilateria	Mir-137	1	1
Mus_musculus	Vertebrata	Mir-138	2	2
Mus_musculus	Gnathostomata	Mir-1388	1	0
Mus_musculus	Gnathostomata	Mir-139	2	1
Mus_musculus	Vertebrata	Mir-140	1	1
Mus_musculus	Vertebrata	Mir-142	1	1
Mus_musculus	Vertebrata	Mir-143	1	1
Mus_musculus	Vertebrata	Mir-144	1	1
Mus_musculus	Vertebrata	Mir-145	1	1
Mus_musculus	Vertebrata	Mir-146	2	2
Mus_musculus	Vertebrata	Mir-147	1	1
Mus_musculus	Vertebrata	Mir-148	3	3
Mus_musculus	Eutheria	Mir-149	2	1
Mus_musculus	Olfactores	Mir-15	7	7
Mus_musculus	Gnathostomata	Mir-150	1	1
Mus_musculus	Bilateria	Mir-153	1	1
Mus_musculus	Eutheria	Mir-154	21	21
Mus_musculus	Vertebrata	Mir-155	1	1
Mus_musculus	Vertebrata	Mir-17	8	7
Mus_musculus	Vertebrata	Mir-181	6	6
Mus_musculus	Bilateria	Mir-184	1	1
Mus_musculus	Eutheria	Mir-185	1	1
Mus_musculus	Mammalia	Mir-186	1	1
Mus_musculus	Osteichthyes	Mir-187	1	1
Mus_musculus	Eutheria	Mir-188	2	2
Mus_musculus	Vertebrata	Mir-19	3	3
Mus_musculus	Bilateria	Mir-190	2	2
Mus_musculus	Gnathostomata	Mir-191	1	1
Mus_musculus	Eutheria	Mir-1911	1	0
Mus_musculus	Eutheria	Mir-1912	1	1
Mus_musculus	Vertebrata	Mir-192	2	2
Mus_musculus	Bilateria	Mir-193	4	4
Mus_musculus	Vertebrata	Mir-194	3	2
Mus_musculus	Muridae	Mir-1955	1	1
Mus_musculus	Olfactores	Mir-196	3	3
Mus_musculus	Muridae	Mir-1962	1	1
Mus_musculus	Eutheria	Mir-197	2	0
Mus_musculus	Vertebrata	Mir-199	3	3
Mus_musculus	Vertebrata	Mir-202	2	1
Mus_musculus	Vertebrata	Mir-203	1	1
Mus_musculus	Vertebrata	Mir-204	2	2
Mus_musculus	Vertebrata	Mir-205	1	1
Mus_musculus	Vertebrata	Mir-208	2	2
Mus_musculus	Vertebrata	Mir-21	1	1
Mus_musculus	Bilateria	Mir-210	1	1
Mus_musculus	Gnathostomata	Mir-214	1	1
Mus_musculus	Bilateria	Mir-216	2	2
Mus_musculus	Chordata	Mir-217	1	1
Mus_musculus	Vertebrata	Mir-218	2	2
Mus_musculus	Bilateria	Mir-219	2	2
Mus_musculus	Bilateria	Mir-22	1	1
Mus_musculus	Vertebrata	Mir-221	2	2
Mus_musculus	Vertebrata	Mir-223	1	1
Mus_musculus	Eutheria	Mir-224	1	1
Mus_musculus	Vertebrata	Mir-23	2	2
Mus_musculus	Eutheria	Mir-2355	1	0
Mus_musculus	Vertebrata	Mir-24	2	2
Mus_musculus	Vertebrata	Mir-26	3	3
Mus_musculus	Vertebrata	Mir-27	2	2
Mus_musculus	Eutheria	Mir-28	3	3
Mus_musculus	Bilateria	Mir-29	4	4
Mus_musculus	Eutheria	Mir-296	1	1
Mus_musculus	Muridae	Mir-298	1	1
Mus_musculus	Vertebrata	Mir-30	6	6
Mus_musculus	Eutheria	Mir-3059	1	1
Mus_musculus	Muridae	Mir-3068	1	1
Mus_musculus	Muridae	Mir-3072	1	1
Mus_musculus	Muridae	Mir-3075	1	1
Mus_musculus	Eutheria	Mir-3085	1	1
Mus_musculus	Muridae	Mir-3099	2	1
Mus_musculus	Bilateria	Mir-31	1	1
Mus_musculus	Muridae	Mir-3112	2	1
Mus_musculus	Gnathostomata	Mir-32	1	1
Mus_musculus	Eutheria	Mir-320	2	1
Mus_musculus	Eutheria	Mir-324	1	1
Mus_musculus	Theria	Mir-325	1	1
Mus_musculus	Eutheria	Mir-326	1	1
Mus_musculus	Eutheria	Mir-328	1	1
Mus_musculus	Bilateria	Mir-33	2	1
Mus_musculus	Eutheria	Mir-330	1	1
Mus_musculus	Eutheria	Mir-331	1	1
Mus_musculus	Eutheria	Mir-335	1	1
Mus_musculus	Eutheria	Mir-337	1	1
Mus_musculus	Vertebrata	Mir-338	1	1
Mus_musculus	Eutheria	Mir-339	1	1
Mus_musculus	Bilateria	Mir-34	6	6
Mus_musculus	Theria	Mir-340	1	1
Mus_musculus	Eutheria	Mir-342	1	1
Mus_musculus	Eutheria	Mir-345	1	1
Mus_musculus	Eutheria	Mir-346	1	1
Mus_musculus	Eutheria	Mir-350	2	1
Mus_musculus	Muridae	Mir-351	1	1
Mus_musculus	Eutheria	Mir-361	1	1
Mus_musculus	Eutheria	Mir-362	4	3
Mus_musculus	Boreoeutheria	Mir-370	1	1
Mus_musculus	Eutheria	Mir-374	1	1
Mus_musculus	Bilateria	Mir-375	1	1
Mus_musculus	Eutheria	Mir-376	3	3
Mus_musculus	Eutheria	Mir-378	1	1
Mus_musculus	Tetrapoda	Mir-383	1	1
Mus_musculus	Eutheria	Mir-384	1	1
Mus_musculus	Eutheria	Mir-423	1	1
Mus_musculus	Gnathostomata	Mir-425	1	1
Mus_musculus	Vertebrata	Mir-430	10	10
Mus_musculus	Eutheria	Mir-431	1	1
Mus_musculus	Eutheria	Mir-432	6	0
Mus_musculus	Eutheria	Mir-433	1	1
Mus_musculus	Eutheria	Mir-448	1	1
Mus_musculus	Eutheria	Mir-450	3	3
Mus_musculus	Vertebrata	Mir-451	1	1
Mus_musculus	Eutheria	Mir-452	1	1
Mus_musculus	Vertebrata	Mir-4541	1	0
Mus_musculus	Vertebrata	Mir-455	1	1
Mus_musculus	Vertebrata	Mir-459	1	1
Mus_musculus	Theria	Mir-483	11	1
Mus_musculus	Eutheria	Mir-486	2	1
Mus_musculus	Eutheria	Mir-488	1	1
Mus_musculus	Osteichthyes	Mir-489	1	1
Mus_musculus	Amniota	Mir-490	1	1
Mus_musculus	Eutheria	Mir-491	1	1
Mus_musculus	Eutheria	Mir-493	1	1
Mus_musculus	Vertebrata	Mir-499	1	1
Mus_musculus	Eutheria	Mir-504	1	1
Mus_musculus	Eutheria	Mir-505	1	1
Mus_musculus	Eutheria	Mir-506	19	18
Mus_musculus	Euarchontoglires	Mir-511	1	1
Mus_musculus	Muridae	Mir-540	1	1
Mus_musculus	Eutheria	Mir-541	1	1
Mus_musculus	Eutheria	Mir-542	1	1
Mus_musculus	Eutheria	Mir-544	12	1
Mus_musculus	Vertebrata	Mir-551	1	1
Mus_musculus	Eutheria	Mir-574	1804	1
Mus_musculus	Eutheria	Mir-582	1	1
Mus_musculus	Mammalia	Mir-590	1	0
Mus_musculus	Eutheria	Mir-592	1	1
Mus_musculus	Eutheria	Mir-598	1	1
Mus_musculus	Sarcopterygii	Mir-599	1	1
Mus_musculus	Eutheria	Mir-615	1	1
Mus_musculus	Eutheria	Mir-628	1	0
Mus_musculus	Eutheria	Mir-652	1	1
Mus_musculus	Eutheria	Mir-653	1	1
Mus_musculus	Muridae	Mir-666	1	1
Mus_musculus	Muridae	Mir-667	1	1
Mus_musculus	Eutheria	Mir-670	2	1
Mus_musculus	Theria	Mir-671	1	1
Mus_musculus	Eutheria	Mir-6715	1	1
Mus_musculus	Eutheria	Mir-672	162	1
Mus_musculus	Muridae	Mir-673	1	1
Mus_musculus	Muridae	Mir-674	1	1
Mus_musculus	Theria	Mir-675	1	1
Mus_musculus	Eutheria	Mir-676	1	1
Mus_musculus	Bilateria	Mir-7	3	3
Mus_musculus	Muridae	Mir-700	1	1
Mus_musculus	Osteichthyes	Mir-722	1	0
Mus_musculus	Eutheria	Mir-744	1	1
Mus_musculus	Eutheria	Mir-760	1	1
Mus_musculus	Eutheria	Mir-769	1	0
Mus_musculus	Euarchontoglires	Mir-770	1	1
Mus_musculus	Bilateria	Mir-8	5	5
Mus_musculus	Glires	Mir-872	1	1
Mus_musculus	Mammalia	Mir-873	1	1
Mus_musculus	Eutheria	Mir-874	1	1
Mus_musculus	Vertebrata	Mir-875	2	1
Mus_musculus	Eutheria	Mir-876	1	0
Mus_musculus	Eutheria	Mir-877	5	1
Mus_musculus	Muridae	Mir-879	2	1
Mus_musculus	Bilateria	Mir-9	3	3
Mus_musculus	Bilateria	Mir-92	5	5
Mus_musculus	Eutheria	Mir-935	1	1
Mus_musculus	Eutheria	Mir-95	3	2
Mus_musculus	Bilateria	Mir-96	3	3
