species	node	family	total_hits	filtered_hits
Cavia_porcellus	Bilateria	Let-7	12	12
Cavia_porcellus	Bilateria	Mir-1	3	3
Cavia_porcellus	Eumetazoa	Mir-10	8	8
Cavia_porcellus	Vertebrata	Mir-101	2	2
Cavia_porcellus	Deuterostomia	Mir-103	3	3
Cavia_porcellus	Eutheria	Mir-105	2	1
Cavia_porcellus	Vertebrata	Mir-122	1	1
Cavia_porcellus	Bilateria	Mir-124	3	3
Cavia_porcellus	Eutheria	Mir-1247	1	1
Cavia_porcellus	Eutheria	Mir-1249	1	1
Cavia_porcellus	Theria	Mir-1251	1	1
Cavia_porcellus	Olfactores	Mir-126	1	1
Cavia_porcellus	Eutheria	Mir-127	1	1
Cavia_porcellus	Eutheria	Mir-1271	2	1
Cavia_porcellus	Eutheria	Mir-1277	322	1
Cavia_porcellus	Vertebrata	Mir-128	2	2
Cavia_porcellus	Chordata	Mir-129	2	2
Cavia_porcellus	Eutheria	Mir-1296	1	1
Cavia_porcellus	Eutheria	Mir-1298	1	1
Cavia_porcellus	Vertebrata	Mir-130	5	5
Cavia_porcellus	Eutheria	Mir-1301	1	1
Cavia_porcellus	Gnathostomata	Mir-1306	1	1
Cavia_porcellus	Vertebrata	Mir-132	2	2
Cavia_porcellus	Bilateria	Mir-133	3	3
Cavia_porcellus	Eutheria	Mir-134	1	1
Cavia_porcellus	Eutheria	Mir-1343	2	1
Cavia_porcellus	Chordata	Mir-135	3	3
Cavia_porcellus	Eutheria	Mir-136	1	1
Cavia_porcellus	Eutheria	Mir-1379	1	1
Cavia_porcellus	Vertebrata	Mir-138	2	2
Cavia_porcellus	Gnathostomata	Mir-1388	1	1
Cavia_porcellus	Gnathostomata	Mir-139	2	1
Cavia_porcellus	Vertebrata	Mir-140	1	1
Cavia_porcellus	Vertebrata	Mir-142	2	2
Cavia_porcellus	Vertebrata	Mir-143	1	1
Cavia_porcellus	Vertebrata	Mir-144	1	1
Cavia_porcellus	Vertebrata	Mir-145	3	1
Cavia_porcellus	Vertebrata	Mir-146	2	2
Cavia_porcellus	Vertebrata	Mir-147	3	1
Cavia_porcellus	Vertebrata	Mir-148	3	3
Cavia_porcellus	Eutheria	Mir-149	1	1
Cavia_porcellus	Olfactores	Mir-15	8	8
Cavia_porcellus	Gnathostomata	Mir-150	1	1
Cavia_porcellus	Bilateria	Mir-153	1	1
Cavia_porcellus	Eutheria	Mir-154	27	27
Cavia_porcellus	Vertebrata	Mir-155	1	1
Cavia_porcellus	Vertebrata	Mir-17	8	8
Cavia_porcellus	Vertebrata	Mir-181	6	5
Cavia_porcellus	Bilateria	Mir-184	1	1
Cavia_porcellus	Eutheria	Mir-1842	1	1
Cavia_porcellus	Eutheria	Mir-185	1	1
Cavia_porcellus	Mammalia	Mir-186	1	1
Cavia_porcellus	Osteichthyes	Mir-187	1	1
Cavia_porcellus	Eutheria	Mir-188	3	3
Cavia_porcellus	Vertebrata	Mir-19	3	3
Cavia_porcellus	Bilateria	Mir-190	2	2
Cavia_porcellus	Gnathostomata	Mir-191	1	1
Cavia_porcellus	Eutheria	Mir-1912	1	1
Cavia_porcellus	Vertebrata	Mir-192	2	2
Cavia_porcellus	Bilateria	Mir-193	4	4
Cavia_porcellus	Vertebrata	Mir-194	1	1
Cavia_porcellus	Olfactores	Mir-196	3	3
Cavia_porcellus	Eutheria	Mir-197	1	1
Cavia_porcellus	Vertebrata	Mir-199	3	3
Cavia_porcellus	Vertebrata	Mir-202	1	1
Cavia_porcellus	Vertebrata	Mir-203	1	1
Cavia_porcellus	Vertebrata	Mir-204	2	2
Cavia_porcellus	Vertebrata	Mir-205	1	1
Cavia_porcellus	Vertebrata	Mir-208	2	2
Cavia_porcellus	Vertebrata	Mir-21	1	1
Cavia_porcellus	Bilateria	Mir-210	1	1
Cavia_porcellus	Eutheria	Mir-2114	1	0
Cavia_porcellus	Gnathostomata	Mir-214	1	1
Cavia_porcellus	Bilateria	Mir-216	2	2
Cavia_porcellus	Chordata	Mir-217	1	1
Cavia_porcellus	Vertebrata	Mir-218	2	2
Cavia_porcellus	Bilateria	Mir-219	3	1
Cavia_porcellus	Bilateria	Mir-22	1	1
Cavia_porcellus	Vertebrata	Mir-221	2	2
Cavia_porcellus	Vertebrata	Mir-223	1	1
Cavia_porcellus	Eutheria	Mir-224	1	1
Cavia_porcellus	Vertebrata	Mir-23	2	2
Cavia_porcellus	Eutheria	Mir-2355	1	1
Cavia_porcellus	Boreoeutheria	Mir-2387	1	1
Cavia_porcellus	Vertebrata	Mir-24	2	2
Cavia_porcellus	Vertebrata	Mir-26	3	3
Cavia_porcellus	Vertebrata	Mir-27	2	2
Cavia_porcellus	Eutheria	Mir-28	3	3
Cavia_porcellus	Bilateria	Mir-29	4	4
Cavia_porcellus	Eutheria	Mir-296	1	1
Cavia_porcellus	Vertebrata	Mir-30	6	6
Cavia_porcellus	Eutheria	Mir-3059	1	1
Cavia_porcellus	Eutheria	Mir-3085	1	1
Cavia_porcellus	Bilateria	Mir-31	1	1
Cavia_porcellus	Gnathostomata	Mir-32	1	1
Cavia_porcellus	Eutheria	Mir-320	1	1
Cavia_porcellus	Eutheria	Mir-324	1	1
Cavia_porcellus	Theria	Mir-325	2	0
Cavia_porcellus	Eutheria	Mir-326	1	1
Cavia_porcellus	Eutheria	Mir-328	1	1
Cavia_porcellus	Bilateria	Mir-33	4	2
Cavia_porcellus	Eutheria	Mir-330	1	1
Cavia_porcellus	Eutheria	Mir-331	1	1
Cavia_porcellus	Eutheria	Mir-335	1	1
Cavia_porcellus	Eutheria	Mir-337	1	1
Cavia_porcellus	Vertebrata	Mir-338	1	1
Cavia_porcellus	Eutheria	Mir-339	2	1
Cavia_porcellus	Bilateria	Mir-34	5	5
Cavia_porcellus	Theria	Mir-340	3	1
Cavia_porcellus	Eutheria	Mir-342	1	1
Cavia_porcellus	Eutheria	Mir-345	1	1
Cavia_porcellus	Eutheria	Mir-346	1	1
Cavia_porcellus	Eutheria	Mir-350	1	1
Cavia_porcellus	Eutheria	Mir-361	1	1
Cavia_porcellus	Theria	Mir-3613	2	1
Cavia_porcellus	Eutheria	Mir-362	6	4
Cavia_porcellus	Boreoeutheria	Mir-370	1	1
Cavia_porcellus	Eutheria	Mir-374	1	1
Cavia_porcellus	Bilateria	Mir-375	1	1
Cavia_porcellus	Eutheria	Mir-376	4	4
Cavia_porcellus	Eutheria	Mir-378	1	1
Cavia_porcellus	Tetrapoda	Mir-383	1	1
Cavia_porcellus	Eutheria	Mir-423	1	1
Cavia_porcellus	Gnathostomata	Mir-425	1	1
Cavia_porcellus	Vertebrata	Mir-430	7	7
Cavia_porcellus	Eutheria	Mir-431	1	1
Cavia_porcellus	Eutheria	Mir-432	1	1
Cavia_porcellus	Eutheria	Mir-433	1	1
Cavia_porcellus	Eutheria	Mir-448	1	1
Cavia_porcellus	Eutheria	Mir-450	3	3
Cavia_porcellus	Vertebrata	Mir-451	1	1
Cavia_porcellus	Eutheria	Mir-452	1	1
Cavia_porcellus	Vertebrata	Mir-4541	1	0
Cavia_porcellus	Vertebrata	Mir-455	1	1
Cavia_porcellus	Vertebrata	Mir-459	1	1
Cavia_porcellus	Theria	Mir-483	4	1
Cavia_porcellus	Eutheria	Mir-486	1	1
Cavia_porcellus	Eutheria	Mir-488	1	1
Cavia_porcellus	Amniota	Mir-490	1	1
Cavia_porcellus	Eutheria	Mir-491	1	1
Cavia_porcellus	Eutheria	Mir-493	2	1
Cavia_porcellus	Vertebrata	Mir-499	2	1
Cavia_porcellus	Eutheria	Mir-504	1	1
Cavia_porcellus	Eutheria	Mir-505	1	1
Cavia_porcellus	Eutheria	Mir-506	15	13
Cavia_porcellus	Euarchontoglires	Mir-511	1	1
Cavia_porcellus	Eutheria	Mir-541	1	1
Cavia_porcellus	Eutheria	Mir-542	1	1
Cavia_porcellus	Eutheria	Mir-544	65	0
Cavia_porcellus	Vertebrata	Mir-551	1	1
Cavia_porcellus	Eutheria	Mir-574	234	1
Cavia_porcellus	Eutheria	Mir-582	2	1
Cavia_porcellus	Eutheria	Mir-592	1	1
Cavia_porcellus	Eutheria	Mir-598	1	1
Cavia_porcellus	Eutheria	Mir-615	1	1
Cavia_porcellus	Eutheria	Mir-652	1	1
Cavia_porcellus	Eutheria	Mir-6529	1	1
Cavia_porcellus	Eutheria	Mir-653	1	1
