species	node	family	total_hits	filtered_hits
Sarcophilus_harrisii	Bilateria	Let-7	15	13
Sarcophilus_harrisii	Bilateria	Mir-1	9	3
Sarcophilus_harrisii	Eumetazoa	Mir-10	9	9
Sarcophilus_harrisii	Vertebrata	Mir-101	2	2
Sarcophilus_harrisii	Deuterostomia	Mir-103	4	3
Sarcophilus_harrisii	Vertebrata	Mir-122	3	1
Sarcophilus_harrisii	Bilateria	Mir-124	3	3
Sarcophilus_harrisii	Theria	Mir-1251	1	1
Sarcophilus_harrisii	Olfactores	Mir-126	1	1
Sarcophilus_harrisii	Vertebrata	Mir-128	2	2
Sarcophilus_harrisii	Chordata	Mir-129	2	2
Sarcophilus_harrisii	Vertebrata	Mir-130	6	6
Sarcophilus_harrisii	Gnathostomata	Mir-1306	1	1
Sarcophilus_harrisii	Vertebrata	Mir-132	3	3
Sarcophilus_harrisii	Vertebrata	Mir-1329	1	1
Sarcophilus_harrisii	Bilateria	Mir-133	3	3
Sarcophilus_harrisii	Chordata	Mir-135	2	2
Sarcophilus_harrisii	Bilateria	Mir-137	2	2
Sarcophilus_harrisii	Vertebrata	Mir-138	2	2
Sarcophilus_harrisii	Gnathostomata	Mir-1388	1	1
Sarcophilus_harrisii	Gnathostomata	Mir-139	1	1
Sarcophilus_harrisii	Amniota	Mir-1397	1	1
Sarcophilus_harrisii	Vertebrata	Mir-140	1	1
Sarcophilus_harrisii	Vertebrata	Mir-142	1	1
Sarcophilus_harrisii	Vertebrata	Mir-143	1	1
Sarcophilus_harrisii	Vertebrata	Mir-144	1	1
Sarcophilus_harrisii	Vertebrata	Mir-145	3	1
Sarcophilus_harrisii	Vertebrata	Mir-146	2	2
Sarcophilus_harrisii	Vertebrata	Mir-147	10	0
Sarcophilus_harrisii	Vertebrata	Mir-148	2	2
Sarcophilus_harrisii	Olfactores	Mir-15	9	7
Sarcophilus_harrisii	Gnathostomata	Mir-150	1	1
Sarcophilus_harrisii	Bilateria	Mir-153	2	2
Sarcophilus_harrisii	Vertebrata	Mir-155	1	1
Sarcophilus_harrisii	Tetrapoda	Mir-1662	1	0
Sarcophilus_harrisii	Vertebrata	Mir-17	7	7
Sarcophilus_harrisii	Tetrapoda	Mir-1805	1	1
Sarcophilus_harrisii	Vertebrata	Mir-181	6	6
Sarcophilus_harrisii	Bilateria	Mir-184	1	1
Sarcophilus_harrisii	Mammalia	Mir-186	1	1
Sarcophilus_harrisii	Osteichthyes	Mir-187	1	1
Sarcophilus_harrisii	Vertebrata	Mir-19	3	3
Sarcophilus_harrisii	Bilateria	Mir-190	3	2
Sarcophilus_harrisii	Gnathostomata	Mir-191	1	1
Sarcophilus_harrisii	Vertebrata	Mir-192	2	1
Sarcophilus_harrisii	Bilateria	Mir-193	6	6
Sarcophilus_harrisii	Vertebrata	Mir-194	1	1
Sarcophilus_harrisii	Olfactores	Mir-196	3	3
Sarcophilus_harrisii	Vertebrata	Mir-199	3	3
Sarcophilus_harrisii	Vertebrata	Mir-202	2	1
Sarcophilus_harrisii	Vertebrata	Mir-203	1	1
Sarcophilus_harrisii	Vertebrata	Mir-204	3	2
Sarcophilus_harrisii	Vertebrata	Mir-205	1	1
Sarcophilus_harrisii	Vertebrata	Mir-208	2	2
Sarcophilus_harrisii	Vertebrata	Mir-21	1	1
Sarcophilus_harrisii	Bilateria	Mir-210	1	1
Sarcophilus_harrisii	Gnathostomata	Mir-214	1	1
Sarcophilus_harrisii	Bilateria	Mir-216	2	2
Sarcophilus_harrisii	Chordata	Mir-217	1	1
Sarcophilus_harrisii	Vertebrata	Mir-218	2	2
Sarcophilus_harrisii	Gnathostomata	Mir-2188	1	1
Sarcophilus_harrisii	Bilateria	Mir-219	3	2
Sarcophilus_harrisii	Bilateria	Mir-22	1	1
Sarcophilus_harrisii	Vertebrata	Mir-221	2	2
Sarcophilus_harrisii	Vertebrata	Mir-223	1	1
Sarcophilus_harrisii	Vertebrata	Mir-23	2	2
Sarcophilus_harrisii	Vertebrata	Mir-24	2	2
Sarcophilus_harrisii	Vertebrata	Mir-26	5	3
Sarcophilus_harrisii	Vertebrata	Mir-27	2	2
Sarcophilus_harrisii	Bilateria	Mir-281	1	0
Sarcophilus_harrisii	Bilateria	Mir-29	4	4
Sarcophilus_harrisii	Sarcopterygii	Mir-2970	1	1
Sarcophilus_harrisii	Vertebrata	Mir-30	6	6
Sarcophilus_harrisii	Bilateria	Mir-31	1	1
Sarcophilus_harrisii	Gnathostomata	Mir-32	1	1
Sarcophilus_harrisii	Theria	Mir-325	137	1
Sarcophilus_harrisii	Bilateria	Mir-33	1	1
Sarcophilus_harrisii	Vertebrata	Mir-338	1	1
Sarcophilus_harrisii	Bilateria	Mir-34	6	6
Sarcophilus_harrisii	Theria	Mir-340	23	1
Sarcophilus_harrisii	Theria	Mir-3613	1	1
Sarcophilus_harrisii	Bilateria	Mir-375	1	1
Sarcophilus_harrisii	Tetrapoda	Mir-383	1	1
Sarcophilus_harrisii	Gnathostomata	Mir-425	1	1
Sarcophilus_harrisii	Vertebrata	Mir-430	26	26
Sarcophilus_harrisii	Vertebrata	Mir-451	1	1
Sarcophilus_harrisii	Vertebrata	Mir-4541	3	0
Sarcophilus_harrisii	Vertebrata	Mir-455	1	1
Sarcophilus_harrisii	Osteichthyes	Mir-460	2	1
Sarcophilus_harrisii	Theria	Mir-483	30	1
Sarcophilus_harrisii	Osteichthyes	Mir-489	2	2
Sarcophilus_harrisii	Amniota	Mir-490	1	1
Sarcophilus_harrisii	Vertebrata	Mir-499	1	1
Sarcophilus_harrisii	Vertebrata	Mir-551	2	2
Sarcophilus_harrisii	Sarcopterygii	Mir-599	1	1
Sarcophilus_harrisii	Theria	Mir-671	1	1
Sarcophilus_harrisii	Theria	Mir-675	1	1
Sarcophilus_harrisii	Bilateria	Mir-7	4	3
Sarcophilus_harrisii	Bilateria	Mir-71	1	0
Sarcophilus_harrisii	Osteichthyes	Mir-722	2	0
Sarcophilus_harrisii	Osteichthyes	Mir-726	1	0
Sarcophilus_harrisii	Osteichthyes	Mir-737	2	0
Sarcophilus_harrisii	Bilateria	Mir-8	6	6
Sarcophilus_harrisii	Vertebrata	Mir-875	2	1
Sarcophilus_harrisii	Bilateria	Mir-9	6	4
Sarcophilus_harrisii	Bilateria	Mir-92	6	6
Sarcophilus_harrisii	Bilateria	Mir-96	6	3
