species	node	family	total_hits	filtered_hits
Scyliorhinus_torazame	Bilateria	Let-7	11	11
Scyliorhinus_torazame	Bilateria	Mir-1	3	3
Scyliorhinus_torazame	Eumetazoa	Mir-10	8	8
Scyliorhinus_torazame	Vertebrata	Mir-101	2	2
Scyliorhinus_torazame	Deuterostomia	Mir-103	3	3
Scyliorhinus_torazame	Vertebrata	Mir-122	2	1
Scyliorhinus_torazame	Bilateria	Mir-124	4	4
Scyliorhinus_torazame	Olfactores	Mir-126	1	1
Scyliorhinus_torazame	Vertebrata	Mir-128	3	3
Scyliorhinus_torazame	Chordata	Mir-129	2	2
Scyliorhinus_torazame	Vertebrata	Mir-130	9	9
Scyliorhinus_torazame	Gnathostomata	Mir-1306	1	1
Scyliorhinus_torazame	Vertebrata	Mir-132	3	1
Scyliorhinus_torazame	Vertebrata	Mir-1329	1	1
Scyliorhinus_torazame	Bilateria	Mir-133	3	3
Scyliorhinus_torazame	Chordata	Mir-135	3	3
Scyliorhinus_torazame	Bilateria	Mir-137	1	1
Scyliorhinus_torazame	Vertebrata	Mir-138	2	2
Scyliorhinus_torazame	Gnathostomata	Mir-1388	1	1
Scyliorhinus_torazame	Gnathostomata	Mir-139	1	1
Scyliorhinus_torazame	Vertebrata	Mir-140	1	1
Scyliorhinus_torazame	Vertebrata	Mir-142	1	1
Scyliorhinus_torazame	Vertebrata	Mir-143	2	1
Scyliorhinus_torazame	Vertebrata	Mir-144	1	1
Scyliorhinus_torazame	Vertebrata	Mir-145	1	1
Scyliorhinus_torazame	Vertebrata	Mir-146	2	2
Scyliorhinus_torazame	Vertebrata	Mir-148	2	2
Scyliorhinus_torazame	Olfactores	Mir-15	6	6
Scyliorhinus_torazame	Gnathostomata	Mir-150	1	1
Scyliorhinus_torazame	Bilateria	Mir-153	3	3
Scyliorhinus_torazame	Vertebrata	Mir-155	1	1
Scyliorhinus_torazame	Vertebrata	Mir-17	11	10
Scyliorhinus_torazame	Vertebrata	Mir-1788	1	1
Scyliorhinus_torazame	Vertebrata	Mir-181	6	6
Scyliorhinus_torazame	Bilateria	Mir-184	1	1
Scyliorhinus_torazame	Vertebrata	Mir-19	5	5
Scyliorhinus_torazame	Bilateria	Mir-190	2	2
Scyliorhinus_torazame	Gnathostomata	Mir-191	1	1
Scyliorhinus_torazame	Vertebrata	Mir-192	1	1
Scyliorhinus_torazame	Bilateria	Mir-193	4	4
Scyliorhinus_torazame	Vertebrata	Mir-194	3	2
Scyliorhinus_torazame	Olfactores	Mir-196	2	2
Scyliorhinus_torazame	Vertebrata	Mir-199	2	2
Scyliorhinus_torazame	Vertebrata	Mir-202	1	1
Scyliorhinus_torazame	Vertebrata	Mir-203	1	1
Scyliorhinus_torazame	Vertebrata	Mir-204	3	3
Scyliorhinus_torazame	Vertebrata	Mir-205	4	3
Scyliorhinus_torazame	Vertebrata	Mir-208	1	1
Scyliorhinus_torazame	Vertebrata	Mir-21	1	1
Scyliorhinus_torazame	Bilateria	Mir-210	2	2
Scyliorhinus_torazame	Gnathostomata	Mir-214	1	1
Scyliorhinus_torazame	Bilateria	Mir-216	4	2
Scyliorhinus_torazame	Chordata	Mir-217	1	1
Scyliorhinus_torazame	Vertebrata	Mir-218	2	2
Scyliorhinus_torazame	Gnathostomata	Mir-2188	1	1
Scyliorhinus_torazame	Bilateria	Mir-219	3	2
Scyliorhinus_torazame	Bilateria	Mir-22	2	2
Scyliorhinus_torazame	Vertebrata	Mir-221	3	3
Scyliorhinus_torazame	Vertebrata	Mir-223	2	1
Scyliorhinus_torazame	Vertebrata	Mir-23	4	4
Scyliorhinus_torazame	Vertebrata	Mir-24	4	4
Scyliorhinus_torazame	Vertebrata	Mir-26	3	3
Scyliorhinus_torazame	Vertebrata	Mir-27	4	4
Scyliorhinus_torazame	Bilateria	Mir-281	1	1
Scyliorhinus_torazame	Bilateria	Mir-29	4	4
Scyliorhinus_torazame	Vertebrata	Mir-30	6	6
Scyliorhinus_torazame	Bilateria	Mir-31	1	1
Scyliorhinus_torazame	Gnathostomata	Mir-32	1	1
Scyliorhinus_torazame	Bilateria	Mir-33	3	2
Scyliorhinus_torazame	Vertebrata	Mir-338	2	2
Scyliorhinus_torazame	Bilateria	Mir-34	7	7
Scyliorhinus_torazame	Bilateria	Mir-375	1	1
Scyliorhinus_torazame	Gnathostomata	Mir-425	1	1
Scyliorhinus_torazame	Vertebrata	Mir-430	6	4
Scyliorhinus_torazame	Vertebrata	Mir-451	2	2
Scyliorhinus_torazame	Vertebrata	Mir-4541	1	1
Scyliorhinus_torazame	Vertebrata	Mir-455	1	1
Scyliorhinus_torazame	Vertebrata	Mir-456	1	1
Scyliorhinus_torazame	Vertebrata	Mir-459	1	1
Scyliorhinus_torazame	Vertebrata	Mir-499	1	1
Scyliorhinus_torazame	Vertebrata	Mir-551	1	1
Scyliorhinus_torazame	Bilateria	Mir-7	4	3
Scyliorhinus_torazame	Gnathostomata	Mir-725	1	1
Scyliorhinus_torazame	Bilateria	Mir-8	3	3
Scyliorhinus_torazame	Bilateria	Mir-9	3	3
Scyliorhinus_torazame	Bilateria	Mir-92	8	7
Scyliorhinus_torazame	Bilateria	Mir-96	3	3
