species	node	family	total_hits	filtered_hits
Rattus_norvegicus	Bilateria	Let-7	12	12
Rattus_norvegicus	Bilateria	Mir-1	3	3
Rattus_norvegicus	Eumetazoa	Mir-10	8	8
Rattus_norvegicus	Vertebrata	Mir-101	3	2
Rattus_norvegicus	Deuterostomia	Mir-103	3	3
Rattus_norvegicus	Eutheria	Mir-105	1	1
Rattus_norvegicus	Vertebrata	Mir-122	3	1
Rattus_norvegicus	Bilateria	Mir-124	3	3
Rattus_norvegicus	Eutheria	Mir-1247	1	1
Rattus_norvegicus	Eutheria	Mir-1249	1	1
Rattus_norvegicus	Theria	Mir-1251	1	1
Rattus_norvegicus	Olfactores	Mir-126	1	1
Rattus_norvegicus	Eutheria	Mir-127	1	1
Rattus_norvegicus	Eutheria	Mir-1271	2	1
Rattus_norvegicus	Eutheria	Mir-1277	2175	0
Rattus_norvegicus	Vertebrata	Mir-128	2	2
Rattus_norvegicus	Chordata	Mir-129	2	2
Rattus_norvegicus	Eutheria	Mir-1298	1	1
Rattus_norvegicus	Vertebrata	Mir-130	4	4
Rattus_norvegicus	Eutheria	Mir-1301	1	0
Rattus_norvegicus	Gnathostomata	Mir-1306	1	1
Rattus_norvegicus	Vertebrata	Mir-132	2	2
Rattus_norvegicus	Bilateria	Mir-133	3	3
Rattus_norvegicus	Eutheria	Mir-134	1	1
Rattus_norvegicus	Chordata	Mir-135	4	3
Rattus_norvegicus	Eutheria	Mir-136	1	1
Rattus_norvegicus	Bilateria	Mir-137	1	1
Rattus_norvegicus	Vertebrata	Mir-138	2	2
Rattus_norvegicus	Gnathostomata	Mir-139	2	1
Rattus_norvegicus	Vertebrata	Mir-140	1	1
Rattus_norvegicus	Vertebrata	Mir-142	1	1
Rattus_norvegicus	Vertebrata	Mir-143	1	1
Rattus_norvegicus	Vertebrata	Mir-144	1	1
Rattus_norvegicus	Vertebrata	Mir-145	1	1
Rattus_norvegicus	Vertebrata	Mir-146	2	2
Rattus_norvegicus	Vertebrata	Mir-147	2	2
Rattus_norvegicus	Vertebrata	Mir-148	3	3
Rattus_norvegicus	Eutheria	Mir-149	2	1
Rattus_norvegicus	Olfactores	Mir-15	13	12
Rattus_norvegicus	Gnathostomata	Mir-150	1	1
Rattus_norvegicus	Bilateria	Mir-153	1	1
Rattus_norvegicus	Eutheria	Mir-154	22	22
Rattus_norvegicus	Vertebrata	Mir-155	1	1
Rattus_norvegicus	Vertebrata	Mir-17	8	7
