species	node	family	total_hits	filtered_hits
Bos_taurus	Bilateria	Let-7	12	12
Bos_taurus	Bilateria	Mir-1	4	3
Bos_taurus	Eumetazoa	Mir-10	8	8
Bos_taurus	Vertebrata	Mir-101	2	2
Bos_taurus	Deuterostomia	Mir-103	3	3
Bos_taurus	Eutheria	Mir-105	2	2
Bos_taurus	Vertebrata	Mir-122	1	1
Bos_taurus	Bilateria	Mir-124	3	3
Bos_taurus	Eutheria	Mir-1247	1	1
Bos_taurus	Eutheria	Mir-1249	1	1
Bos_taurus	Theria	Mir-1251	1	1
Bos_taurus	Olfactores	Mir-126	1	1
Bos_taurus	Eutheria	Mir-127	1	1
Bos_taurus	Eutheria	Mir-1271	5	1
Bos_taurus	Eutheria	Mir-1277	905	1
Bos_taurus	Vertebrata	Mir-128	2	2
Bos_taurus	Chordata	Mir-129	2	2
Bos_taurus	Eutheria	Mir-1296	1	1
Bos_taurus	Eutheria	Mir-1298	1	1
Bos_taurus	Vertebrata	Mir-130	5	5
Bos_taurus	Eutheria	Mir-1301	1	1
Bos_taurus	Gnathostomata	Mir-1306	1	1
Bos_taurus	Eutheria	Mir-1307	1	1
Bos_taurus	Vertebrata	Mir-132	2	2
Bos_taurus	Vertebrata	Mir-1329	1	1
Bos_taurus	Bilateria	Mir-133	3	3
Bos_taurus	Eutheria	Mir-134	1	1
Bos_taurus	Eutheria	Mir-1343	2	1
Bos_taurus	Chordata	Mir-135	3	3
Bos_taurus	Eutheria	Mir-136	1	1
Bos_taurus	Bilateria	Mir-137	1	1
Bos_taurus	Eutheria	Mir-1379	1	0
Bos_taurus	Vertebrata	Mir-138	2	2
Bos_taurus	Gnathostomata	Mir-1388	1	1
Bos_taurus	Gnathostomata	Mir-139	2	1
Bos_taurus	Vertebrata	Mir-140	1	1
Bos_taurus	Vertebrata	Mir-142	1	1
Bos_taurus	Vertebrata	Mir-143	1	1
Bos_taurus	Vertebrata	Mir-144	1	1
Bos_taurus	Vertebrata	Mir-145	2	1
Bos_taurus	Vertebrata	Mir-146	2	2
Bos_taurus	Vertebrata	Mir-147	3	1
Bos_taurus	Vertebrata	Mir-148	3	3
Bos_taurus	Eutheria	Mir-149	1	1
Bos_taurus	Olfactores	Mir-15	8	8
Bos_taurus	Gnathostomata	Mir-150	1	1
Bos_taurus	Bilateria	Mir-153	2	2
Bos_taurus	Eutheria	Mir-154	32	32
Bos_taurus	Vertebrata	Mir-155	1	1
Bos_taurus	Vertebrata	Mir-17	8	8
Bos_taurus	Vertebrata	Mir-1788	1	0
Bos_taurus	Vertebrata	Mir-181	6	6
Bos_taurus	Bilateria	Mir-184	1	1
Bos_taurus	Eutheria	Mir-1842	1	1
Bos_taurus	Eutheria	Mir-185	1	1
Bos_taurus	Mammalia	Mir-186	2	1
Bos_taurus	Osteichthyes	Mir-187	1	1
Bos_taurus	Eutheria	Mir-188	3	3
Bos_taurus	Vertebrata	Mir-19	3	3
Bos_taurus	Bilateria	Mir-190	2	2
Bos_taurus	Gnathostomata	Mir-191	1	1
Bos_taurus	Eutheria	Mir-1911	1	1
Bos_taurus	Eutheria	Mir-1912	1	1
Bos_taurus	Vertebrata	Mir-192	2	2
Bos_taurus	Bilateria	Mir-193	5	4
Bos_taurus	Vertebrata	Mir-194	2	2
Bos_taurus	Olfactores	Mir-196	4	3
Bos_taurus	Eutheria	Mir-197	1	1
Bos_taurus	Vertebrata	Mir-199	3	3
Bos_taurus	Vertebrata	Mir-202	2	1
Bos_taurus	Vertebrata	Mir-203	1	1
Bos_taurus	Vertebrata	Mir-204	2	2
Bos_taurus	Vertebrata	Mir-205	1	1
Bos_taurus	Vertebrata	Mir-208	2	2
Bos_taurus	Vertebrata	Mir-21	1	1
Bos_taurus	Bilateria	Mir-210	1	1
Bos_taurus	Eutheria	Mir-2114	1	0
Bos_taurus	Gnathostomata	Mir-214	3	1
Bos_taurus	Bilateria	Mir-216	2	2
Bos_taurus	Chordata	Mir-217	1	1
Bos_taurus	Vertebrata	Mir-218	2	2
Bos_taurus	Bilateria	Mir-219	2	2
Bos_taurus	Bilateria	Mir-22	1	1
Bos_taurus	Vertebrata	Mir-221	2	2
Bos_taurus	Vertebrata	Mir-223	1	1
Bos_taurus	Eutheria	Mir-224	1	1
Bos_taurus	Vertebrata	Mir-23	2	2
Bos_taurus	Eutheria	Mir-2355	1	1
Bos_taurus	Boreoeutheria	Mir-2387	1	1
Bos_taurus	Vertebrata	Mir-24	2	2
Bos_taurus	Eutheria	Mir-2483	1	1
Bos_taurus	Vertebrata	Mir-26	3	3
Bos_taurus	Vertebrata	Mir-27	2	2
Bos_taurus	Eutheria	Mir-28	4	3
Bos_taurus	Bilateria	Mir-29	6	6
Bos_taurus	Eutheria	Mir-296	1	1
Bos_taurus	Vertebrata	Mir-30	6	6
Bos_taurus	Eutheria	Mir-3059	1	1
Bos_taurus	Eutheria	Mir-3085	1	1
Bos_taurus	Bilateria	Mir-31	1	1
Bos_taurus	Gnathostomata	Mir-32	1	1
Bos_taurus	Eutheria	Mir-320	2	2
Bos_taurus	Eutheria	Mir-324	1	1
Bos_taurus	Theria	Mir-325	7	0
Bos_taurus	Eutheria	Mir-326	1	1
Bos_taurus	Eutheria	Mir-328	1	1
Bos_taurus	Bilateria	Mir-33	5	2
Bos_taurus	Eutheria	Mir-330	1	1
Bos_taurus	Eutheria	Mir-331	1	1
Bos_taurus	Eutheria	Mir-335	1	1
Bos_taurus	Vertebrata	Mir-338	1	1
Bos_taurus	Eutheria	Mir-339	2	1
Bos_taurus	Bilateria	Mir-34	6	6
Bos_taurus	Theria	Mir-340	9	1
Bos_taurus	Eutheria	Mir-342	1	1
Bos_taurus	Eutheria	Mir-345	2	1
Bos_taurus	Eutheria	Mir-346	2	1
Bos_taurus	Eutheria	Mir-350	1	0
Bos_taurus	Eutheria	Mir-361	1	1
Bos_taurus	Theria	Mir-3613	1	1
Bos_taurus	Eutheria	Mir-362	5	5
Bos_taurus	Boreoeutheria	Mir-370	1	1
Bos_taurus	Eutheria	Mir-374	2	2
Bos_taurus	Bilateria	Mir-375	1	1
Bos_taurus	Eutheria	Mir-376	5	5
Bos_taurus	Eutheria	Mir-378	1	1
Bos_taurus	Tetrapoda	Mir-383	1	1
Bos_taurus	Eutheria	Mir-423	1	1
Bos_taurus	Gnathostomata	Mir-425	1	1
Bos_taurus	Vertebrata	Mir-430	8	8
Bos_taurus	Eutheria	Mir-431	1	1
Bos_taurus	Eutheria	Mir-432	1	1
Bos_taurus	Eutheria	Mir-433	1	1
Bos_taurus	Eutheria	Mir-448	1	1
Bos_taurus	Eutheria	Mir-450	3	3
Bos_taurus	Vertebrata	Mir-451	1	1
Bos_taurus	Eutheria	Mir-452	1	1
Bos_taurus	Vertebrata	Mir-455	1	1
Bos_taurus	Vertebrata	Mir-459	1	1
Bos_taurus	Theria	Mir-483	5	1
Bos_taurus	Eutheria	Mir-486	4	1
Bos_taurus	Eutheria	Mir-488	1	1
