species	node	family	total_hits	filtered_hits
Monopterus_albus	Bilateria	Let-7	21	20
Monopterus_albus	Bilateria	Mir-1	3	3
Monopterus_albus	Eumetazoa	Mir-10	14	14
Monopterus_albus	Vertebrata	Mir-101	2	2
Monopterus_albus	Deuterostomia	Mir-103	4	4
Monopterus_albus	Vertebrata	Mir-122	2	1
Monopterus_albus	Bilateria	Mir-124	6	6
Monopterus_albus	Olfactores	Mir-126	1	1
Monopterus_albus	Vertebrata	Mir-128	2	2
Monopterus_albus	Chordata	Mir-129	4	4
Monopterus_albus	Vertebrata	Mir-130	7	7
Monopterus_albus	Gnathostomata	Mir-1306	1	1
Monopterus_albus	Vertebrata	Mir-132	4	4
Monopterus_albus	Bilateria	Mir-133	3	3
Monopterus_albus	Chordata	Mir-135	6	5
Monopterus_albus	Bilateria	Mir-137	3	3
Monopterus_albus	Vertebrata	Mir-138	3	3
Monopterus_albus	Gnathostomata	Mir-1388	1	1
Monopterus_albus	Gnathostomata	Mir-139	1	1
Monopterus_albus	Vertebrata	Mir-140	1	1
Monopterus_albus	Vertebrata	Mir-142	2	2
Monopterus_albus	Vertebrata	Mir-143	1	1
Monopterus_albus	Vertebrata	Mir-144	1	1
Monopterus_albus	Vertebrata	Mir-145	1	1
Monopterus_albus	Vertebrata	Mir-146	1	1
Monopterus_albus	Vertebrata	Mir-147	2	0
Monopterus_albus	Vertebrata	Mir-148	2	2
Monopterus_albus	Olfactores	Mir-15	6	6
Monopterus_albus	Gnathostomata	Mir-150	1	1
Monopterus_albus	Bilateria	Mir-153	5	4
Monopterus_albus	Vertebrata	Mir-155	2	1
Monopterus_albus	Vertebrata	Mir-17	13	12
Monopterus_albus	Vertebrata	Mir-1788	1	1
Monopterus_albus	Vertebrata	Mir-181	8	8
Monopterus_albus	Bilateria	Mir-184	2	2
Monopterus_albus	Osteichthyes	Mir-187	1	1
Monopterus_albus	Vertebrata	Mir-19	6	5
Monopterus_albus	Bilateria	Mir-190	3	3
Monopterus_albus	Gnathostomata	Mir-191	2	1
Monopterus_albus	Vertebrata	Mir-192	1	1
Monopterus_albus	Bilateria	Mir-193	2	2
Monopterus_albus	Vertebrata	Mir-194	4	2
Monopterus_albus	Olfactores	Mir-196	4	4
Monopterus_albus	Vertebrata	Mir-199	4	4
Monopterus_albus	Vertebrata	Mir-202	1	1
Monopterus_albus	Vertebrata	Mir-203	2	2
Monopterus_albus	Vertebrata	Mir-204	2	2
Monopterus_albus	Vertebrata	Mir-205	3	3
Monopterus_albus	Vertebrata	Mir-208	1	1
Monopterus_albus	Vertebrata	Mir-21	2	2
Monopterus_albus	Bilateria	Mir-210	1	1
Monopterus_albus	Gnathostomata	Mir-214	2	2
Monopterus_albus	Bilateria	Mir-216	3	2
Monopterus_albus	Chordata	Mir-217	1	1
Monopterus_albus	Vertebrata	Mir-218	3	3
Monopterus_albus	Gnathostomata	Mir-2184	4	2
Monopterus_albus	Gnathostomata	Mir-2188	1	1
Monopterus_albus	Bilateria	Mir-219	4	4
Monopterus_albus	Bilateria	Mir-22	4	3
Monopterus_albus	Vertebrata	Mir-221	4	4
Monopterus_albus	Vertebrata	Mir-223	1	1
Monopterus_albus	Vertebrata	Mir-23	5	5
Monopterus_albus	Vertebrata	Mir-24	7	2
Monopterus_albus	Vertebrata	Mir-26	5	5
Monopterus_albus	Vertebrata	Mir-27	6	6
Monopterus_albus	Bilateria	Mir-29	7	7
Monopterus_albus	Vertebrata	Mir-30	6	6
Monopterus_albus	Bilateria	Mir-31	2	1
Monopterus_albus	Bilateria	Mir-33	5	3
Monopterus_albus	Vertebrata	Mir-338	3	3
Monopterus_albus	Bilateria	Mir-34	3	1
Monopterus_albus	Bilateria	Mir-375	1	1
Monopterus_albus	Gnathostomata	Mir-425	1	1
Monopterus_albus	Vertebrata	Mir-430	1	1
Monopterus_albus	Vertebrata	Mir-451	1	1
Monopterus_albus	Vertebrata	Mir-455	5	2
Monopterus_albus	Vertebrata	Mir-456	1	1
Monopterus_albus	Osteichthyes	Mir-458	1	1
Monopterus_albus	Vertebrata	Mir-459	1	1
Monopterus_albus	Osteichthyes	Mir-460	3	2
Monopterus_albus	Osteichthyes	Mir-489	1	1
Monopterus_albus	Vertebrata	Mir-499	2	1
Monopterus_albus	Vertebrata	Mir-551	1	1
Monopterus_albus	Bilateria	Mir-7	4	4
Monopterus_albus	Osteichthyes	Mir-7147	1	1
Monopterus_albus	Osteichthyes	Mir-722	5	2
Monopterus_albus	Gnathostomata	Mir-725	1	1
Monopterus_albus	Osteichthyes	Mir-726	1	1
Monopterus_albus	Osteichthyes	Mir-727	1	1
Monopterus_albus	Osteichthyes	Mir-737	3	1
Monopterus_albus	Bilateria	Mir-8	4	3
Monopterus_albus	Vertebrata	Mir-875	1	0
Monopterus_albus	Bilateria	Mir-9	8	7
Monopterus_albus	Bilateria	Mir-92	4	4
Monopterus_albus	Bilateria	Mir-96	6	6
