species	node	family	total_hits	filtered_hits
Danio_rerio	Bilateria	Let-7	23	23
Danio_rerio	Bilateria	Mir-1	7	6
Danio_rerio	Eumetazoa	Mir-10	16	16
Danio_rerio	Vertebrata	Mir-101	2	2
Danio_rerio	Deuterostomia	Mir-103	6	6
Danio_rerio	Vertebrata	Mir-122	1	1
Danio_rerio	Bilateria	Mir-124	6	6
Danio_rerio	Olfactores	Mir-126	2	2
Danio_rerio	Vertebrata	Mir-128	3	3
Danio_rerio	Chordata	Mir-129	4	4
Danio_rerio	Vertebrata	Mir-130	9	9
Danio_rerio	Gnathostomata	Mir-1306	2	2
Danio_rerio	Vertebrata	Mir-132	4	4
Danio_rerio	Bilateria	Mir-133	4	4
Danio_rerio	Chordata	Mir-135	5	5
Danio_rerio	Bilateria	Mir-137	2	2
Danio_rerio	Vertebrata	Mir-138	2	2
Danio_rerio	Gnathostomata	Mir-1388	2	2
Danio_rerio	Gnathostomata	Mir-139	3	1
Danio_rerio	Vertebrata	Mir-140	2	1
Danio_rerio	Vertebrata	Mir-142	2	2
Danio_rerio	Vertebrata	Mir-143	2	2
Danio_rerio	Vertebrata	Mir-144	1	1
Danio_rerio	Vertebrata	Mir-145	2	2
Danio_rerio	Vertebrata	Mir-146	2	2
Danio_rerio	Vertebrata	Mir-148	4	4
Danio_rerio	Olfactores	Mir-15	14	14
Danio_rerio	Gnathostomata	Mir-150	2	2
Danio_rerio	Bilateria	Mir-153	5	5
Danio_rerio	Vertebrata	Mir-155	1	1
Danio_rerio	Vertebrata	Mir-17	11	11
Danio_rerio	Vertebrata	Mir-1788	1	1
Danio_rerio	Vertebrata	Mir-181	12	12
Danio_rerio	Bilateria	Mir-184	3	3
Danio_rerio	Osteichthyes	Mir-187	1	1
Danio_rerio	Vertebrata	Mir-19	7	7
Danio_rerio	Bilateria	Mir-190	2	2
Danio_rerio	Gnathostomata	Mir-191	1	1
Danio_rerio	Vertebrata	Mir-192	3	3
Danio_rerio	Bilateria	Mir-193	10	10
Danio_rerio	Vertebrata	Mir-194	5	4
Danio_rerio	Olfactores	Mir-196	5	5
Danio_rerio	Vertebrata	Mir-199	4	4
Danio_rerio	Vertebrata	Mir-202	1	1
Danio_rerio	Vertebrata	Mir-203	7	2
Danio_rerio	Vertebrata	Mir-204	5	5
Danio_rerio	Vertebrata	Mir-205	1	1
Danio_rerio	Vertebrata	Mir-208	1	1
Danio_rerio	Vertebrata	Mir-21	3	3
Danio_rerio	Bilateria	Mir-210	1	1
Danio_rerio	Gnathostomata	Mir-214	1	1
Danio_rerio	Bilateria	Mir-216	4	4
Danio_rerio	Chordata	Mir-217	2	2
Danio_rerio	Vertebrata	Mir-218	4	4
Danio_rerio	Gnathostomata	Mir-2184	4	2
Danio_rerio	Gnathostomata	Mir-2188	1	1
Danio_rerio	Bilateria	Mir-219	7	6
Danio_rerio	Bilateria	Mir-22	5	5
Danio_rerio	Vertebrata	Mir-221	5	5
Danio_rerio	Vertebrata	Mir-223	3	2
Danio_rerio	Vertebrata	Mir-23	6	6
Danio_rerio	Vertebrata	Mir-24	6	6
Danio_rerio	Vertebrata	Mir-26	5	5
Danio_rerio	Vertebrata	Mir-27	6	6
Danio_rerio	Bilateria	Mir-29	7	7
Danio_rerio	Vertebrata	Mir-30	8	7
Danio_rerio	Bilateria	Mir-31	1	1
Danio_rerio	Bilateria	Mir-33	5	1
Danio_rerio	Vertebrata	Mir-338	5	5
Danio_rerio	Bilateria	Mir-34	6	6
Danio_rerio	Bilateria	Mir-375	2	2
Danio_rerio	Chordata	Mir-4057	1	0
Danio_rerio	Gnathostomata	Mir-425	1	1
Danio_rerio	Vertebrata	Mir-430	55	55
Danio_rerio	Vertebrata	Mir-451	1	1
Danio_rerio	Vertebrata	Mir-4541	1	0
Danio_rerio	Vertebrata	Mir-455	3	3
Danio_rerio	Vertebrata	Mir-456	2	2
Danio_rerio	Osteichthyes	Mir-458	1	1
Danio_rerio	Vertebrata	Mir-459	3	1
Danio_rerio	Osteichthyes	Mir-460	4	4
Danio_rerio	Osteichthyes	Mir-489	2	2
Danio_rerio	Vertebrata	Mir-499	2	2
Danio_rerio	Vertebrata	Mir-551	1	1
Danio_rerio	Bilateria	Mir-7	5	5
Danio_rerio	Osteichthyes	Mir-7147	1	1
Danio_rerio	Osteichthyes	Mir-722	8	3
Danio_rerio	Gnathostomata	Mir-725	2	2
Danio_rerio	Osteichthyes	Mir-726	2	2
Danio_rerio	Osteichthyes	Mir-727	2	2
Danio_rerio	Osteichthyes	Mir-737	2	1
Danio_rerio	Bilateria	Mir-8	6	6
Danio_rerio	Bilateria	Mir-9	8	7
Danio_rerio	Bilateria	Mir-92	4	4
Danio_rerio	Bilateria	Mir-96	3	3
