species	node	family	total_hits	filtered_hits
Brachionus_plicatilis	Protostomia	Bantam	1	1
Brachionus_plicatilis	Bilateria	Let-7	1	0
Brachionus_plicatilis	Bilateria	Mir-1	2	2
Brachionus_plicatilis	Eumetazoa	Mir-10	2	2
Brachionus_plicatilis	Protostomia	Mir-1175	1	0
Brachionus_plicatilis	Protostomia	Mir-12	1	1
Brachionus_plicatilis	Bilateria	Mir-124	1	0
Brachionus_plicatilis	Bilateria	Mir-153	1	1
Brachionus_plicatilis	Bilateria	Mir-184	1	1
Brachionus_plicatilis	Bilateria	Mir-190	1	1
Brachionus_plicatilis	Bilateria	Mir-193	2	0
Brachionus_plicatilis	Protostomia	Mir-1993	2	1
Brachionus_plicatilis	Bilateria	Mir-216	1	1
Brachionus_plicatilis	Bilateria	Mir-219	1	0
Brachionus_plicatilis	Bilateria	Mir-22	1	0
Brachionus_plicatilis	Bilateria	Mir-242	1	0
Brachionus_plicatilis	Protostomia	Mir-277	1	1
Brachionus_plicatilis	Protostomia	Mir-279	1	0
Brachionus_plicatilis	Bilateria	Mir-281	2	1
Brachionus_plicatilis	Bilateria	Mir-29	1	0
Brachionus_plicatilis	Bilateria	Mir-31	1	1
Brachionus_plicatilis	Bilateria	Mir-315	1	1
Brachionus_plicatilis	Bilateria	Mir-33	1	0
Brachionus_plicatilis	Protostomia	Mir-36	2	0
Brachionus_plicatilis	Bilateria	Mir-375	1	1
Brachionus_plicatilis	Bilateria	Mir-7	3	1
Brachionus_plicatilis	Protostomia	Mir-750	1	1
Brachionus_plicatilis	Bilateria	Mir-76	1	1
Brachionus_plicatilis	Bilateria	Mir-8	2	1
Brachionus_plicatilis	Protostomia	Mir-87	1	1
Brachionus_plicatilis	Bilateria	Mir-9	1	1
Brachionus_plicatilis	Bilateria	Mir-96	5	1
