species	node	family	total_hits	filtered_hits
Lingula_anatina	Protostomia	Bantam	1	1
Lingula_anatina	Bilateria	Let-7	1	1
Lingula_anatina	Bilateria	Mir-1	1	1
Lingula_anatina	Eumetazoa	Mir-10	6	6
Lingula_anatina	Protostomia	Mir-1175	1	1
Lingula_anatina	Protostomia	Mir-12	2	2
Lingula_anatina	Bilateria	Mir-124	1	1
Lingula_anatina	Bilateria	Mir-133	1	1
Lingula_anatina	Bilateria	Mir-137	1	1
Lingula_anatina	Bilateria	Mir-153	2	1
Lingula_anatina	Bilateria	Mir-184	2	1
Lingula_anatina	Bilateria	Mir-190	2	0
Lingula_anatina	Bilateria	Mir-193	6	2
Lingula_anatina	Lophotrochozoa	Mir-1986	1	1
Lingula_anatina	Platytrochozoa	Mir-1989	4	3
Lingula_anatina	Lophotrochozoa	Mir-1990	3	1
Lingula_anatina	Platytrochozoa	Mir-1992	1	1
Lingula_anatina	Protostomia	Mir-1993	1	1
Lingula_anatina	Lophotrochozoa	Mir-1994	4	4
Lingula_anatina	Protostomia	Mir-2	16	16
Lingula_anatina	Bilateria	Mir-2001	3	2
Lingula_anatina	Bilateria	Mir-210	2	1
Lingula_anatina	Bilateria	Mir-216	5	4
Lingula_anatina	Bilateria	Mir-219	1	1
Lingula_anatina	Bilateria	Mir-22	3	2
Lingula_anatina	Bilateria	Mir-242	1	1
Lingula_anatina	Bilateria	Mir-252	4	4
Lingula_anatina	Protostomia	Mir-277	4	3
Lingula_anatina	Bilateria	Mir-278	1	1
Lingula_anatina	Protostomia	Mir-279	3	2
Lingula_anatina	Bilateria	Mir-281	3	2
Lingula_anatina	Bilateria	Mir-29	5	4
Lingula_anatina	Bilateria	Mir-31	2	2
Lingula_anatina	Bilateria	Mir-315	1	1
Lingula_anatina	Protostomia	Mir-317	2	2
Lingula_anatina	Bilateria	Mir-33	3	2
Lingula_anatina	Bilateria	Mir-34	2	2
Lingula_anatina	Protostomia	Mir-36	3	0
Lingula_anatina	Bilateria	Mir-375	1	1
Lingula_anatina	Protostomia	Mir-67	1	1
Lingula_anatina	Bilateria	Mir-7	1	1
Lingula_anatina	Bilateria	Mir-71	2	2
Lingula_anatina	Protostomia	Mir-750	1	1
Lingula_anatina	Bilateria	Mir-76	2	2
Lingula_anatina	Bilateria	Mir-8	4	1
Lingula_anatina	Protostomia	Mir-87	3	2
Lingula_anatina	Bilateria	Mir-9	1	1
Lingula_anatina	Bilateria	Mir-92	11	11
Lingula_anatina	Bilateria	Mir-96	4	3
