species	node	family	total_hits	filtered_hits
Drosophila_simulans	Protostomia	Bantam	1	1
Drosophila_simulans	Arthropoda	Iab-4	1	1
Drosophila_simulans	Bilateria	Let-7	1	1
Drosophila_simulans	Bilateria	Mir-1	1	1
Drosophila_simulans	Eumetazoa	Mir-10	4	4
Drosophila_simulans	Protostomia	Mir-1175	1	1
Drosophila_simulans	Protostomia	Mir-12	1	1
Drosophila_simulans	Bilateria	Mir-124	1	1
Drosophila_simulans	Bilateria	Mir-133	1	1
Drosophila_simulans	Bilateria	Mir-137	1	1
Drosophila_simulans	Bilateria	Mir-184	1	1
Drosophila_simulans	Bilateria	Mir-190	1	1
Drosophila_simulans	Bilateria	Mir-193	1	0
Drosophila_simulans	Protostomia	Mir-2	14	14
Drosophila_simulans	Bilateria	Mir-2001	1	1
Drosophila_simulans	Bilateria	Mir-210	1	1
Drosophila_simulans	Bilateria	Mir-216	2	2
Drosophila_simulans	Bilateria	Mir-219	1	1
Drosophila_simulans	Bilateria	Mir-22	1	1
Drosophila_simulans	Bilateria	Mir-252	2	2
Drosophila_simulans	Arthropoda	Mir-275	1	1
Drosophila_simulans	Arthropoda	Mir-276	2	2
Drosophila_simulans	Protostomia	Mir-277	1	1
Drosophila_simulans	Bilateria	Mir-278	1	1
Drosophila_simulans	Protostomia	Mir-279	3	3
Drosophila_simulans	Bilateria	Mir-281	2	2
Drosophila_simulans	Pancrustacea	Mir-282	1	1
Drosophila_simulans	Bilateria	Mir-29	2	1
Drosophila_simulans	Pancrustacea	Mir-3	3	3
Drosophila_simulans	Ecdysozoa	Mir-305	1	1
Drosophila_simulans	Bilateria	Mir-31	2	2
Drosophila_simulans	Bilateria	Mir-315	2	1
Drosophila_simulans	Pancrustacea	Mir-316	1	1
Drosophila_simulans	Protostomia	Mir-317	1	1
Drosophila_simulans	Bilateria	Mir-33	1	1
Drosophila_simulans	Bilateria	Mir-34	1	1
Drosophila_simulans	Bilateria	Mir-375	1	1
Drosophila_simulans	Protostomia	Mir-67	2	1
Drosophila_simulans	Bilateria	Mir-7	2	1
Drosophila_simulans	Bilateria	Mir-76	1	1
Drosophila_simulans	Bilateria	Mir-8	1	1
Drosophila_simulans	Protostomia	Mir-87	1	1
Drosophila_simulans	Bilateria	Mir-9	5	4
Drosophila_simulans	Bilateria	Mir-92	7	6
Drosophila_simulans	Bilateria	Mir-96	2	2
Drosophila_simulans	Pancrustacea	Mir-965	2	1
