species	node	family	total_hits	filtered_hits
Drosophila_ananassae	Protostomia	Bantam	1	1
Drosophila_ananassae	Arthropoda	Iab-4	1	1
Drosophila_ananassae	Bilateria	Let-7	1	1
Drosophila_ananassae	Bilateria	Mir-1	3	1
Drosophila_ananassae	Eumetazoa	Mir-10	4	4
Drosophila_ananassae	Protostomia	Mir-1175	1	1
Drosophila_ananassae	Protostomia	Mir-12	1	1
Drosophila_ananassae	Bilateria	Mir-124	1	1
Drosophila_ananassae	Bilateria	Mir-133	1	1
Drosophila_ananassae	Bilateria	Mir-137	1	1
Drosophila_ananassae	Bilateria	Mir-184	1	1
Drosophila_ananassae	Bilateria	Mir-190	1	1
Drosophila_ananassae	Bilateria	Mir-193	1	0
Drosophila_ananassae	Protostomia	Mir-2	13	13
Drosophila_ananassae	Bilateria	Mir-2001	1	1
Drosophila_ananassae	Bilateria	Mir-210	1	1
Drosophila_ananassae	Bilateria	Mir-216	2	2
Drosophila_ananassae	Bilateria	Mir-219	1	1
Drosophila_ananassae	Bilateria	Mir-22	1	1
Drosophila_ananassae	Bilateria	Mir-252	2	2
Drosophila_ananassae	Arthropoda	Mir-275	1	1
Drosophila_ananassae	Arthropoda	Mir-276	2	2
Drosophila_ananassae	Protostomia	Mir-277	1	1
Drosophila_ananassae	Bilateria	Mir-278	1	1
Drosophila_ananassae	Protostomia	Mir-279	3	3
Drosophila_ananassae	Bilateria	Mir-281	2	2
Drosophila_ananassae	Pancrustacea	Mir-282	1	1
Drosophila_ananassae	Bilateria	Mir-29	1	1
Drosophila_ananassae	Pancrustacea	Mir-3	3	3
Drosophila_ananassae	Ecdysozoa	Mir-305	1	1
Drosophila_ananassae	Bilateria	Mir-31	2	2
Drosophila_ananassae	Bilateria	Mir-315	1	1
Drosophila_ananassae	Pancrustacea	Mir-316	1	1
Drosophila_ananassae	Protostomia	Mir-317	1	1
Drosophila_ananassae	Bilateria	Mir-33	1	1
Drosophila_ananassae	Bilateria	Mir-34	1	1
Drosophila_ananassae	Bilateria	Mir-375	1	1
Drosophila_ananassae	Protostomia	Mir-67	1	1
Drosophila_ananassae	Bilateria	Mir-7	1	1
Drosophila_ananassae	Bilateria	Mir-76	1	1
Drosophila_ananassae	Bilateria	Mir-8	1	1
Drosophila_ananassae	Protostomia	Mir-87	1	1
Drosophila_ananassae	Bilateria	Mir-9	5	4
Drosophila_ananassae	Bilateria	Mir-92	7	7
Drosophila_ananassae	Bilateria	Mir-96	2	2
Drosophila_ananassae	Pancrustacea	Mir-965	1	1
