species	node	family	total_hits	filtered_hits
Latimeria_chalumnae	Bilateria	Let-7	15	14
Latimeria_chalumnae	Bilateria	Mir-1	4	4
Latimeria_chalumnae	Eumetazoa	Mir-10	10	10
Latimeria_chalumnae	Vertebrata	Mir-101	3	2
Latimeria_chalumnae	Deuterostomia	Mir-103	5	4
Latimeria_chalumnae	Vertebrata	Mir-122	1	1
Latimeria_chalumnae	Bilateria	Mir-124	4	4
Latimeria_chalumnae	Olfactores	Mir-126	1	1
Latimeria_chalumnae	Vertebrata	Mir-128	3	3
Latimeria_chalumnae	Chordata	Mir-129	3	3
Latimeria_chalumnae	Vertebrata	Mir-130	12	11
Latimeria_chalumnae	Gnathostomata	Mir-1306	1	1
Latimeria_chalumnae	Vertebrata	Mir-132	2	2
Latimeria_chalumnae	Vertebrata	Mir-1329	1	1
Latimeria_chalumnae	Bilateria	Mir-133	6	5
Latimeria_chalumnae	Chordata	Mir-135	3	3
Latimeria_chalumnae	Bilateria	Mir-137	3	2
Latimeria_chalumnae	Vertebrata	Mir-138	2	2
Latimeria_chalumnae	Gnathostomata	Mir-1388	2	1
Latimeria_chalumnae	Gnathostomata	Mir-139	1	1
Latimeria_chalumnae	Vertebrata	Mir-140	3	2
Latimeria_chalumnae	Vertebrata	Mir-142	3	2
Latimeria_chalumnae	Vertebrata	Mir-143	2	1
Latimeria_chalumnae	Vertebrata	Mir-144	1	1
Latimeria_chalumnae	Vertebrata	Mir-145	1	1
Latimeria_chalumnae	Vertebrata	Mir-146	4	3
Latimeria_chalumnae	Vertebrata	Mir-147	2	1
Latimeria_chalumnae	Vertebrata	Mir-148	2	2
Latimeria_chalumnae	Olfactores	Mir-15	10	8
Latimeria_chalumnae	Gnathostomata	Mir-150	1	1
Latimeria_chalumnae	Bilateria	Mir-153	3	2
Latimeria_chalumnae	Vertebrata	Mir-155	2	1
Latimeria_chalumnae	Vertebrata	Mir-17	8	8
Latimeria_chalumnae	Vertebrata	Mir-1788	1	1
Latimeria_chalumnae	Vertebrata	Mir-181	6	6
Latimeria_chalumnae	Bilateria	Mir-184	1	1
Latimeria_chalumnae	Osteichthyes	Mir-187	3	1
Latimeria_chalumnae	Vertebrata	Mir-19	90	4
Latimeria_chalumnae	Bilateria	Mir-190	2	2
Latimeria_chalumnae	Gnathostomata	Mir-191	1	0
Latimeria_chalumnae	Vertebrata	Mir-192	2	1
Latimeria_chalumnae	Bilateria	Mir-193	9	4
Latimeria_chalumnae	Vertebrata	Mir-194	3	2
Latimeria_chalumnae	Olfactores	Mir-196	3	3
Latimeria_chalumnae	Vertebrata	Mir-199	3	3
Latimeria_chalumnae	Bilateria	Mir-2001	12	0
Latimeria_chalumnae	Vertebrata	Mir-202	1	1
Latimeria_chalumnae	Vertebrata	Mir-203	3	1
Latimeria_chalumnae	Vertebrata	Mir-204	3	3
Latimeria_chalumnae	Vertebrata	Mir-205	2	2
Latimeria_chalumnae	Vertebrata	Mir-208	2	2
Latimeria_chalumnae	Vertebrata	Mir-21	2	2
Latimeria_chalumnae	Bilateria	Mir-210	2	1
Latimeria_chalumnae	Gnathostomata	Mir-214	2	1
Latimeria_chalumnae	Bilateria	Mir-216	2	2
Latimeria_chalumnae	Chordata	Mir-217	8	1
Latimeria_chalumnae	Vertebrata	Mir-218	4	3
Latimeria_chalumnae	Gnathostomata	Mir-2184	1	1
Latimeria_chalumnae	Gnathostomata	Mir-2188	1	1
Latimeria_chalumnae	Bilateria	Mir-219	3	2
Latimeria_chalumnae	Bilateria	Mir-22	4	2
Latimeria_chalumnae	Vertebrata	Mir-221	3	3
Latimeria_chalumnae	Vertebrata	Mir-223	2	1
Latimeria_chalumnae	Vertebrata	Mir-23	4	4
Latimeria_chalumnae	Vertebrata	Mir-24	4	4
Latimeria_chalumnae	Bilateria	Mir-252	1	1
Latimeria_chalumnae	Vertebrata	Mir-26	3	3
Latimeria_chalumnae	Vertebrata	Mir-27	5	4
Latimeria_chalumnae	Bilateria	Mir-281	6	0
Latimeria_chalumnae	Bilateria	Mir-29	99	5
Latimeria_chalumnae	Sarcopterygii	Mir-2970	6	1
Latimeria_chalumnae	Vertebrata	Mir-30	7	6
Latimeria_chalumnae	Bilateria	Mir-31	1	1
Latimeria_chalumnae	Gnathostomata	Mir-32	1	1
Latimeria_chalumnae	Bilateria	Mir-33	18	2
Latimeria_chalumnae	Vertebrata	Mir-338	2	2
Latimeria_chalumnae	Bilateria	Mir-34	7	7
Latimeria_chalumnae	Bilateria	Mir-375	1	1
Latimeria_chalumnae	Chordata	Mir-4057	1	0
Latimeria_chalumnae	Gnathostomata	Mir-425	1	0
Latimeria_chalumnae	Vertebrata	Mir-430	14	14
Latimeria_chalumnae	Vertebrata	Mir-451	2	1
Latimeria_chalumnae	Vertebrata	Mir-4541	3	0
Latimeria_chalumnae	Vertebrata	Mir-455	2	1
Latimeria_chalumnae	Vertebrata	Mir-456	1	1
