species	node	family	total_hits	filtered_hits
Canis_familiaris	Bilateria	Let-7	12	12
Canis_familiaris	Bilateria	Mir-1	4	4
Canis_familiaris	Eumetazoa	Mir-10	8	8
Canis_familiaris	Vertebrata	Mir-101	2	2
Canis_familiaris	Deuterostomia	Mir-103	3	3
Canis_familiaris	Eutheria	Mir-105	4	2
Canis_familiaris	Vertebrata	Mir-122	1	1
Canis_familiaris	Bilateria	Mir-124	3	3
Canis_familiaris	Eutheria	Mir-1247	1	1
Canis_familiaris	Eutheria	Mir-1249	1	1
Canis_familiaris	Theria	Mir-1251	1	1
Canis_familiaris	Olfactores	Mir-126	1	1
Canis_familiaris	Eutheria	Mir-127	1	1
Canis_familiaris	Eutheria	Mir-1271	13	1
Canis_familiaris	Eutheria	Mir-1277	728	1
Canis_familiaris	Vertebrata	Mir-128	2	2
Canis_familiaris	Chordata	Mir-129	2	2
Canis_familiaris	Eutheria	Mir-1296	1	1
Canis_familiaris	Eutheria	Mir-1298	1	1
Canis_familiaris	Vertebrata	Mir-130	5	5
Canis_familiaris	Eutheria	Mir-1301	1	1
Canis_familiaris	Gnathostomata	Mir-1306	1	1
Canis_familiaris	Eutheria	Mir-1307	1	1
Canis_familiaris	Vertebrata	Mir-132	2	2
Canis_familiaris	Bilateria	Mir-133	3	3
Canis_familiaris	Eutheria	Mir-134	2	2
Canis_familiaris	Eutheria	Mir-1343	2	1
Canis_familiaris	Chordata	Mir-135	3	3
Canis_familiaris	Eutheria	Mir-136	1	1
Canis_familiaris	Bilateria	Mir-137	1	1
Canis_familiaris	Vertebrata	Mir-138	2	2
Canis_familiaris	Gnathostomata	Mir-1388	1	1
Canis_familiaris	Gnathostomata	Mir-139	1	1
Canis_familiaris	Vertebrata	Mir-140	1	1
Canis_familiaris	Vertebrata	Mir-142	2	1
Canis_familiaris	Vertebrata	Mir-143	1	1
Canis_familiaris	Vertebrata	Mir-144	1	1
Canis_familiaris	Vertebrata	Mir-145	2	1
Canis_familiaris	Vertebrata	Mir-146	2	2
Canis_familiaris	Vertebrata	Mir-147	4	2
Canis_familiaris	Vertebrata	Mir-148	3	3
Canis_familiaris	Eutheria	Mir-149	1	1
Canis_familiaris	Olfactores	Mir-15	10	9
Canis_familiaris	Gnathostomata	Mir-150	1	1
Canis_familiaris	Bilateria	Mir-153	2	2
Canis_familiaris	Eutheria	Mir-154	43	43
Canis_familiaris	Vertebrata	Mir-155	1	1
Canis_familiaris	Vertebrata	Mir-17	11	11
Canis_familiaris	Vertebrata	Mir-181	6	6
Canis_familiaris	Bilateria	Mir-184	1	1
Canis_familiaris	Eutheria	Mir-1842	1	1
Canis_familiaris	Eutheria	Mir-185	1	1
Canis_familiaris	Mammalia	Mir-186	3	1
Canis_familiaris	Osteichthyes	Mir-187	2	1
Canis_familiaris	Eutheria	Mir-188	3	3
Canis_familiaris	Vertebrata	Mir-19	5	5
Canis_familiaris	Bilateria	Mir-190	2	2
Canis_familiaris	Gnathostomata	Mir-191	1	1
Canis_familiaris	Eutheria	Mir-1911	1	1
Canis_familiaris	Eutheria	Mir-1912	1	1
Canis_familiaris	Vertebrata	Mir-192	2	2
Canis_familiaris	Bilateria	Mir-193	4	4
Canis_familiaris	Vertebrata	Mir-194	2	2
Canis_familiaris	Olfactores	Mir-196	3	3
Canis_familiaris	Eutheria	Mir-197	1	1
Canis_familiaris	Vertebrata	Mir-199	3	3
Canis_familiaris	Vertebrata	Mir-202	1	1
Canis_familiaris	Vertebrata	Mir-203	1	1
Canis_familiaris	Vertebrata	Mir-204	3	2
Canis_familiaris	Vertebrata	Mir-205	1	1
Canis_familiaris	Vertebrata	Mir-208	2	2
Canis_familiaris	Vertebrata	Mir-21	1	1
Canis_familiaris	Bilateria	Mir-210	1	1
Canis_familiaris	Eutheria	Mir-2114	1	1
Canis_familiaris	Gnathostomata	Mir-214	1	1
Canis_familiaris	Bilateria	Mir-216	2	2
Canis_familiaris	Chordata	Mir-217	2	1
Canis_familiaris	Vertebrata	Mir-218	2	2
Canis_familiaris	Bilateria	Mir-219	3	2
Canis_familiaris	Bilateria	Mir-22	1	1
Canis_familiaris	Vertebrata	Mir-221	2	2
Canis_familiaris	Vertebrata	Mir-223	1	1
Canis_familiaris	Eutheria	Mir-224	1	1
Canis_familiaris	Vertebrata	Mir-23	2	2
Canis_familiaris	Eutheria	Mir-2355	1	1
Canis_familiaris	Boreoeutheria	Mir-2387	1	1
Canis_familiaris	Vertebrata	Mir-24	2	2
Canis_familiaris	Eutheria	Mir-2483	1	1
Canis_familiaris	Vertebrata	Mir-26	3	3
Canis_familiaris	Vertebrata	Mir-27	2	2
Canis_familiaris	Eutheria	Mir-28	4	3
Canis_familiaris	Bilateria	Mir-29	5	5
Canis_familiaris	Eutheria	Mir-296	1	1
Canis_familiaris	Vertebrata	Mir-30	6	6
Canis_familiaris	Eutheria	Mir-3059	1	1
Canis_familiaris	Eutheria	Mir-3085	1	1
Canis_familiaris	Bilateria	Mir-31	1	1
Canis_familiaris	Gnathostomata	Mir-32	1	1
Canis_familiaris	Eutheria	Mir-320	2	1
Canis_familiaris	Eutheria	Mir-324	1	1
Canis_familiaris	Theria	Mir-325	5	1
Canis_familiaris	Eutheria	Mir-326	1	1
Canis_familiaris	Eutheria	Mir-328	2	1
Canis_familiaris	Bilateria	Mir-33	2	2
Canis_familiaris	Eutheria	Mir-330	1	1
Canis_familiaris	Eutheria	Mir-331	1	1
Canis_familiaris	Eutheria	Mir-335	1	1
Canis_familiaris	Vertebrata	Mir-338	1	1
Canis_familiaris	Eutheria	Mir-339	3	1
Canis_familiaris	Bilateria	Mir-34	5	5
Canis_familiaris	Theria	Mir-340	5	1
Canis_familiaris	Eutheria	Mir-342	1	1
Canis_familiaris	Eutheria	Mir-345	1	1
Canis_familiaris	Eutheria	Mir-346	1	1
Canis_familiaris	Eutheria	Mir-350	1	1
Canis_familiaris	Eutheria	Mir-361	1	1
Canis_familiaris	Theria	Mir-3613	2	1
Canis_familiaris	Eutheria	Mir-362	7	4
Canis_familiaris	Boreoeutheria	Mir-370	1	1
Canis_familiaris	Eutheria	Mir-374	3	2
Canis_familiaris	Bilateria	Mir-375	1	1
Canis_familiaris	Eutheria	Mir-376	5	5
Canis_familiaris	Eutheria	Mir-378	1	1
Canis_familiaris	Tetrapoda	Mir-383	1	1
Canis_familiaris	Eutheria	Mir-384	1	1
Canis_familiaris	Eutheria	Mir-423	1	1
Canis_familiaris	Gnathostomata	Mir-425	1	1
Canis_familiaris	Vertebrata	Mir-430	10	10
Canis_familiaris	Eutheria	Mir-431	1	1
Canis_familiaris	Eutheria	Mir-432	1	1
Canis_familiaris	Eutheria	Mir-433	1	1
Canis_familiaris	Eutheria	Mir-448	1	1
Canis_familiaris	Eutheria	Mir-450	3	3
Canis_familiaris	Vertebrata	Mir-451	1	1
Canis_familiaris	Eutheria	Mir-452	1	1
Canis_familiaris	Vertebrata	Mir-455	1	1
Canis_familiaris	Osteichthyes	Mir-458	1	0
Canis_familiaris	Vertebrata	Mir-459	1	1
Canis_familiaris	Theria	Mir-483	8	1
Canis_familiaris	Eutheria	Mir-486	2	1
Canis_familiaris	Eutheria	Mir-488	1	1
Canis_familiaris	Osteichthyes	Mir-489	2	1
Canis_familiaris	Amniota	Mir-490	1	1
